t_UTC+2,T,RH
2020-12-18 15:15:00,18.81,37.52
2020-12-18 15:25:00,12.22,58.82
2020-12-18 15:35:00,9.37,71.69
2020-12-18 15:45:00,10.28,76.12
2020-12-18 15:55:00,13.27,68.42
2020-12-18 16:05:00,15.39,62.22
2020-12-18 16:15:00,16.62,57.51
2020-12-18 16:25:00,17.20,54.76
2020-12-18 16:35:00,17.65,52.77
2020-12-18 16:45:00,17.98,51.52
2020-12-18 16:55:00,18.22,49.59
2020-12-18 17:05:00,18.41,48.12
2020-12-18 17:15:00,18.56,47.09
2020-12-18 17:25:00,18.69,47.66
2020-12-18 17:35:00,18.77,47.39
2020-12-18 17:45:00,18.80,46.30
2020-12-18 17:55:00,18.84,45.49
2020-12-18 18:05:00,18.86,44.78
2020-12-18 18:15:00,18.87,44.17
2020-12-18 18:25:00,18.88,42.86
2020-12-18 18:35:00,18.90,41.85
2020-12-18 18:45:00,18.93,41.15
2020-12-18 18:55:00,18.95,41.15
2020-12-18 19:05:00,18.97,41.24
2020-12-18 19:15:00,18.99,41.43
2020-12-18 19:25:00,19.02,41.33
2020-12-18 19:35:00,19.05,41.64
2020-12-18 19:45:00,19.09,42.35
2020-12-18 19:55:00,19.12,41.87
2020-12-18 20:05:00,19.14,41.72
2020-12-18 20:15:00,19.14,41.90
2020-12-18 20:25:00,19.15,41.87
2020-12-18 20:35:00,19.15,41.84
2020-12-18 20:45:00,19.14,41.81
2020-12-18 20:55:00,19.17,41.70
2020-12-18 21:05:00,19.20,41.70
2020-12-18 21:15:00,19.21,41.80
2020-12-18 21:25:00,19.20,41.73
2020-12-18 21:35:00,19.18,41.69
2020-12-18 21:45:00,19.17,41.66
2020-12-18 21:55:00,19.20,41.69
2020-12-18 22:05:00,19.20,41.65
2020-12-18 22:15:00,19.19,41.56
2020-12-18 22:25:00,19.24,41.65
2020-12-18 22:35:00,19.25,41.68
2020-12-18 22:45:00,19.24,41.65
2020-12-18 22:55:00,19.26,41.62
2020-12-18 23:05:00,19.26,41.60
2020-12-18 23:15:00,19.25,41.60
2020-12-18 23:25:00,19.24,41.57
2020-12-18 23:35:00,19.25,41.54
2020-12-18 23:45:00,19.28,41.52
2020-12-18 23:55:00,19.24,41.48
2020-12-19 00:05:00,19.23,41.45
2020-12-19 00:15:00,19.24,41.43
2020-12-19 00:25:00,19.27,41.41
2020-12-19 00:35:00,19.29,41.39
2020-12-19 00:45:00,19.28,41.36
2020-12-19 00:55:00,19.26,41.33
2020-12-19 01:05:00,19.26,41.29
2020-12-19 01:15:00,19.27,41.26
2020-12-19 01:25:00,19.27,41.26
2020-12-19 01:35:00,19.27,41.24
2020-12-19 01:45:00,19.28,41.21
2020-12-19 01:55:00,19.26,41.18
2020-12-19 02:05:00,19.26,41.16
2020-12-19 02:15:00,19.27,41.14
2020-12-19 02:25:00,19.28,41.14
2020-12-19 02:35:00,19.27,41.13
2020-12-19 02:45:00,19.26,41.10
2020-12-19 02:55:00,19.27,41.08
2020-12-19 03:05:00,19.28,41.05
2020-12-19 03:15:00,19.29,41.02
2020-12-19 03:25:00,19.26,41.03
2020-12-19 03:35:00,19.26,41.02
2020-12-19 03:45:00,19.27,41.00
2020-12-19 03:55:00,19.27,40.99
2020-12-19 04:05:00,19.27,40.96
2020-12-19 04:15:00,19.28,40.93
2020-12-19 04:25:00,19.28,40.92
2020-12-19 04:35:00,19.29,40.90
2020-12-19 04:45:00,19.30,40.88
2020-12-19 04:55:00,19.30,40.88
2020-12-19 05:05:00,19.30,40.87
2020-12-19 05:15:00,19.29,40.86
2020-12-19 05:25:00,19.25,40.86
2020-12-19 05:35:00,19.25,40.85
2020-12-19 05:45:00,19.28,40.84
2020-12-19 05:55:00,19.28,40.82
2020-12-19 06:05:00,19.28,40.80
2020-12-19 06:15:00,19.29,40.79
2020-12-19 06:25:00,19.30,40.77
2020-12-19 06:35:00,19.30,40.75
2020-12-19 06:45:00,19.28,40.74
2020-12-19 06:55:00,19.28,40.74
2020-12-19 07:05:00,19.29,40.72
2020-12-19 07:15:00,19.30,40.69
2020-12-19 07:25:00,19.29,40.69
2020-12-19 07:35:00,19.28,40.65
2020-12-19 07:45:00,19.29,40.58
2020-12-19 07:55:00,19.28,40.53
2020-12-19 08:05:00,19.27,40.54
2020-12-19 08:15:00,19.26,40.60
2020-12-19 08:25:00,19.28,40.52
2020-12-19 08:35:00,19.29,40.46
2020-12-19 08:45:00,19.28,40.41
2020-12-19 08:55:00,19.28,40.36
2020-12-19 09:05:00,19.27,40.35
2020-12-19 09:15:00,19.24,40.37
2020-12-19 09:25:00,19.25,40.37
2020-12-19 09:35:00,19.25,40.38
2020-12-19 09:45:00,19.26,40.39
2020-12-19 09:55:00,19.28,40.42
2020-12-19 10:05:00,19.29,40.44
2020-12-19 10:15:00,19.30,40.46
2020-12-19 10:25:00,19.27,40.43
2020-12-19 10:35:00,19.25,40.40
2020-12-19 10:45:00,19.24,40.39
2020-12-19 10:55:00,19.27,40.36
2020-12-19 11:05:00,19.28,40.32
2020-12-19 11:15:00,19.27,40.27
2020-12-19 11:25:00,19.28,40.27
2020-12-19 11:35:00,19.28,40.36
2020-12-19 11:45:00,19.27,40.53
2020-12-19 11:55:00,19.35,45.20
2020-12-19 12:05:00,16.14,49.86
2020-12-19 12:15:00,9.55,54.49
2020-12-19 12:25:00,9.64,59.46
2020-12-19 12:35:00,9.89,62.34
2020-12-19 12:45:00,10.25,63.07
2020-12-19 12:55:00,9.34,76.41
2020-12-19 13:05:00,10.08,77.91
2020-12-19 13:15:00,12.52,67.11
2020-12-19 13:25:00,15.92,54.95
2020-12-19 13:35:00,17.65,47.21
2020-12-19 13:45:00,17.66,44.05
2020-12-19 13:55:00,17.90,55.98
2020-12-19 14:05:00,17.03,63.54
2020-12-19 14:15:00,15.00,66.47
2020-12-19 14:25:00,15.09,67.36
2020-12-19 14:35:00,15.12,67.75
2020-12-19 14:45:00,15.05,67.66
2020-12-19 14:55:00,14.94,68.23
2020-12-19 15:05:00,14.91,68.36
2020-12-19 15:15:00,14.96,68.03
2020-12-19 15:25:00,14.70,65.83
2020-12-19 15:35:00,14.47,64.24
2020-12-19 15:45:00,14.29,63.32
2020-12-19 15:55:00,14.15,62.55
2020-12-19 16:05:00,14.04,61.81
2020-12-19 16:15:00,13.95,61.10
2020-12-19 16:25:00,14.14,61.72
2020-12-19 16:35:00,14.44,61.76
