t_UTC+2,T,RH
2020-12-18 15:15:00,17.47,37.71
2020-12-18 15:25:00,11.20,66.09
2020-12-18 15:35:00,8.19,82.40
2020-12-18 15:45:00,8.46,86.63
2020-12-18 15:55:00,11.63,76.03
2020-12-18 16:05:00,13.88,67.78
2020-12-18 16:15:00,15.22,61.88
2020-12-18 16:25:00,15.93,58.51
2020-12-18 16:35:00,16.52,55.96
2020-12-18 16:45:00,16.97,54.22
2020-12-18 16:55:00,17.34,51.33
2020-12-18 17:05:00,17.67,49.29
2020-12-18 17:15:00,17.97,48.10
2020-12-18 17:25:00,18.16,48.63
2020-12-18 17:35:00,18.32,48.21
2020-12-18 17:45:00,18.43,46.82
2020-12-18 17:55:00,18.52,45.73
2020-12-18 18:05:00,18.58,44.83
2020-12-18 18:15:00,18.61,44.12
2020-12-18 18:25:00,18.68,42.95
2020-12-18 18:35:00,18.72,42.12
2020-12-18 18:45:00,18.74,41.62
2020-12-18 18:55:00,18.78,41.68
2020-12-18 19:05:00,18.82,42.01
2020-12-18 19:15:00,18.85,42.62
2020-12-18 19:25:00,18.90,42.65
2020-12-18 19:35:00,18.93,42.76
2020-12-18 19:45:00,18.96,42.96
2020-12-18 19:55:00,19.04,42.72
2020-12-18 20:05:00,19.09,42.57
2020-12-18 20:15:00,19.12,42.52
2020-12-18 20:25:00,19.13,42.46
2020-12-18 20:35:00,19.14,42.41
2020-12-18 20:45:00,19.13,42.36
2020-12-18 20:55:00,19.17,42.30
2020-12-18 21:05:00,19.18,42.24
2020-12-18 21:15:00,19.16,42.19
2020-12-18 21:25:00,19.17,42.18
2020-12-18 21:35:00,19.18,42.15
2020-12-18 21:45:00,19.18,42.10
2020-12-18 21:55:00,19.19,42.05
2020-12-18 22:05:00,19.20,42.02
2020-12-18 22:15:00,19.20,42.02
2020-12-18 22:25:00,19.21,42.01
2020-12-18 22:35:00,19.22,42.01
2020-12-18 22:45:00,19.22,42.01
2020-12-18 22:55:00,19.22,41.98
2020-12-18 23:05:00,19.23,41.96
2020-12-18 23:15:00,19.25,41.93
2020-12-18 23:25:00,19.23,41.90
2020-12-18 23:35:00,19.23,41.87
2020-12-18 23:45:00,19.26,41.86
2020-12-18 23:55:00,19.26,41.85
2020-12-19 00:05:00,19.25,41.82
2020-12-19 00:15:00,19.23,41.77
2020-12-19 00:25:00,19.24,41.76
2020-12-19 00:35:00,19.25,41.73
2020-12-19 00:45:00,19.26,41.70
2020-12-19 00:55:00,19.25,41.67
2020-12-19 01:05:00,19.25,41.64
2020-12-19 01:15:00,19.25,41.61
2020-12-19 01:25:00,19.27,41.58
2020-12-19 01:35:00,19.27,41.55
2020-12-19 01:45:00,19.25,41.52
2020-12-19 01:55:00,19.27,41.49
2020-12-19 02:05:00,19.27,41.47
2020-12-19 02:15:00,19.25,41.46
2020-12-19 02:25:00,19.27,41.43
2020-12-19 02:35:00,19.27,41.40
2020-12-19 02:45:00,19.25,41.39
2020-12-19 02:55:00,19.26,41.38
2020-12-19 03:05:00,19.25,41.35
2020-12-19 03:15:00,19.24,41.32
2020-12-19 03:25:00,19.25,41.29
2020-12-19 03:35:00,19.26,41.27
2020-12-19 03:45:00,19.28,41.25
2020-12-19 03:55:00,19.27,41.24
2020-12-19 04:05:00,19.26,41.22
2020-12-19 04:15:00,19.25,41.19
2020-12-19 04:25:00,19.24,41.19
2020-12-19 04:35:00,19.25,41.17
2020-12-19 04:45:00,19.28,41.14
2020-12-19 04:55:00,19.27,41.14
2020-12-19 05:05:00,19.28,41.13
2020-12-19 05:15:00,19.29,41.10
2020-12-19 05:25:00,19.30,41.08
2020-12-19 05:35:00,19.30,41.06
2020-12-19 05:45:00,19.29,41.05
2020-12-19 05:55:00,19.28,41.04
2020-12-19 06:05:00,19.28,41.02
2020-12-19 06:15:00,19.29,41.01
2020-12-19 06:25:00,19.26,40.98
2020-12-19 06:35:00,19.27,40.97
2020-12-19 06:45:00,19.30,40.96
2020-12-19 06:55:00,19.29,40.95
2020-12-19 07:05:00,19.28,40.93
2020-12-19 07:15:00,19.27,40.92
2020-12-19 07:25:00,19.27,40.91
2020-12-19 07:35:00,19.28,40.88
2020-12-19 07:45:00,19.29,40.83
2020-12-19 07:55:00,19.29,40.79
2020-12-19 08:05:00,19.28,40.75
2020-12-19 08:15:00,19.26,40.70
2020-12-19 08:25:00,19.25,40.71
2020-12-19 08:35:00,19.26,40.68
2020-12-19 08:45:00,19.29,40.62
2020-12-19 08:55:00,19.28,40.56
2020-12-19 09:05:00,19.27,40.54
2020-12-19 09:15:00,19.25,40.55
2020-12-19 09:25:00,19.28,40.55
2020-12-19 09:35:00,19.28,40.55
2020-12-19 09:45:00,19.27,40.55
2020-12-19 09:55:00,19.29,40.55
2020-12-19 10:05:00,19.29,40.57
2020-12-19 10:15:00,19.28,40.60
2020-12-19 10:25:00,19.28,40.58
2020-12-19 10:35:00,19.29,40.56
2020-12-19 10:45:00,19.32,40.55
2020-12-19 10:55:00,19.28,40.52
2020-12-19 11:05:00,19.27,40.49
2020-12-19 11:15:00,19.29,40.46
2020-12-19 11:25:00,19.26,40.45
2020-12-19 11:35:00,19.25,40.49
2020-12-19 11:45:00,19.26,40.57
2020-12-19 11:55:00,19.35,43.91
2020-12-19 12:05:00,15.67,51.50
2020-12-19 12:15:00,8.11,63.42
2020-12-19 12:25:00,7.52,68.86
2020-12-19 12:35:00,7.51,72.48
2020-12-19 12:45:00,8.06,74.29
2020-12-19 12:55:00,7.79,80.49
2020-12-19 13:05:00,8.96,78.55
2020-12-19 13:15:00,11.63,68.19
2020-12-19 13:25:00,13.97,60.01
2020-12-19 13:35:00,15.36,54.08
2020-12-19 13:45:00,15.78,50.45
2020-12-19 13:55:00,14.64,51.77
2020-12-19 14:05:00,12.15,57.12
2020-12-19 14:15:00,8.28,66.58
2020-12-19 14:25:00,8.38,65.30
2020-12-19 14:35:00,8.20,66.12
2020-12-19 14:45:00,7.69,69.18
2020-12-19 14:55:00,7.52,69.71
2020-12-19 15:05:00,7.45,70.28
2020-12-19 15:15:00,7.48,70.92
2020-12-19 15:25:00,7.39,70.76
2020-12-19 15:35:00,7.34,70.82
2020-12-19 15:45:00,7.32,71.12
2020-12-19 15:55:00,7.29,71.35
2020-12-19 16:05:00,7.29,71.47
2020-12-19 16:15:00,7.31,71.47
2020-12-19 16:25:00,7.35,71.60
2020-12-19 16:35:00,7.42,71.71
2020-12-19 16:45:00,7.51,71.79
2020-12-19 16:55:00,7.67,71.48
2020-12-19 17:05:00,7.77,71.35
2020-12-19 17:15:00,7.81,71.40
2020-12-19 17:25:00,8.61,67.22
2020-12-19 17:35:00,8.69,65.99
2020-12-19 17:45:00,8.03,67.83
2020-12-19 17:55:00,7.73,68.52
2020-12-19 18:05:00,7.49,69.14
2020-12-19 18:15:00,7.30,69.70
2020-12-19 18:25:00,7.18,70.12
2020-12-19 18:35:00,7.11,70.52
2020-12-19 18:45:00,7.10,70.91
2020-12-19 18:55:00,7.18,71.30
2020-12-19 19:05:00,7.26,71.53
2020-12-19 19:15:00,7.33,71.58
2020-12-19 19:25:00,7.38,71.57
2020-12-19 19:35:00,7.46,71.61
2020-12-19 19:45:00,7.55,71.69
2020-12-19 19:55:00,7.60,71.65
2020-12-19 20:05:00,7.64,71.61
2020-12-19 20:15:00,7.67,71.58
2020-12-19 20:25:00,7.72,71.56
2020-12-19 20:35:00,7.76,71.54
2020-12-19 20:45:00,7.78,71.52
2020-12-19 20:55:00,7.83,71.51
2020-12-19 21:05:00,7.86,71.45
2020-12-19 21:15:00,7.89,71.34
2020-12-19 21:25:00,7.90,71.34
2020-12-19 21:35:00,7.91,71.34
2020-12-19 21:45:00,7.94,71.34
2020-12-19 21:55:00,8.00,71.35
2020-12-19 22:05:00,8.03,71.34
2020-12-19 22:15:00,8.04,71.33
2020-12-19 22:25:00,8.05,71.30
2020-12-19 22:35:00,8.09,71.28
2020-12-19 22:45:00,8.14,71.27
2020-12-19 22:55:00,8.16,71.25
2020-12-19 23:05:00,8.19,71.26
2020-12-19 23:15:00,8.23,71.30
2020-12-19 23:25:00,8.26,71.23
2020-12-19 23:35:00,8.27,71.19
2020-12-19 23:45:00,8.27,71.16
2020-12-19 23:55:00,8.32,71.15
2020-12-20 00:05:00,8.35,71.15
2020-12-20 00:15:00,8.35,71.15
2020-12-20 00:25:00,8.36,71.12
2020-12-20 00:35:00,8.38,71.10
2020-12-20 00:45:00,8.42,71.11
2020-12-20 00:55:00,8.43,71.11
2020-12-20 01:05:00,8.45,71.12
2020-12-20 01:15:00,8.48,71.13
2020-12-20 01:25:00,8.49,71.11
2020-12-20 01:35:00,8.50,71.10
2020-12-20 01:45:00,8.51,71.10
2020-12-20 01:55:00,8.54,71.10
2020-12-20 02:05:00,8.55,71.09
2020-12-20 02:15:00,8.54,71.07
2020-12-20 02:25:00,8.56,71.07
2020-12-20 02:35:00,8.57,71.06
2020-12-20 02:45:00,8.57,71.05
2020-12-20 02:55:00,8.59,71.02
2020-12-20 03:05:00,8.60,71.00
2020-12-20 03:15:00,8.59,71.00
2020-12-20 03:25:00,8.61,70.98
2020-12-20 03:35:00,8.62,70.96
2020-12-20 03:45:00,8.62,70.95
2020-12-20 03:55:00,8.63,70.90
2020-12-20 04:05:00,8.63,70.87
2020-12-20 04:15:00,8.64,70.85
2020-12-20 04:25:00,8.65,70.84
2020-12-20 04:35:00,8.65,70.81
2020-12-20 04:45:00,8.64,70.78
2020-12-20 04:55:00,8.65,70.73
2020-12-20 05:05:00,8.66,70.71
2020-12-20 05:15:00,8.66,70.71
2020-12-20 05:25:00,8.66,70.60
2020-12-20 05:35:00,8.65,70.52
2020-12-20 05:45:00,8.64,70.46
2020-12-20 05:55:00,8.63,70.39
2020-12-20 06:05:00,8.62,70.32
2020-12-20 06:15:00,8.60,70.26
2020-12-20 06:25:00,8.59,70.25
2020-12-20 06:35:00,8.59,70.24
2020-12-20 06:45:00,8.60,70.23
2020-12-20 06:55:00,8.58,70.18
2020-12-20 07:05:00,8.57,70.11
2020-12-20 07:15:00,8.56,70.03
2020-12-20 07:25:00,8.53,70.00
2020-12-20 07:35:00,8.53,69.97
2020-12-20 07:45:00,8.54,69.94
2020-12-20 07:55:00,8.53,69.91
2020-12-20 08:05:00,8.53,69.90
2020-12-20 08:15:00,8.55,69.89
2020-12-20 08:25:00,8.52,69.90
2020-12-20 08:35:00,8.53,69.89
2020-12-20 08:45:00,8.57,69.87
2020-12-20 08:55:00,8.56,69.86
2020-12-20 09:05:00,8.55,69.84
2020-12-20 09:15:00,8.55,69.83
2020-12-20 09:25:00,8.57,69.84
2020-12-20 09:35:00,8.58,69.85
2020-12-20 09:45:00,8.57,69.85
2020-12-20 09:55:00,8.58,69.84
2020-12-20 10:05:00,8.61,69.83
2020-12-20 10:15:00,8.64,69.81
2020-12-20 10:25:00,8.63,69.82
2020-12-20 10:35:00,8.64,69.83
2020-12-20 10:45:00,8.66,69.86
2020-12-20 10:55:00,8.67,69.84
2020-12-20 11:05:00,8.66,69.84
2020-12-20 11:15:00,8.64,69.86
2020-12-20 11:25:00,8.67,69.87
2020-12-20 11:35:00,8.70,69.87
2020-12-20 11:45:00,8.72,69.85
2020-12-20 11:55:00,8.73,69.85
2020-12-20 12:05:00,8.73,69.87
2020-12-20 12:15:00,8.72,69.90
2020-12-20 12:25:00,8.72,69.93
2020-12-20 12:35:00,8.73,69.94
2020-12-20 12:45:00,8.74,69.94
2020-12-20 12:55:00,8.75,69.95
2020-12-20 13:05:00,8.75,69.96
2020-12-20 13:15:00,8.76,69.96
2020-12-20 13:25:00,8.77,69.97
2020-12-20 13:35:00,8.79,69.99
2020-12-20 13:45:00,8.80,70.02
2020-12-20 13:55:00,8.80,70.02
2020-12-20 14:05:00,8.81,70.03
2020-12-20 14:15:00,8.83,70.04
2020-12-20 14:25:00,8.83,70.06
2020-12-20 14:35:00,8.83,70.07
2020-12-20 14:45:00,8.84,70.06
2020-12-20 14:55:00,8.87,70.06
2020-12-20 15:05:00,8.88,70.07
2020-12-20 15:15:00,8.87,70.08
2020-12-20 15:25:00,8.91,70.17
2020-12-20 15:35:00,8.95,70.24
2020-12-20 15:45:00,9.00,70.28
2020-12-20 15:55:00,9.05,70.30
2020-12-20 16:05:00,9.09,70.30
2020-12-20 16:15:00,9.13,70.28
2020-12-20 16:25:00,9.14,70.28
2020-12-20 16:35:00,9.16,70.30
2020-12-20 16:45:00,9.19,70.34
2020-12-20 16:55:00,9.24,70.29
2020-12-20 17:05:00,9.28,70.25
2020-12-20 17:15:00,9.29,70.24
2020-12-20 17:25:00,9.35,70.20
2020-12-20 17:35:00,9.37,70.17
2020-12-20 17:45:00,9.34,70.14
2020-12-20 17:55:00,9.41,70.11
2020-12-20 18:05:00,9.45,70.09
2020-12-20 18:15:00,9.45,70.06
2020-12-20 18:25:00,9.46,70.04
2020-12-20 18:35:00,9.48,70.02
2020-12-20 18:45:00,9.51,70.00
2020-12-20 18:55:00,9.54,70.00
2020-12-20 19:05:00,9.56,69.98
2020-12-20 19:15:00,9.57,69.95
2020-12-20 19:25:00,9.60,69.93
2020-12-20 19:35:00,9.62,69.91
2020-12-20 19:45:00,9.62,69.90
2020-12-20 19:55:00,9.65,69.88
2020-12-20 20:05:00,9.67,69.86
2020-12-20 20:15:00,9.68,69.84
2020-12-20 20:25:00,9.69,69.84
2020-12-20 20:35:00,9.71,69.82
2020-12-20 20:45:00,9.73,69.79
2020-12-20 20:55:00,9.74,69.79
2020-12-20 21:05:00,9.76,69.79
2020-12-20 21:15:00,9.78,69.78
2020-12-20 21:25:00,9.80,69.78
2020-12-20 21:35:00,9.81,69.78
2020-12-20 21:45:00,9.82,69.78
2020-12-20 21:55:00,9.85,69.77
2020-12-20 22:05:00,9.88,69.77
2020-12-20 22:15:00,9.90,69.77
2020-12-20 22:25:00,9.93,69.75
2020-12-20 22:35:00,9.94,69.73
2020-12-20 22:45:00,9.94,69.72
2020-12-20 22:55:00,9.99,69.71
2020-12-20 23:05:00,10.03,69.70
2020-12-20 23:15:00,10.06,69.68
2020-12-20 23:25:00,10.05,69.68
2020-12-20 23:35:00,10.07,69.66
2020-12-20 23:45:00,10.10,69.63
2020-12-20 23:55:00,10.12,69.60
2020-12-21 00:05:00,10.13,69.57
2020-12-21 00:15:00,10.12,69.54
2020-12-21 00:25:00,10.18,69.49
2020-12-21 00:35:00,10.17,69.38
2020-12-21 00:45:00,10.10,69.22
2020-12-21 00:55:00,10.07,69.22
2020-12-21 01:05:00,10.04,69.24
2020-12-21 01:15:00,10.02,69.27
2020-12-21 01:25:00,10.01,69.33
2020-12-21 01:35:00,10.00,69.37
2020-12-21 01:45:00,9.99,69.39
2020-12-21 01:55:00,9.98,69.44
2020-12-21 02:05:00,9.97,69.48
2020-12-21 02:15:00,9.96,69.51
2020-12-21 02:25:00,9.95,69.54
2020-12-21 02:35:00,9.94,69.57
2020-12-21 02:45:00,9.94,69.60
2020-12-21 02:55:00,9.91,69.62
2020-12-21 03:05:00,9.91,69.65
2020-12-21 03:15:00,9.92,69.70
2020-12-21 03:25:00,9.93,69.71
2020-12-21 03:35:00,9.93,69.73
2020-12-21 03:45:00,9.94,69.74
2020-12-21 03:55:00,9.91,69.77
2020-12-21 04:05:00,9.89,69.79
2020-12-21 04:15:00,9.90,69.79
2020-12-21 04:25:00,9.92,69.84
2020-12-21 04:35:00,9.92,69.87
2020-12-21 04:45:00,9.91,69.88
2020-12-21 04:55:00,9.93,69.88
2020-12-21 05:05:00,9.94,69.89
2020-12-21 05:15:00,9.94,69.92
2020-12-21 05:25:00,9.95,69.89
2020-12-21 05:35:00,9.95,69.87
2020-12-21 05:45:00,9.93,69.86
2020-12-21 05:55:00,9.94,69.84
2020-12-21 06:05:00,9.93,69.82
2020-12-21 06:15:00,9.92,69.79
2020-12-21 06:25:00,9.91,69.76
2020-12-21 06:35:00,9.90,69.73
2020-12-21 06:45:00,9.91,69.70
2020-12-21 06:55:00,9.93,69.67
2020-12-21 07:05:00,9.92,69.62
2020-12-21 07:15:00,9.89,69.56
2020-12-21 07:25:00,9.88,69.51
2020-12-21 07:35:00,9.88,69.46
2020-12-21 07:45:00,9.88,69.40
2020-12-21 07:55:00,9.88,69.39
