t_UTC+2,T,RH
2020-12-18 15:15:00,18.87,37.44
2020-12-18 15:25:00,11.92,60.37
2020-12-18 15:35:00,9.07,74.83
2020-12-18 15:45:00,10.32,80.82
2020-12-18 15:55:00,13.29,71.84
2020-12-18 16:05:00,15.40,64.81
2020-12-18 16:15:00,16.65,59.74
2020-12-18 16:25:00,17.27,56.99
2020-12-18 16:35:00,17.72,54.99
2020-12-18 16:45:00,18.01,53.75
2020-12-18 16:55:00,18.26,51.22
2020-12-18 17:05:00,18.48,49.23
2020-12-18 17:15:00,18.65,47.77
2020-12-18 17:25:00,18.75,48.22
2020-12-18 17:35:00,18.82,48.07
2020-12-18 17:45:00,18.87,47.30
2020-12-18 17:55:00,18.90,46.53
2020-12-18 18:05:00,18.92,45.72
2020-12-18 18:15:00,18.91,44.88
2020-12-18 18:25:00,18.93,43.68
2020-12-18 18:35:00,18.94,42.67
2020-12-18 18:45:00,18.93,41.85
2020-12-18 18:55:00,18.96,41.64
2020-12-18 19:05:00,19.00,41.60
2020-12-18 19:15:00,19.03,41.71
2020-12-18 19:25:00,19.06,41.62
2020-12-18 19:35:00,19.09,41.92
2020-12-18 19:45:00,19.12,42.62
2020-12-18 19:55:00,19.14,42.15
2020-12-18 20:05:00,19.15,41.98
2020-12-18 20:15:00,19.16,42.10
2020-12-18 20:25:00,19.16,42.06
2020-12-18 20:35:00,19.16,42.04
2020-12-18 20:45:00,19.16,42.04
2020-12-18 20:55:00,19.17,41.98
2020-12-18 21:05:00,19.18,41.98
2020-12-18 21:15:00,19.19,42.03
2020-12-18 21:25:00,19.20,41.99
2020-12-18 21:35:00,19.21,41.97
2020-12-18 21:45:00,19.22,41.96
2020-12-18 21:55:00,19.22,41.99
2020-12-18 22:05:00,19.23,41.95
2020-12-18 22:15:00,19.24,41.83
2020-12-18 22:25:00,19.23,41.92
2020-12-18 22:35:00,19.23,41.95
2020-12-18 22:45:00,19.24,41.92
2020-12-18 22:55:00,19.24,41.89
2020-12-18 23:05:00,19.25,41.87
2020-12-18 23:15:00,19.26,41.87
2020-12-18 23:25:00,19.28,41.84
2020-12-18 23:35:00,19.29,41.81
