t_UTC+2,T,RH
2020-12-18 15:15:00,17.36,38.85
2020-12-18 15:25:00,12.51,52.23
2020-12-18 15:35:00,10.21,61.62
2020-12-18 15:45:00,10.45,67.01
2020-12-18 15:55:00,11.91,67.13
2020-12-18 16:05:00,13.22,66.35
2020-12-18 16:15:00,14.38,64.67
2020-12-18 16:25:00,15.19,62.03
2020-12-18 16:35:00,15.88,59.20
2020-12-18 16:45:00,16.43,56.17
2020-12-18 16:55:00,16.91,53.19
2020-12-18 17:05:00,17.31,51.14
2020-12-18 17:15:00,17.62,50.05
2020-12-18 17:25:00,17.87,50.22
2020-12-18 17:35:00,18.08,49.33
2020-12-18 17:45:00,18.25,47.37
2020-12-18 17:55:00,18.36,45.90
2020-12-18 18:05:00,18.46,44.74
2020-12-18 18:15:00,18.54,43.87
2020-12-18 18:25:00,18.61,42.89
2020-12-18 18:35:00,18.67,42.20
2020-12-18 18:45:00,18.74,41.81
2020-12-18 18:55:00,18.78,41.81
2020-12-18 19:05:00,18.82,42.11
2020-12-18 19:15:00,18.85,42.72
2020-12-18 19:25:00,18.89,42.72
2020-12-18 19:35:00,18.93,42.80
2020-12-18 19:45:00,18.98,42.96
2020-12-18 19:55:00,19.02,42.63
2020-12-18 20:05:00,19.05,42.39
2020-12-18 20:15:00,19.07,42.22
2020-12-18 20:25:00,19.08,42.12
2020-12-18 20:35:00,19.10,42.05
2020-12-18 20:45:00,19.11,42.02
2020-12-18 20:55:00,19.11,42.01
2020-12-18 21:05:00,19.12,41.95
2020-12-18 21:15:00,19.15,41.85
2020-12-18 21:25:00,19.18,41.85
2020-12-18 21:35:00,19.19,41.82
2020-12-18 21:45:00,19.19,41.77
2020-12-18 21:55:00,19.19,41.76
2020-12-18 22:05:00,19.19,41.76
2020-12-18 22:15:00,19.18,41.77
2020-12-18 22:25:00,19.19,41.79
2020-12-18 22:35:00,19.21,41.79
2020-12-18 22:45:00,19.22,41.77
2020-12-18 22:55:00,19.22,41.76
2020-12-18 23:05:00,19.22,41.74
2020-12-18 23:15:00,19.23,41.72
2020-12-18 23:25:00,19.24,41.69
2020-12-18 23:35:00,19.24,41.65
2020-12-18 23:45:00,19.24,41.62
2020-12-18 23:55:00,19.23,41.61
2020-12-19 00:05:00,19.24,41.59
2020-12-19 00:15:00,19.25,41.57
2020-12-19 00:25:00,19.26,41.54
2020-12-19 00:35:00,19.26,41.51
2020-12-19 00:45:00,19.25,41.48
2020-12-19 00:55:00,19.25,41.45
2020-12-19 01:05:00,19.25,41.43
2020-12-19 01:15:00,19.24,41.43
2020-12-19 01:25:00,19.25,41.40
2020-12-19 01:35:00,19.26,41.36
2020-12-19 01:45:00,19.26,41.33
2020-12-19 01:55:00,19.25,41.30
2020-12-19 02:05:00,19.25,41.28
2020-12-19 02:15:00,19.26,41.28
2020-12-19 02:25:00,19.25,41.27
2020-12-19 02:35:00,19.27,41.25
2020-12-19 02:45:00,19.30,41.23
2020-12-19 02:55:00,19.26,41.20
2020-12-19 03:05:00,19.25,41.18
2020-12-19 03:15:00,19.26,41.16
2020-12-19 03:25:00,19.25,41.15
2020-12-19 03:35:00,19.24,41.12
2020-12-19 03:45:00,19.25,41.09
2020-12-19 03:55:00,19.26,41.09
2020-12-19 04:05:00,19.27,41.07
2020-12-19 04:15:00,19.26,41.04
2020-12-19 04:25:00,19.25,41.04
2020-12-19 04:35:00,19.27,41.03
2020-12-19 04:45:00,19.30,41.01
2020-12-19 04:55:00,19.27,41.00
2020-12-19 05:05:00,19.26,40.99
2020-12-19 05:15:00,19.27,40.99
2020-12-19 05:25:00,19.28,40.97
2020-12-19 05:35:00,19.28,40.95
2020-12-19 05:45:00,19.26,40.94
2020-12-19 05:55:00,19.26,40.93
2020-12-19 06:05:00,19.27,40.91
2020-12-19 06:15:00,19.28,40.89
2020-12-19 06:25:00,19.27,40.88
2020-12-19 06:35:00,19.28,40.86
2020-12-19 06:45:00,19.30,40.84
2020-12-19 06:55:00,19.27,40.85
2020-12-19 07:05:00,19.26,40.84
2020-12-19 07:15:00,19.29,40.82
2020-12-19 07:25:00,19.27,40.81
2020-12-19 07:35:00,19.27,40.75
2020-12-19 07:45:00,19.29,40.65
2020-12-19 07:55:00,19.27,40.62
2020-12-19 08:05:00,19.26,40.61
2020-12-19 08:15:00,19.27,40.63
2020-12-19 08:25:00,19.28,40.58
2020-12-19 08:35:00,19.28,40.50
2020-12-19 08:45:00,19.27,40.41
2020-12-19 08:55:00,19.26,40.33
2020-12-19 09:05:00,19.25,40.33
2020-12-19 09:15:00,19.25,40.41
2020-12-19 09:25:00,19.26,40.42
2020-12-19 09:35:00,19.27,40.44
2020-12-19 09:45:00,19.28,40.45
2020-12-19 09:55:00,19.29,40.48
2020-12-19 10:05:00,19.29,40.52
2020-12-19 10:15:00,19.28,40.55
2020-12-19 10:25:00,19.26,40.52
2020-12-19 10:35:00,19.25,40.50
2020-12-19 10:45:00,19.24,40.48
2020-12-19 10:55:00,19.25,40.45
2020-12-19 11:05:00,19.26,40.40
2020-12-19 11:15:00,19.26,40.33
2020-12-19 11:25:00,19.27,40.35
2020-12-19 11:35:00,19.27,40.44
2020-12-19 11:45:00,19.27,40.60
2020-12-19 11:55:00,19.34,43.80
2020-12-19 12:05:00,16.92,45.85
2020-12-19 12:15:00,11.93,46.69
2020-12-19 12:25:00,11.28,51.72
2020-12-19 12:35:00,10.91,55.81
2020-12-19 12:45:00,10.80,58.90
2020-12-19 12:55:00,10.22,64.61
2020-12-19 13:05:00,10.54,66.68
2020-12-19 13:15:00,11.79,64.97
2020-12-19 13:25:00,14.06,59.24
2020-12-19 13:35:00,15.40,54.90
2020-12-19 13:45:00,15.80,52.04
2020-12-19 13:55:00,16.18,50.74
2020-12-19 14:05:00,16.62,48.94
2020-12-19 14:15:00,17.12,46.62
2020-12-19 14:25:00,16.99,46.55
2020-12-19 14:35:00,18.06,48.31
2020-12-19 14:45:00,20.34,51.94
2020-12-19 14:55:00,19.45,55.65
2020-12-19 15:05:00,18.95,56.91
2020-12-19 15:15:00,18.87,55.64
2020-12-19 15:25:00,18.28,54.33
2020-12-19 15:35:00,17.84,53.33
2020-12-19 15:45:00,17.55,52.66
2020-12-19 15:55:00,17.38,51.88
2020-12-19 16:05:00,17.23,51.18
2020-12-19 16:15:00,17.11,50.58
2020-12-19 16:25:00,17.92,50.72
2020-12-19 16:35:00,18.56,50.65
2020-12-19 16:45:00,19.02,50.37
2020-12-19 16:55:00,19.22,49.78
2020-12-19 17:05:00,19.18,49.28
2020-12-19 17:15:00,18.88,48.90
2020-12-19 17:25:00,18.96,49.14
2020-12-19 17:35:00,17.37,51.97
2020-12-19 17:45:00,14.04,57.48
2020-12-19 17:55:00,12.30,60.52
2020-12-19 18:05:00,10.89,63.41
2020-12-19 18:15:00,9.82,66.16
2020-12-19 18:25:00,9.16,68.13
2020-12-19 18:35:00,8.68,70.10
2020-12-19 18:45:00,8.36,72.11
2020-12-19 18:55:00,8.38,73.44
2020-12-19 19:05:00,8.42,74.14
2020-12-19 19:15:00,8.48,74.19
2020-12-19 19:25:00,8.37,73.72
2020-12-19 19:35:00,8.33,73.52
2020-12-19 19:45:00,8.37,73.60
2020-12-19 19:55:00,8.38,73.53
2020-12-19 20:05:00,8.40,73.42
2020-12-19 20:15:00,8.42,73.28
2020-12-19 20:25:00,8.47,73.17
2020-12-19 20:35:00,8.52,73.08
2020-12-19 20:45:00,8.56,73.02
2020-12-19 20:55:00,8.64,72.84
2020-12-19 21:05:00,8.70,72.58
2020-12-19 21:15:00,8.74,72.22
2020-12-19 21:25:00,8.74,72.02
2020-12-19 21:35:00,8.75,71.86
2020-12-19 21:45:00,8.78,71.75
2020-12-19 21:55:00,8.85,71.70
2020-12-19 22:05:00,8.88,71.59
2020-12-19 22:15:00,8.88,71.40
2020-12-19 22:25:00,8.91,71.27
2020-12-19 22:35:00,8.93,71.19
2020-12-19 22:45:00,8.96,71.16
2020-12-19 22:55:00,8.99,71.08
2020-12-19 23:05:00,9.03,71.02
2020-12-19 23:15:00,9.07,70.98
2020-12-19 23:25:00,9.10,70.87
2020-12-19 23:35:00,9.11,70.79
2020-12-19 23:45:00,9.10,70.72
2020-12-19 23:55:00,9.11,70.75
2020-12-20 00:05:00,9.11,70.77
2020-12-20 00:15:00,9.08,70.78
2020-12-20 00:25:00,9.07,70.81
2020-12-20 00:35:00,9.06,70.88
2020-12-20 00:45:00,9.05,70.99
2020-12-20 00:55:00,9.02,71.06
2020-12-20 01:05:00,9.01,71.13
2020-12-20 01:15:00,9.04,71.19
2020-12-20 01:25:00,9.05,71.26
2020-12-20 01:35:00,9.05,71.33
2020-12-20 01:45:00,9.03,71.40
2020-12-20 01:55:00,9.02,71.44
2020-12-20 02:05:00,9.02,71.47
2020-12-20 02:15:00,9.04,71.48
2020-12-20 02:25:00,9.03,71.53
2020-12-20 02:35:00,9.02,71.58
2020-12-20 02:45:00,9.01,71.61
2020-12-20 02:55:00,9.04,71.60
2020-12-20 03:05:00,9.04,71.62
2020-12-20 03:15:00,9.02,71.66
2020-12-20 03:25:00,9.02,71.63
2020-12-20 03:35:00,9.02,71.61
2020-12-20 03:45:00,9.03,71.61
2020-12-20 03:55:00,9.01,71.64
2020-12-20 04:05:00,8.99,71.66
2020-12-20 04:15:00,8.97,71.67
2020-12-20 04:25:00,8.99,71.63
2020-12-20 04:35:00,9.01,71.61
2020-12-20 04:45:00,9.03,71.61
2020-12-20 04:55:00,9.00,71.58
2020-12-20 05:05:00,8.99,71.53
2020-12-20 05:15:00,9.00,71.46
2020-12-20 05:25:00,8.99,71.39
2020-12-20 05:35:00,8.97,71.36
2020-12-20 05:45:00,8.94,71.37
2020-12-20 05:55:00,8.94,71.33
2020-12-20 06:05:00,8.91,71.30
2020-12-20 06:15:00,8.84,71.28
2020-12-20 06:25:00,8.79,71.32
2020-12-20 06:35:00,8.78,71.35
2020-12-20 06:45:00,8.79,71.36
2020-12-20 06:55:00,8.76,71.31
2020-12-20 07:05:00,8.74,71.28
2020-12-20 07:15:00,8.72,71.25
2020-12-20 07:25:00,8.69,71.26
2020-12-20 07:35:00,8.66,71.24
2020-12-20 07:45:00,8.65,71.21
2020-12-20 07:55:00,8.61,71.22
2020-12-20 08:05:00,8.58,71.24
2020-12-20 08:15:00,8.57,71.27
2020-12-20 08:25:00,8.56,71.29
2020-12-20 08:35:00,8.56,71.29
2020-12-20 08:45:00,8.55,71.28
2020-12-20 08:55:00,8.56,71.31
2020-12-20 09:05:00,8.57,71.30
2020-12-20 09:15:00,8.57,71.25
2020-12-20 09:25:00,8.60,71.22
2020-12-20 09:35:00,8.62,71.21
2020-12-20 09:45:00,8.61,71.21
2020-12-20 09:55:00,8.61,71.25
2020-12-20 10:05:00,8.62,71.26
2020-12-20 10:15:00,8.64,71.23
2020-12-20 10:25:00,8.65,71.26
2020-12-20 10:35:00,8.66,71.31
2020-12-20 10:45:00,8.68,71.36
2020-12-20 10:55:00,8.69,71.31
2020-12-20 11:05:00,8.71,71.29
2020-12-20 11:15:00,8.72,71.30
2020-12-20 11:25:00,8.73,71.33
2020-12-20 11:35:00,8.74,71.35
2020-12-20 11:45:00,8.73,71.35
2020-12-20 11:55:00,8.74,71.38
2020-12-20 12:05:00,8.74,71.41
2020-12-20 12:15:00,8.74,71.42
2020-12-20 12:25:00,8.76,71.47
2020-12-20 12:35:00,8.76,71.52
2020-12-20 12:45:00,8.75,71.55
2020-12-20 12:55:00,8.78,71.58
2020-12-20 13:05:00,8.80,71.61
2020-12-20 13:15:00,8.79,71.65
2020-12-20 13:25:00,8.80,71.66
2020-12-20 13:35:00,8.81,71.71
2020-12-20 13:45:00,8.82,71.80
2020-12-20 13:55:00,8.84,71.79
2020-12-20 14:05:00,8.84,71.81
2020-12-20 14:15:00,8.83,71.85
2020-12-20 14:25:00,8.88,71.84
2020-12-20 14:35:00,8.91,71.83
2020-12-20 14:45:00,8.90,71.83
2020-12-20 14:55:00,8.90,71.83
2020-12-20 15:05:00,8.90,71.88
2020-12-20 15:15:00,8.91,71.99
2020-12-20 15:25:00,9.06,72.36
2020-12-20 15:35:00,9.22,72.51
2020-12-20 15:45:00,9.38,72.42
2020-12-20 15:55:00,9.56,72.17
2020-12-20 16:05:00,9.72,71.83
2020-12-20 16:15:00,9.87,71.40
2020-12-20 16:25:00,9.99,71.10
2020-12-20 16:35:00,10.12,70.79
2020-12-20 16:45:00,10.24,70.47
2020-12-20 16:55:00,10.34,70.01
2020-12-20 17:05:00,10.43,69.59
2020-12-20 17:15:00,10.52,69.20
2020-12-20 17:25:00,10.55,68.97
2020-12-20 17:35:00,10.58,68.78
2020-12-20 17:45:00,10.62,68.62
2020-12-20 17:55:00,10.67,68.48
2020-12-20 18:05:00,10.70,68.34
2020-12-20 18:15:00,10.71,68.22
2020-12-20 18:25:00,10.74,68.12
2020-12-20 18:35:00,10.77,68.00
2020-12-20 18:45:00,10.81,67.87
2020-12-20 18:55:00,10.83,67.80
2020-12-20 19:05:00,10.85,67.72
2020-12-20 19:15:00,10.86,67.63
2020-12-20 19:25:00,10.91,67.58
2020-12-20 19:35:00,10.95,67.51
2020-12-20 19:45:00,10.98,67.41
2020-12-20 19:55:00,10.99,67.29
2020-12-20 20:05:00,11.00,67.18
2020-12-20 20:15:00,11.03,67.07
2020-12-20 20:25:00,11.02,67.06
2020-12-20 20:35:00,11.03,67.07
2020-12-20 20:45:00,11.04,67.12
2020-12-20 20:55:00,11.06,67.17
2020-12-20 21:05:00,11.10,67.19
2020-12-20 21:15:00,11.15,67.19
2020-12-20 21:25:00,11.19,67.12
2020-12-20 21:35:00,11.23,67.08
2020-12-20 21:45:00,11.28,67.07
2020-12-20 21:55:00,11.36,67.06
2020-12-20 22:05:00,11.44,66.96
2020-12-20 22:15:00,11.53,66.78
2020-12-20 22:25:00,11.63,66.55
2020-12-20 22:35:00,11.70,66.34
2020-12-20 22:45:00,11.75,66.16
2020-12-20 22:55:00,11.81,65.94
2020-12-20 23:05:00,11.86,65.72
2020-12-20 23:15:00,11.91,65.50
2020-12-20 23:25:00,11.92,65.32
2020-12-20 23:35:00,11.94,65.18
2020-12-20 23:45:00,11.95,65.09
2020-12-20 23:55:00,11.97,65.06
2020-12-21 00:05:00,11.98,65.02
2020-12-21 00:15:00,11.99,64.99
2020-12-21 00:25:00,11.99,64.89
2020-12-21 00:35:00,11.96,64.79
2020-12-21 00:45:00,11.91,64.69
2020-12-21 00:55:00,11.85,64.76
2020-12-21 01:05:00,11.79,64.90
2020-12-21 01:15:00,11.73,65.12
2020-12-21 01:25:00,11.70,65.32
2020-12-21 01:35:00,11.69,65.48
2020-12-21 01:45:00,11.68,65.58
2020-12-21 01:55:00,11.65,65.63
2020-12-21 02:05:00,11.66,65.68
2020-12-21 02:15:00,11.69,65.73
2020-12-21 02:25:00,11.70,65.72
2020-12-21 02:35:00,11.71,65.71
2020-12-21 02:45:00,11.72,65.70
2020-12-21 02:55:00,11.73,65.69
2020-12-21 03:05:00,11.75,65.66
2020-12-21 03:15:00,11.77,65.62
2020-12-21 03:25:00,11.80,65.59
2020-12-21 03:35:00,11.80,65.55
2020-12-21 03:45:00,11.79,65.52
2020-12-21 03:55:00,11.84,65.48
2020-12-21 04:05:00,11.85,65.44
2020-12-21 04:15:00,11.84,65.41
2020-12-21 04:25:00,11.87,65.37
2020-12-21 04:35:00,11.90,65.33
2020-12-21 04:45:00,11.91,65.30
2020-12-21 04:55:00,11.91,65.27
2020-12-21 05:05:00,11.91,65.25
2020-12-21 05:15:00,11.90,65.25
2020-12-21 05:25:00,11.93,65.21
2020-12-21 05:35:00,11.96,65.16
2020-12-21 05:45:00,11.98,65.11
2020-12-21 05:55:00,11.97,65.06
2020-12-21 06:05:00,11.97,65.01
2020-12-21 06:15:00,11.96,64.94
2020-12-21 06:25:00,11.97,64.91
2020-12-21 06:35:00,11.98,64.85
2020-12-21 06:45:00,11.99,64.78
2020-12-21 06:55:00,11.98,64.75
2020-12-21 07:05:00,11.98,64.70
2020-12-21 07:15:00,11.97,64.63
2020-12-21 07:25:00,11.95,64.56
2020-12-21 07:35:00,11.93,64.50
2020-12-21 07:45:00,11.92,64.44
2020-12-21 07:55:00,11.93,64.37
2020-12-21 08:05:00,11.93,64.30
2020-12-21 08:15:00,11.91,64.23
2020-12-21 08:25:00,11.91,64.20
2020-12-21 08:35:00,11.91,64.18
2020-12-21 08:45:00,11.92,64.18
2020-12-21 08:55:00,11.93,64.11
2020-12-21 09:05:00,11.95,64.00
2020-12-21 09:15:00,11.98,63.86
2020-12-21 09:25:00,12.01,63.72
2020-12-21 09:35:00,12.02,63.57
2020-12-21 09:45:00,12.03,63.40
2020-12-21 09:55:00,12.04,63.26
