t_UTC+2,T,RH
2020-12-18 15:15:00,17.43,36.87
2020-12-18 15:25:00,12.04,53.44
2020-12-18 15:35:00,9.49,64.74
2020-12-18 15:45:00,9.76,70.77
2020-12-18 15:55:00,11.84,68.40
2020-12-18 16:05:00,13.48,65.32
2020-12-18 16:15:00,14.69,61.54
2020-12-18 16:25:00,15.50,57.93
2020-12-18 16:35:00,16.17,55.17
2020-12-18 16:45:00,16.71,53.25
2020-12-18 16:55:00,17.12,51.04
2020-12-18 17:05:00,17.49,49.52
2020-12-18 17:15:00,17.80,48.69
2020-12-18 17:25:00,18.03,49.08
2020-12-18 17:35:00,18.20,48.47
2020-12-18 17:45:00,18.33,46.87
2020-12-18 17:55:00,18.46,45.70
2020-12-18 18:05:00,18.55,44.73
2020-12-18 18:15:00,18.58,43.97
2020-12-18 18:25:00,18.65,43.03
2020-12-18 18:35:00,18.70,42.33
2020-12-18 18:45:00,18.73,41.86
2020-12-18 18:55:00,18.77,41.91
2020-12-18 19:05:00,18.82,42.19
2020-12-18 19:15:00,18.87,42.68
2020-12-18 19:25:00,18.90,42.65
2020-12-18 19:35:00,18.93,42.71
2020-12-18 19:45:00,18.96,42.87
2020-12-18 19:55:00,19.04,42.50
2020-12-18 20:05:00,19.09,42.29
2020-12-18 20:15:00,19.11,42.25
2020-12-18 20:25:00,19.13,42.19
2020-12-18 20:35:00,19.14,42.14
2020-12-18 20:45:00,19.14,42.09
2020-12-18 20:55:00,19.17,42.06
2020-12-18 21:05:00,19.18,42.02
2020-12-18 21:15:00,19.18,41.96
2020-12-18 21:25:00,19.19,41.93
2020-12-18 21:35:00,19.21,41.90
2020-12-18 21:45:00,19.22,41.85
2020-12-18 21:55:00,19.21,41.84
2020-12-18 22:05:00,19.22,41.83
2020-12-18 22:15:00,19.23,41.83
2020-12-18 22:25:00,19.24,41.83
2020-12-18 22:35:00,19.25,41.83
2020-12-18 22:45:00,19.24,41.83
2020-12-18 22:55:00,19.25,41.80
2020-12-18 23:05:00,19.26,41.78
2020-12-18 23:15:00,19.27,41.76
2020-12-18 23:25:00,19.26,41.75
2020-12-18 23:35:00,19.25,41.73
2020-12-18 23:45:00,19.25,41.70
2020-12-18 23:55:00,19.24,41.67
2020-12-19 00:05:00,19.25,41.65
2020-12-19 00:15:00,19.30,41.63
2020-12-19 00:25:00,19.29,41.60
2020-12-19 00:35:00,19.28,41.58
2020-12-19 00:45:00,19.28,41.57
2020-12-19 00:55:00,19.28,41.54
2020-12-19 01:05:00,19.28,41.51
2020-12-19 01:15:00,19.29,41.48
2020-12-19 01:25:00,19.28,41.45
2020-12-19 01:35:00,19.27,41.43
2020-12-19 01:45:00,19.26,41.40
