t_UTC+2,T,RH
2020-12-18 15:15:00,19.07,30.67
2020-12-18 15:25:00,11.00,65.23
2020-12-18 15:35:00,8.37,83.02
2020-12-18 15:45:00,11.17,84.04
2020-12-18 15:55:00,13.83,73.46
2020-12-18 16:05:00,15.75,65.40
2020-12-18 16:15:00,16.92,59.85
2020-12-18 16:25:00,17.55,58.24
2020-12-18 16:35:00,17.99,55.09
2020-12-18 16:45:00,18.25,50.41
2020-12-18 16:55:00,18.59,46.00
2020-12-18 17:05:00,18.81,44.45
2020-12-18 17:15:00,18.90,45.77
2020-12-18 17:25:00,18.96,46.53
2020-12-18 17:35:00,18.99,46.33
2020-12-18 17:45:00,18.99,45.17
2020-12-18 17:55:00,18.98,43.93
2020-12-18 18:05:00,18.99,42.40
2020-12-18 18:15:00,19.02,40.56
2020-12-18 18:25:00,19.02,40.85
2020-12-18 18:35:00,19.02,40.77
2020-12-18 18:45:00,19.03,40.30
2020-12-18 18:55:00,19.04,40.61
2020-12-18 19:05:00,19.08,40.90
2020-12-18 19:15:00,19.16,41.18
2020-12-18 19:25:00,19.17,41.11
2020-12-18 19:35:00,19.16,41.52
2020-12-18 19:45:00,19.14,42.43
2020-12-18 19:55:00,19.19,41.72
2020-12-18 20:05:00,19.19,41.37
2020-12-18 20:15:00,19.16,41.39
2020-12-18 20:25:00,19.18,41.42
2020-12-18 20:35:00,19.19,41.44
2020-12-18 20:45:00,19.20,41.45
2020-12-18 20:55:00,19.21,41.42
2020-12-18 21:05:00,19.21,41.37
2020-12-18 21:15:00,19.19,41.30
2020-12-18 21:25:00,19.21,41.30
2020-12-18 21:35:00,19.23,41.31
2020-12-18 21:45:00,19.24,41.32
2020-12-18 21:55:00,19.24,41.55
2020-12-18 22:05:00,19.24,41.61
2020-12-18 22:15:00,19.24,41.51
2020-12-18 22:25:00,19.24,41.58
2020-12-18 22:35:00,19.25,41.64
2020-12-18 22:45:00,19.26,41.68
2020-12-18 22:55:00,19.27,41.65
2020-12-18 23:05:00,19.27,41.63
2020-12-18 23:15:00,19.28,41.63
2020-12-18 23:25:00,19.29,41.60
2020-12-18 23:35:00,19.29,41.57
2020-12-18 23:45:00,19.29,41.53
2020-12-18 23:55:00,19.30,41.50
2020-12-19 00:05:00,19.30,41.50
2020-12-19 00:15:00,19.28,41.55
2020-12-19 00:25:00,19.31,41.54
2020-12-19 00:35:00,19.31,41.52
2020-12-19 00:45:00,19.28,41.49
2020-12-19 00:55:00,19.29,41.44
2020-12-19 01:05:00,19.29,41.40
2020-12-19 01:15:00,19.30,41.36
2020-12-19 01:25:00,19.30,41.39
2020-12-19 01:35:00,19.29,41.38
2020-12-19 01:45:00,19.28,41.34
2020-12-19 01:55:00,19.29,41.33
2020-12-19 02:05:00,19.30,41.30
2020-12-19 02:15:00,19.32,41.27
2020-12-19 02:25:00,19.31,41.29
2020-12-19 02:35:00,19.30,41.29
2020-12-19 02:45:00,19.30,41.27
2020-12-19 02:55:00,19.28,41.24
2020-12-19 03:05:00,19.29,41.22
2020-12-19 03:15:00,19.34,41.19
2020-12-19 03:25:00,19.30,41.18
2020-12-19 03:35:00,19.29,41.18
2020-12-19 03:45:00,19.30,41.19
