t_UTC+2,T,RH
2010-11-23 00:00:00,-3.54,88.64
2010-11-23 01:00:00,-3.41,88.27
2010-11-23 02:00:00,-3.32,88.34
2010-11-23 03:00:00,-3.27,87.84
2010-11-23 04:00:00,-3.34,86.25
2010-11-23 05:00:00,-3.51,84.19
2010-11-23 06:00:00,-3.64,82.82
2010-11-23 07:00:00,-3.73,82.47
2010-11-23 08:00:00,-3.75,82.37
2010-11-23 09:00:00,-3.71,82.32
2010-11-23 10:00:00,-3.62,83.01
2010-11-23 11:00:00,-3.41,84.06
2010-11-23 12:00:00,-3.27,84.32
2010-11-23 13:00:00,-3.38,83.44
2010-11-23 14:00:00,-3.57,82.65
2010-11-23 15:00:00,-3.69,82.60
2010-11-23 16:00:00,-3.74,83.41
2010-11-23 17:00:00,-3.69,85.38
2010-11-23 18:00:00,-3.54,87.22
2010-11-23 19:00:00,-3.42,88.25
2010-11-23 20:00:00,-3.33,88.48
2010-11-23 21:00:00,-3.27,88.32
2010-11-23 22:00:00,-3.25,88.06
2010-11-23 23:00:00,-3.36,87.32
2010-11-24 00:00:00,-3.44,86.52
2010-11-24 01:00:00,-3.46,86.36
2010-11-24 02:00:00,-3.54,86.61
2010-11-24 03:00:00,-3.54,87.38
2010-11-24 04:00:00,-3.47,88.31
2010-11-24 05:00:00,-3.42,88.87
2010-11-24 06:00:00,-3.35,89.19
2010-11-24 07:00:00,-3.31,89.34
2010-11-24 08:00:00,-3.25,89.97
2010-11-24 09:00:00,-3.12,90.94
2010-11-24 10:00:00,-3.02,91.26
2010-11-24 11:00:00,-2.95,90.80
2010-11-24 12:00:00,-2.87,90.19
2010-11-24 13:00:00,-2.79,89.71
2010-11-24 14:00:00,-2.80,88.84
2010-11-24 15:00:00,-2.88,87.71
2010-11-24 16:00:00,-2.98,86.50
2010-11-24 17:00:00,-3.17,84.95
2010-11-24 18:00:00,-3.39,83.48
2010-11-24 19:00:00,-3.57,82.22
2010-11-24 20:00:00,-3.84,81.44
2010-11-24 21:00:00,-4.12,80.29
2010-11-24 22:00:00,-4.30,79.79
2010-11-24 23:00:00,-4.35,80.26
2010-11-25 00:00:00,-4.47,80.22
2010-11-25 01:00:00,-4.71,80.04
2010-11-25 02:00:00,-4.88,79.44
2010-11-25 03:00:00,-5.04,78.60
2010-11-25 04:00:00,-5.21,77.56
2010-11-25 05:00:00,-5.46,76.03
2010-11-25 06:00:00,-5.68,74.59
2010-11-25 07:00:00,-5.87,73.75
2010-11-25 08:00:00,-6.04,73.38
2010-11-25 09:00:00,-6.23,73.29
