t_UTC+2,T,RH
2010-11-23 00:00:00,-3.60,88.41
2010-11-23 01:00:00,-3.49,88.36
2010-11-23 02:00:00,-3.39,88.41
2010-11-23 03:00:00,-3.31,88.56
2010-11-23 04:00:00,-3.32,88.56
2010-11-23 05:00:00,-3.43,88.46
2010-11-23 06:00:00,-3.52,88.53
2010-11-23 07:00:00,-3.58,88.62
2010-11-23 08:00:00,-3.62,88.45
2010-11-23 09:00:00,-3.60,88.51
2010-11-23 10:00:00,-3.53,88.59
2010-11-23 11:00:00,-3.38,88.34
2010-11-23 12:00:00,-3.28,88.07
2010-11-23 13:00:00,-3.33,88.16
2010-11-23 14:00:00,-3.41,88.31
2010-11-23 15:00:00,-3.50,88.53
2010-11-23 16:00:00,-3.57,89.05
2010-11-23 17:00:00,-3.53,89.41
2010-11-23 18:00:00,-3.42,89.57
2010-11-23 19:00:00,-3.34,89.69
2010-11-23 20:00:00,-3.28,89.75
2010-11-23 21:00:00,-3.20,89.70
2010-11-23 22:00:00,-3.16,89.67
2010-11-23 23:00:00,-3.20,89.76
2010-11-24 00:00:00,-3.25,89.89
2010-11-24 01:00:00,-3.30,89.92
2010-11-24 02:00:00,-3.35,90.00
2010-11-24 03:00:00,-3.35,90.18
2010-11-24 04:00:00,-3.33,90.20
2010-11-24 05:00:00,-3.27,90.16
2010-11-24 06:00:00,-3.23,90.19
2010-11-24 07:00:00,-3.22,90.25
2010-11-24 08:00:00,-3.15,90.31
2010-11-24 09:00:00,-3.03,90.25
2010-11-24 10:00:00,-2.96,90.19
2010-11-24 11:00:00,-2.88,90.23
2010-11-24 12:00:00,-2.81,90.18
2010-11-24 13:00:00,-2.75,90.15
2010-11-24 14:00:00,-2.74,90.16
2010-11-24 15:00:00,-2.76,90.21
2010-11-24 16:00:00,-2.80,90.24
2010-11-24 17:00:00,-2.89,90.12
2010-11-24 18:00:00,-3.04,89.89
2010-11-24 19:00:00,-3.20,89.73
2010-11-24 20:00:00,-3.40,89.70
2010-11-24 21:00:00,-3.57,89.72
2010-11-24 22:00:00,-3.73,89.49
2010-11-24 23:00:00,-3.90,89.21
2010-11-25 00:00:00,-4.04,88.72
2010-11-25 01:00:00,-4.22,87.89
2010-11-25 02:00:00,-4.41,87.61
2010-11-25 03:00:00,-4.61,87.63
2010-11-25 04:00:00,-4.74,87.33
2010-11-25 05:00:00,-4.95,87.02
2010-11-25 06:00:00,-5.17,87.02
2010-11-25 07:00:00,-5.36,86.20
2010-11-25 08:00:00,-5.55,85.72
2010-11-25 09:00:00,-5.71,85.60
2010-11-25 10:00:00,-5.83,84.94
2010-11-25 11:00:00,-5.92,84.62
2010-11-25 12:00:00,-5.98,83.75
2010-11-25 13:00:00,-6.00,83.28
2010-11-25 14:00:00,-6.05,83.38
2010-11-25 15:00:00,-6.18,83.13
2010-11-25 16:00:00,-6.36,83.80
2010-11-25 17:00:00,-6.62,83.91
2010-11-25 18:00:00,-6.87,83.94
2010-11-25 19:00:00,-7.11,84.33
2010-11-25 20:00:00,-7.46,84.19
2010-11-25 21:00:00,-7.82,84.88
2010-11-25 22:00:00,-8.14,84.98
2010-11-25 23:00:00,-8.43,84.11
2010-11-26 00:00:00,-8.70,83.56
2010-11-26 01:00:00,-8.96,83.57
2010-11-26 02:00:00,-9.21,83.34
2010-11-26 03:00:00,-9.54,83.20
2010-11-26 04:00:00,-9.85,83.34
2010-11-26 05:00:00,-10.13,82.70
2010-11-26 06:00:00,-10.40,82.23
2010-11-26 07:00:00,-10.64,82.12
2010-11-26 08:00:00,-10.89,81.28
2010-11-26 09:00:00,-11.08,80.58
2010-11-26 10:00:00,-11.16,79.91
2010-11-26 11:00:00,-11.09,79.20
2010-11-26 12:00:00,-10.94,79.06
2010-11-26 13:00:00,-10.73,79.24
2010-11-26 14:00:00,-10.54,79.33
2010-11-26 15:00:00,-10.47,79.09
2010-11-26 16:00:00,-10.63,79.03
2010-11-26 17:00:00,-10.89,79.53
2010-11-26 18:00:00,-11.11,79.97
2010-11-26 19:00:00,-11.27,79.96
2010-11-26 20:00:00,-11.45,79.88
2010-11-26 21:00:00,-11.62,79.79
2010-11-26 22:00:00,-11.76,79.86
2010-11-26 23:00:00,-11.88,79.80
2010-11-27 00:00:00,-11.91,79.39
2010-11-27 01:00:00,-11.82,79.12
2010-11-27 02:00:00,-11.71,79.28
2010-11-27 03:00:00,-11.63,79.44
2010-11-27 04:00:00,-11.55,79.62
2010-11-27 05:00:00,-11.46,79.88
2010-11-27 06:00:00,-11.36,80.17
2010-11-27 07:00:00,-11.22,80.50
2010-11-27 08:00:00,-11.12,80.67
2010-11-27 09:00:00,-11.04,80.69
2010-11-27 10:00:00,-10.91,80.93
2010-11-27 11:00:00,-10.76,81.05
2010-11-27 12:00:00,-10.56,80.91
2010-11-27 13:00:00,-10.36,80.81
2010-11-27 14:00:00,-10.16,80.80
2010-11-27 15:00:00,-10.08,80.84
2010-11-27 16:00:00,-10.09,80.82
2010-11-27 17:00:00,-10.07,80.73
2010-11-27 18:00:00,-10.10,80.62
2010-11-27 19:00:00,-10.16,80.83
2010-11-27 20:00:00,-10.27,80.99
2010-11-27 21:00:00,-10.43,81.24
2010-11-27 22:00:00,-10.66,81.79
2010-11-27 23:00:00,-10.93,82.18
2010-11-28 00:00:00,-11.18,82.14
2010-11-28 01:00:00,-11.41,81.47
2010-11-28 02:00:00,-11.62,80.84
2010-11-28 03:00:00,-11.86,80.95
2010-11-28 04:00:00,-12.13,80.76
2010-11-28 05:00:00,-12.40,80.44
2010-11-28 06:00:00,-12.68,80.58
2010-11-28 07:00:00,-12.97,80.23
2010-11-28 08:00:00,-13.27,79.72
2010-11-28 09:00:00,-13.55,78.87
2010-11-28 10:00:00,-13.62,78.00
2010-11-28 11:00:00,-13.42,77.78
2010-11-28 12:00:00,-13.01,78.45
2010-11-28 13:00:00,-12.57,79.12
2010-11-28 14:00:00,-12.16,79.99
2010-11-28 15:00:00,-12.04,79.83
2010-11-28 16:00:00,-12.38,78.88
2010-11-28 17:00:00,-12.82,79.52
2010-11-28 18:00:00,-13.21,80.00
2010-11-28 19:00:00,-13.55,79.73
2010-11-28 20:00:00,-13.91,79.05
2010-11-28 21:00:00,-14.29,78.47
2010-11-28 22:00:00,-14.48,77.38
2010-11-28 23:00:00,-14.57,76.09
2010-11-29 00:00:00,-14.75,75.88
2010-11-29 01:00:00,-15.04,76.10
2010-11-29 02:00:00,-15.26,76.66
2010-11-29 03:00:00,-15.33,77.10
2010-11-29 04:00:00,-15.28,77.09
2010-11-29 05:00:00,-15.06,77.29
2010-11-29 06:00:00,-14.85,77.45
2010-11-29 07:00:00,-14.83,77.34
2010-11-29 08:00:00,-14.90,77.24
2010-11-29 09:00:00,-14.97,77.22
2010-11-29 10:00:00,-14.96,77.23
2010-11-29 11:00:00,-14.76,77.59
2010-11-29 12:00:00,-14.38,78.20
2010-11-29 13:00:00,-13.87,79.71
2010-11-29 14:00:00,-13.36,80.94
2010-11-29 15:00:00,-13.32,79.62
2010-11-29 16:00:00,-13.66,78.15
2010-11-29 17:00:00,-13.97,78.00
2010-11-29 18:00:00,-14.25,77.95
2010-11-29 19:00:00,-14.48,77.83
2010-11-29 20:00:00,-14.68,77.69
2010-11-29 21:00:00,-14.88,77.64
2010-11-29 22:00:00,-15.02,77.40
2010-11-29 23:00:00,-15.09,77.20
2010-11-30 00:00:00,-15.13,77.08
