t_UTC+2,T,RH
2010-11-23 00:00:00,-3.34,88.81
2010-11-23 01:00:00,-3.23,89.30
2010-11-23 02:00:00,-3.15,89.34
2010-11-23 03:00:00,-3.12,89.09
2010-11-23 04:00:00,-3.21,87.78
2010-11-23 05:00:00,-3.54,86.17
2010-11-23 06:00:00,-3.79,85.34
2010-11-23 07:00:00,-3.83,85.25
2010-11-23 08:00:00,-3.83,85.34
2010-11-23 09:00:00,-3.68,84.98
2010-11-23 10:00:00,-3.46,84.95
2010-11-23 11:00:00,-3.23,85.49
2010-11-23 12:00:00,-3.12,85.72
2010-11-23 13:00:00,-3.30,85.06
2010-11-23 14:00:00,-3.56,84.56
2010-11-23 15:00:00,-3.74,84.95
2010-11-23 16:00:00,-3.80,85.66
2010-11-23 17:00:00,-3.63,87.00
2010-11-23 18:00:00,-3.42,88.44
2010-11-23 19:00:00,-3.28,89.46
2010-11-23 20:00:00,-3.20,89.78
2010-11-23 21:00:00,-3.16,89.62
2010-11-23 22:00:00,-3.16,89.49
2010-11-23 23:00:00,-3.28,88.86
2010-11-24 00:00:00,-3.40,88.25
2010-11-24 01:00:00,-3.50,88.52
2010-11-24 02:00:00,-3.55,88.59
2010-11-24 03:00:00,-3.49,89.03
2010-11-24 04:00:00,-3.41,89.88
2010-11-24 05:00:00,-3.33,90.29
2010-11-24 06:00:00,-3.31,90.88
2010-11-24 07:00:00,-3.27,91.05
2010-11-24 08:00:00,-3.13,91.39
2010-11-24 09:00:00,-2.98,92.06
2010-11-24 10:00:00,-2.87,92.16
2010-11-24 11:00:00,-2.80,91.60
2010-11-24 12:00:00,-2.69,91.03
2010-11-24 13:00:00,-2.64,90.69
2010-11-24 14:00:00,-2.67,89.85
2010-11-24 15:00:00,-2.81,88.91
2010-11-24 16:00:00,-2.94,88.02
2010-11-24 17:00:00,-3.15,87.29
2010-11-24 18:00:00,-3.48,86.14
2010-11-24 19:00:00,-3.79,84.81
2010-11-24 20:00:00,-4.12,84.67
2010-11-24 21:00:00,-4.33,84.03
2010-11-24 22:00:00,-4.50,83.53
2010-11-24 23:00:00,-4.63,83.94
2010-11-25 00:00:00,-4.79,84.18
2010-11-25 01:00:00,-5.08,84.37
2010-11-25 02:00:00,-5.31,83.89
2010-11-25 03:00:00,-5.46,82.89
2010-11-25 04:00:00,-5.69,82.03
2010-11-25 05:00:00,-6.02,80.57
2010-11-25 06:00:00,-6.15,79.00
2010-11-25 07:00:00,-6.38,78.50
2010-11-25 08:00:00,-6.59,78.11
2010-11-25 09:00:00,-6.67,77.97
2010-11-25 10:00:00,-6.89,78.11
2010-11-25 11:00:00,-6.83,77.81
2010-11-25 12:00:00,-6.64,77.23
2010-11-25 13:00:00,-6.57,76.98
2010-11-25 14:00:00,-6.66,76.85
