t_UTC+2,T,RH
2010-11-23 00:00:00,-2.58,85.69
2010-11-23 01:00:00,-2.48,85.96
2010-11-23 02:00:00,-2.40,86.03
2010-11-23 03:00:00,-2.35,85.70
2010-11-23 04:00:00,-2.40,84.37
2010-11-23 05:00:00,-2.58,81.98
2010-11-23 06:00:00,-2.73,81.07
2010-11-23 07:00:00,-2.79,81.27
2010-11-23 08:00:00,-2.80,81.06
2010-11-23 09:00:00,-2.80,80.92
2010-11-23 10:00:00,-2.74,80.94
2010-11-23 11:00:00,-2.58,81.75
2010-11-23 12:00:00,-2.47,81.93
2010-11-23 13:00:00,-2.54,80.69
2010-11-23 14:00:00,-2.75,80.11
2010-11-23 15:00:00,-2.88,80.88
2010-11-23 16:00:00,-2.93,81.80
2010-11-23 17:00:00,-2.85,83.06
2010-11-23 18:00:00,-2.70,84.59
2010-11-23 19:00:00,-2.62,85.60
2010-11-23 20:00:00,-2.55,85.89
2010-11-23 21:00:00,-2.47,85.78
2010-11-23 22:00:00,-2.48,85.50
2010-11-23 23:00:00,-2.58,84.88
2010-11-24 00:00:00,-2.65,84.06
2010-11-24 01:00:00,-2.73,83.91
2010-11-24 02:00:00,-2.77,84.41
2010-11-24 03:00:00,-2.73,84.99
2010-11-24 04:00:00,-2.70,85.66
2010-11-24 05:00:00,-2.65,86.24
2010-11-24 06:00:00,-2.59,86.53
2010-11-24 07:00:00,-2.58,86.69
2010-11-24 08:00:00,-2.51,87.19
2010-11-24 09:00:00,-2.38,87.98
2010-11-24 10:00:00,-2.25,88.22
2010-11-24 11:00:00,-2.17,87.66
2010-11-24 12:00:00,-2.10,87.10
2010-11-24 13:00:00,-2.04,86.66
2010-11-24 14:00:00,-2.05,85.72
2010-11-24 15:00:00,-2.11,84.64
2010-11-24 16:00:00,-2.19,83.83
2010-11-24 17:00:00,-2.33,82.67
2010-11-24 18:00:00,-2.56,81.34
2010-11-24 19:00:00,-2.81,80.33
2010-11-24 20:00:00,-3.10,79.39
2010-11-24 21:00:00,-3.37,78.54
2010-11-24 22:00:00,-3.54,78.56
2010-11-24 23:00:00,-3.65,79.47
2010-11-25 00:00:00,-3.79,79.67
2010-11-25 01:00:00,-4.08,79.41
2010-11-25 02:00:00,-4.30,79.22
2010-11-25 03:00:00,-4.37,78.45
2010-11-25 04:00:00,-4.54,76.95
2010-11-25 05:00:00,-4.78,75.37
2010-11-25 06:00:00,-4.88,75.06
2010-11-25 07:00:00,-5.07,74.80
2010-11-25 08:00:00,-5.21,74.49
2010-11-25 09:00:00,-5.37,74.91
2010-11-25 10:00:00,-5.56,73.69
2010-11-25 11:00:00,-5.44,72.26
2010-11-25 12:00:00,-5.37,71.45
2010-11-25 13:00:00,-5.37,71.17
2010-11-25 14:00:00,-5.39,72.31
2010-11-25 15:00:00,-5.70,72.12
2010-11-25 16:00:00,-5.89,72.03
2010-11-25 17:00:00,-6.09,72.10
2010-11-25 18:00:00,-6.43,72.15
2010-11-25 19:00:00,-6.66,71.77
2010-11-25 20:00:00,-6.92,71.09
2010-11-25 21:00:00,-7.10,71.63
2010-11-25 22:00:00,-7.29,71.44
2010-11-25 23:00:00,-7.56,70.72
2010-11-26 00:00:00,-7.75,70.89
2010-11-26 01:00:00,-7.79,71.41
2010-11-26 02:00:00,-7.92,71.45
2010-11-26 03:00:00,-8.16,71.52
2010-11-26 04:00:00,-8.47,70.98
2010-11-26 05:00:00,-8.80,70.63
2010-11-26 06:00:00,-9.14,70.84
2010-11-26 07:00:00,-9.46,71.09
2010-11-26 08:00:00,-9.70,71.39
2010-11-26 09:00:00,-9.89,71.35
2010-11-26 10:00:00,-9.95,71.56
2010-11-26 11:00:00,-9.77,71.94
2010-11-26 12:00:00,-9.27,72.78
2010-11-26 13:00:00,-8.81,73.41
2010-11-26 14:00:00,-8.71,73.81
2010-11-26 15:00:00,-8.79,74.91
2010-11-26 16:00:00,-9.02,75.10
2010-11-26 17:00:00,-9.33,74.13
2010-11-26 18:00:00,-9.68,72.77
2010-11-26 19:00:00,-9.90,73.02
2010-11-26 20:00:00,-10.04,73.83
2010-11-26 21:00:00,-10.21,74.43
2010-11-26 22:00:00,-10.31,75.05
2010-11-26 23:00:00,-10.38,74.97
2010-11-27 00:00:00,-10.44,75.29
2010-11-27 01:00:00,-10.41,76.64
2010-11-27 02:00:00,-10.28,78.04
2010-11-27 03:00:00,-10.19,78.60
2010-11-27 04:00:00,-10.11,78.92
2010-11-27 05:00:00,-10.05,79.34
2010-11-27 06:00:00,-9.99,79.89
2010-11-27 07:00:00,-9.88,80.09
2010-11-27 08:00:00,-9.75,80.14
2010-11-27 09:00:00,-9.60,80.60
2010-11-27 10:00:00,-9.43,81.15
2010-11-27 11:00:00,-9.20,81.50
2010-11-27 12:00:00,-8.98,81.48
2010-11-27 13:00:00,-8.77,81.58
2010-11-27 14:00:00,-8.62,81.49
2010-11-27 15:00:00,-8.55,80.78
2010-11-27 16:00:00,-8.59,79.65
2010-11-27 17:00:00,-8.66,78.93
2010-11-27 18:00:00,-8.73,77.66
2010-11-27 19:00:00,-8.83,76.36
2010-11-27 20:00:00,-8.92,76.20
2010-11-27 21:00:00,-9.09,75.41
2010-11-27 22:00:00,-9.25,74.33
2010-11-27 23:00:00,-9.46,73.56
2010-11-28 00:00:00,-9.77,72.79
2010-11-28 01:00:00,-10.09,72.17
2010-11-28 02:00:00,-10.34,72.14
2010-11-28 03:00:00,-10.50,72.05
2010-11-28 04:00:00,-10.70,71.64
2010-11-28 05:00:00,-10.97,71.26
2010-11-28 06:00:00,-11.29,71.03
2010-11-28 07:00:00,-11.62,71.09
2010-11-28 08:00:00,-11.91,71.40
2010-11-28 09:00:00,-12.16,71.81
2010-11-28 10:00:00,-12.13,72.97
2010-11-28 11:00:00,-11.55,76.69
2010-11-28 12:00:00,-10.11,78.03
2010-11-28 13:00:00,-9.30,76.63
2010-11-28 14:00:00,-9.54,77.25
2010-11-28 15:00:00,-9.79,77.83
2010-11-28 16:00:00,-10.12,78.54
2010-11-28 17:00:00,-10.43,78.36
2010-11-28 18:00:00,-10.77,76.80
2010-11-28 19:00:00,-11.02,76.62
2010-11-28 20:00:00,-11.38,75.01
2010-11-28 21:00:00,-11.79,73.56
2010-11-28 22:00:00,-12.04,73.88
2010-11-28 23:00:00,-12.27,74.25
2010-11-29 00:00:00,-12.39,75.14
2010-11-29 01:00:00,-12.54,74.98
2010-11-29 02:00:00,-12.73,75.12
2010-11-29 03:00:00,-12.82,76.19
2010-11-29 04:00:00,-12.86,78.22
2010-11-29 05:00:00,-12.72,80.47
2010-11-29 06:00:00,-12.54,81.31
2010-11-29 07:00:00,-12.50,80.73
2010-11-29 08:00:00,-12.52,79.90
2010-11-29 09:00:00,-12.57,79.66
2010-11-29 10:00:00,-12.54,79.57
2010-11-29 11:00:00,-12.05,84.44
2010-11-29 12:00:00,-10.62,84.09
2010-11-29 13:00:00,-9.87,79.10
2010-11-29 14:00:00,-10.26,79.62
2010-11-29 15:00:00,-10.64,79.38
2010-11-29 16:00:00,-11.23,78.37
2010-11-29 17:00:00,-11.77,78.26
2010-11-29 18:00:00,-12.02,79.34
2010-11-29 19:00:00,-12.25,78.54
2010-11-29 20:00:00,-12.54,76.59
2010-11-29 21:00:00,-12.88,75.31
2010-11-29 22:00:00,-13.19,75.00
2010-11-29 23:00:00,-13.28,76.66
2010-11-30 00:00:00,-13.31,77.31
2010-11-30 01:00:00,-13.36,77.53
2010-11-30 02:00:00,-13.39,78.57
2010-11-30 03:00:00,-13.53,78.27
2010-11-30 04:00:00,-13.63,77.88
2010-11-30 05:00:00,-13.60,78.15
2010-11-30 06:00:00,-13.55,78.44
2010-11-30 07:00:00,-13.57,78.39
2010-11-30 08:00:00,-13.54,78.97
2010-11-30 09:00:00,-13.47,80.03
2010-11-30 10:00:00,-13.27,80.72
2010-11-30 11:00:00,-12.51,85.80
2010-11-30 12:00:00,-10.28,84.38
2010-11-30 13:00:00,-9.20,80.59
2010-11-30 14:00:00,-9.73,81.89
2010-11-30 15:00:00,-9.98,81.58
2010-11-30 16:00:00,-10.46,81.94
2010-11-30 17:00:00,-10.77,81.98
2010-11-30 18:00:00,-10.88,82.77
2010-11-30 19:00:00,-10.81,83.81
2010-11-30 20:00:00,-10.62,84.91
2010-11-30 21:00:00,-10.46,85.28
2010-11-30 22:00:00,-10.37,84.89
2010-11-30 23:00:00,-10.38,84.00
2010-12-01 00:00:00,-10.44,82.95
2010-12-01 01:00:00,-10.52,82.59
2010-12-01 02:00:00,-10.54,82.57
2010-12-01 03:00:00,-10.50,81.75
2010-12-01 04:00:00,-10.36,81.47
2010-12-01 05:00:00,-10.11,82.50
2010-12-01 06:00:00,-9.85,84.14
2010-12-01 07:00:00,-9.53,86.59
2010-12-01 08:00:00,-9.20,88.22
2010-12-01 09:00:00,-8.93,88.45
2010-12-01 10:00:00,-8.66,88.46
2010-12-01 11:00:00,-7.71,90.34
2010-12-01 12:00:00,-6.96,90.87
2010-12-01 13:00:00,-6.96,89.73
2010-12-01 14:00:00,-6.68,90.61
2010-12-01 15:00:00,-6.38,90.77
2010-12-01 16:00:00,-6.28,89.87
2010-12-01 17:00:00,-6.17,89.86
2010-12-01 18:00:00,-6.00,89.77
