t_UTC+2,T,RH
2010-11-23 00:00:00,-3.01,82.60
2010-11-23 01:00:00,-2.92,82.96
2010-11-23 02:00:00,-2.85,83.23
2010-11-23 03:00:00,-2.77,83.47
2010-11-23 04:00:00,-2.76,83.36
2010-11-23 05:00:00,-2.92,82.76
2010-11-23 06:00:00,-3.13,82.12
2010-11-23 07:00:00,-3.25,81.71
2010-11-23 08:00:00,-3.30,81.48
2010-11-23 09:00:00,-3.27,81.51
2010-11-23 10:00:00,-3.10,81.73
2010-11-23 11:00:00,-2.82,82.06
2010-11-23 12:00:00,-2.62,82.00
2010-11-23 13:00:00,-2.60,81.34
2010-11-23 14:00:00,-2.77,80.72
2010-11-23 15:00:00,-3.02,80.50
2010-11-23 16:00:00,-3.17,80.65
2010-11-23 17:00:00,-3.16,81.22
2010-11-23 18:00:00,-3.03,82.08
2010-11-23 19:00:00,-2.90,82.80
2010-11-23 20:00:00,-2.80,83.19
2010-11-23 21:00:00,-2.74,83.45
2010-11-23 22:00:00,-2.73,83.62
2010-11-23 23:00:00,-2.79,83.53
2010-11-24 00:00:00,-2.88,83.23
2010-11-24 01:00:00,-2.94,83.09
2010-11-24 02:00:00,-3.02,83.20
2010-11-24 03:00:00,-3.05,83.56
2010-11-24 04:00:00,-3.01,83.97
2010-11-24 05:00:00,-2.95,84.18
2010-11-24 06:00:00,-2.88,84.41
2010-11-24 07:00:00,-2.84,84.71
2010-11-24 08:00:00,-2.79,85.16
2010-11-24 09:00:00,-2.67,85.69
2010-11-24 10:00:00,-2.52,85.94
2010-11-24 11:00:00,-2.39,85.91
2010-11-24 12:00:00,-2.27,85.87
2010-11-24 13:00:00,-2.20,85.72
2010-11-24 14:00:00,-2.20,85.32
2010-11-24 15:00:00,-2.26,84.75
2010-11-24 16:00:00,-2.39,84.22
2010-11-24 17:00:00,-2.56,83.46
2010-11-24 18:00:00,-2.79,82.43
2010-11-24 19:00:00,-3.07,81.61
2010-11-24 20:00:00,-3.36,80.82
2010-11-24 21:00:00,-3.61,80.17
2010-11-24 22:00:00,-3.83,79.78
2010-11-24 23:00:00,-4.00,79.75
2010-11-25 00:00:00,-4.16,79.88
2010-11-25 01:00:00,-4.36,79.77
2010-11-25 02:00:00,-4.56,79.48
2010-11-25 03:00:00,-4.77,79.12
2010-11-25 04:00:00,-4.96,78.57
2010-11-25 05:00:00,-5.20,77.78
2010-11-25 06:00:00,-5.50,76.98
2010-11-25 07:00:00,-5.78,76.31
2010-11-25 08:00:00,-5.96,76.03
2010-11-25 09:00:00,-6.06,75.77
2010-11-25 10:00:00,-5.99,75.57
2010-11-25 11:00:00,-5.66,75.44
2010-11-25 12:00:00,-5.37,74.78
2010-11-25 13:00:00,-5.21,73.79
2010-11-25 14:00:00,-5.18,73.12
2010-11-25 15:00:00,-5.54,72.62
2010-11-25 16:00:00,-6.16,72.19
2010-11-25 17:00:00,-6.67,71.94
2010-11-25 18:00:00,-7.11,71.66
2010-11-25 19:00:00,-7.53,71.33
2010-11-25 20:00:00,-8.01,70.88
2010-11-25 21:00:00,-8.47,70.75
2010-11-25 22:00:00,-8.84,70.94
2010-11-25 23:00:00,-9.12,71.08
2010-11-26 00:00:00,-9.37,71.14
2010-11-26 01:00:00,-9.63,71.38
2010-11-26 02:00:00,-9.89,71.72
2010-11-26 03:00:00,-10.18,71.80
2010-11-26 04:00:00,-10.55,71.71
2010-11-26 05:00:00,-10.88,71.70
2010-11-26 06:00:00,-11.20,71.71
2010-11-26 07:00:00,-11.47,71.82
2010-11-26 08:00:00,-11.65,72.02
2010-11-26 09:00:00,-11.68,72.41
2010-11-26 10:00:00,-11.40,73.31
2010-11-26 11:00:00,-10.74,74.34
2010-11-26 12:00:00,-9.39,74.39
2010-11-26 13:00:00,-8.11,73.56
2010-11-26 14:00:00,-7.81,73.31
2010-11-26 15:00:00,-8.21,73.27
2010-11-26 16:00:00,-9.01,72.52
2010-11-26 17:00:00,-9.82,71.37
2010-11-26 18:00:00,-10.48,70.59
2010-11-26 19:00:00,-10.91,70.69
2010-11-26 20:00:00,-11.19,71.09
2010-11-26 21:00:00,-11.40,71.47
2010-11-26 22:00:00,-11.56,71.83
2010-11-26 23:00:00,-11.71,72.21
2010-11-27 00:00:00,-11.78,72.92
2010-11-27 01:00:00,-11.59,73.95
2010-11-27 02:00:00,-11.25,74.82
2010-11-27 03:00:00,-11.09,75.28
2010-11-27 04:00:00,-10.96,75.72
2010-11-27 05:00:00,-10.81,76.22
2010-11-27 06:00:00,-10.68,76.61
2010-11-27 07:00:00,-10.52,76.94
2010-11-27 08:00:00,-10.44,77.12
2010-11-27 09:00:00,-10.36,77.39
2010-11-27 10:00:00,-10.06,78.04
2010-11-27 11:00:00,-9.62,78.72
2010-11-27 12:00:00,-9.16,79.06
2010-11-27 13:00:00,-8.79,79.09
2010-11-27 14:00:00,-8.63,78.99
2010-11-27 15:00:00,-8.70,78.69
2010-11-27 16:00:00,-8.90,78.15
2010-11-27 17:00:00,-9.13,77.68
2010-11-27 18:00:00,-9.34,77.24
2010-11-27 19:00:00,-9.56,76.69
2010-11-27 20:00:00,-9.86,76.17
2010-11-27 21:00:00,-10.24,75.61
2010-11-27 22:00:00,-10.66,75.19
2010-11-27 23:00:00,-11.12,74.85
2010-11-28 00:00:00,-11.55,74.45
2010-11-28 01:00:00,-11.89,74.12
2010-11-28 02:00:00,-12.11,73.87
2010-11-28 03:00:00,-12.29,73.69
2010-11-28 04:00:00,-12.57,73.47
2010-11-28 05:00:00,-12.93,73.25
2010-11-28 06:00:00,-13.30,72.97
2010-11-28 07:00:00,-13.63,72.80
2010-11-28 08:00:00,-13.92,72.84
2010-11-28 09:00:00,-14.09,73.15
2010-11-28 10:00:00,-13.87,74.00
2010-11-28 11:00:00,-13.14,75.82
2010-11-28 12:00:00,-10.71,76.57
2010-11-28 13:00:00,-8.26,76.20
2010-11-28 14:00:00,-8.00,76.15
2010-11-28 15:00:00,-8.75,75.87
2010-11-28 16:00:00,-9.86,74.72
2010-11-28 17:00:00,-10.94,72.90
2010-11-28 18:00:00,-11.79,71.91
2010-11-28 19:00:00,-12.46,72.06
2010-11-28 20:00:00,-13.07,72.22
2010-11-28 21:00:00,-13.62,72.20
2010-11-28 22:00:00,-13.90,72.72
2010-11-28 23:00:00,-14.04,72.96
2010-11-29 00:00:00,-14.17,73.06
2010-11-29 01:00:00,-14.36,73.24
2010-11-29 02:00:00,-14.54,73.41
2010-11-29 03:00:00,-14.60,73.85
2010-11-29 04:00:00,-14.50,75.19
2010-11-29 05:00:00,-14.08,76.75
2010-11-29 06:00:00,-13.67,77.20
2010-11-29 07:00:00,-13.66,76.86
2010-11-29 08:00:00,-13.86,76.53
2010-11-29 09:00:00,-14.00,76.70
2010-11-29 10:00:00,-13.94,77.14
2010-11-29 11:00:00,-13.46,78.33
2010-11-29 12:00:00,-11.18,79.17
2010-11-29 13:00:00,-8.88,78.22
2010-11-29 14:00:00,-8.78,77.06
2010-11-29 15:00:00,-9.62,76.23
2010-11-29 16:00:00,-10.88,74.82
2010-11-29 17:00:00,-12.09,72.74
2010-11-29 18:00:00,-12.91,71.66
2010-11-29 19:00:00,-13.47,71.64
2010-11-29 20:00:00,-13.93,71.72
2010-11-29 21:00:00,-14.36,71.75
2010-11-29 22:00:00,-14.71,71.73
2010-11-29 23:00:00,-14.84,72.20
2010-11-30 00:00:00,-14.87,72.78
2010-11-30 01:00:00,-14.84,73.44
2010-11-30 02:00:00,-14.77,74.14
2010-11-30 03:00:00,-14.75,74.37
2010-11-30 04:00:00,-14.77,74.42
2010-11-30 05:00:00,-14.81,74.51
2010-11-30 06:00:00,-14.87,74.60
2010-11-30 07:00:00,-14.89,74.86
2010-11-30 08:00:00,-14.87,75.34
2010-11-30 09:00:00,-14.82,75.81
2010-11-30 10:00:00,-14.56,76.65
2010-11-30 11:00:00,-13.86,78.44
2010-11-30 12:00:00,-11.21,80.05
2010-11-30 13:00:00,-8.48,79.87
2010-11-30 14:00:00,-8.04,79.41
2010-11-30 15:00:00,-8.69,78.84
2010-11-30 16:00:00,-9.85,77.53
2010-11-30 17:00:00,-10.86,75.79
2010-11-30 18:00:00,-11.35,74.92
2010-11-30 19:00:00,-11.35,75.66
2010-11-30 20:00:00,-11.09,76.59
2010-11-30 21:00:00,-10.88,77.14
2010-11-30 22:00:00,-10.90,77.23
2010-11-30 23:00:00,-11.15,77.27
2010-12-01 00:00:00,-11.39,77.35
2010-12-01 01:00:00,-11.52,77.50
2010-12-01 02:00:00,-11.43,77.84
2010-12-01 03:00:00,-11.24,78.07
2010-12-01 04:00:00,-11.01,78.41
2010-12-01 05:00:00,-10.70,78.91
2010-12-01 06:00:00,-10.38,79.39
2010-12-01 07:00:00,-9.98,80.15
2010-12-01 08:00:00,-9.61,80.83
2010-12-01 09:00:00,-9.27,81.15
2010-12-01 10:00:00,-8.89,81.45
2010-12-01 11:00:00,-8.29,82.21
2010-12-01 12:00:00,-7.14,83.03
2010-12-01 13:00:00,-6.40,83.52
2010-12-01 14:00:00,-6.29,83.94
2010-12-01 15:00:00,-6.04,84.19
2010-12-01 16:00:00,-5.94,84.26
2010-12-01 17:00:00,-5.91,84.34
2010-12-01 18:00:00,-5.84,84.41
2010-12-01 19:00:00,-5.71,84.38
2010-12-01 20:00:00,-5.49,84.47
2010-12-01 21:00:00,-5.29,84.53
2010-12-01 22:00:00,-5.07,84.60
2010-12-01 23:00:00,-4.76,84.87
2010-12-02 00:00:00,-4.38,85.22
2010-12-02 01:00:00,-4.03,85.56
2010-12-02 02:00:00,-3.79,85.72
2010-12-02 03:00:00,-3.64,85.78
2010-12-02 04:00:00,-3.51,85.81
2010-12-02 05:00:00,-3.37,85.81
2010-12-02 06:00:00,-3.22,85.84
2010-12-02 07:00:00,-3.08,85.84
2010-12-02 08:00:00,-2.93,85.81
2010-12-02 09:00:00,-2.78,85.80
2010-12-02 10:00:00,-2.62,85.78
2010-12-02 11:00:00,-2.42,85.84
2010-12-02 12:00:00,-2.17,86.25
2010-12-02 13:00:00,-1.88,86.78
2010-12-02 14:00:00,-1.68,86.95
2010-12-02 15:00:00,-1.60,86.70
2010-12-02 16:00:00,-1.62,86.38
2010-12-02 17:00:00,-1.73,86.20
2010-12-02 18:00:00,-1.89,85.72
2010-12-02 19:00:00,-2.11,83.91
2010-12-02 20:00:00,-2.54,80.84
2010-12-02 21:00:00,-2.98,78.95
2010-12-02 22:00:00,-3.44,77.06
2010-12-02 23:00:00,-3.94,75.77
