t_UTC+2,T,RH
2010-11-15 00:00:00,2.75,100.00
2010-11-15 01:00:00,3.00,100.00
2010-11-15 02:00:00,3.21,100.00
2010-11-15 03:00:00,3.41,100.00
2010-11-15 04:00:00,3.29,100.00
2010-11-15 05:00:00,3.06,100.00
2010-11-15 06:00:00,2.96,100.00
2010-11-15 07:00:00,2.85,100.00
2010-11-15 08:00:00,2.68,100.00
2010-11-15 09:00:00,2.70,100.00
2010-11-15 10:00:00,2.94,100.00
2010-11-15 11:00:00,2.88,100.00
2010-11-15 12:00:00,2.67,100.00
2010-11-15 13:00:00,2.65,100.00
2010-11-15 14:00:00,2.59,100.00
2010-11-15 15:00:00,2.54,100.00
2010-11-15 16:00:00,2.44,99.98
2010-11-15 17:00:00,2.33,99.80
2010-11-15 18:00:00,2.25,99.54
2010-11-15 19:00:00,2.15,99.16
2010-11-15 20:00:00,2.11,99.22
2010-11-15 21:00:00,2.00,99.50
2010-11-15 22:00:00,1.73,99.24
2010-11-15 23:00:00,1.56,98.97
2010-11-16 00:00:00,1.44,98.55
2010-11-16 01:00:00,1.36,98.31
2010-11-16 02:00:00,1.32,98.40
2010-11-16 03:00:00,1.23,98.35
2010-11-16 04:00:00,1.08,98.27
2010-11-16 05:00:00,1.02,97.02
2010-11-16 06:00:00,0.94,95.98
2010-11-16 07:00:00,0.70,96.71
2010-11-16 08:00:00,0.45,96.86
2010-11-16 09:00:00,0.06,95.78
2010-11-16 10:00:00,-0.21,94.48
2010-11-16 11:00:00,-0.20,93.86
2010-11-16 12:00:00,-0.11,94.39
2010-11-16 13:00:00,0.05,93.52
2010-11-16 14:00:00,0.07,93.02
2010-11-16 15:00:00,-0.13,93.36
2010-11-16 16:00:00,-0.38,90.57
2010-11-16 17:00:00,-0.65,88.99
2010-11-16 18:00:00,-0.89,88.83
2010-11-16 19:00:00,-1.12,88.11
2010-11-16 20:00:00,-1.25,86.62
2010-11-16 21:00:00,-1.29,86.56
2010-11-16 22:00:00,-1.40,87.69
2010-11-16 23:00:00,-1.47,87.38
2010-11-17 00:00:00,-1.52,87.45
2010-11-17 01:00:00,-1.60,86.82
2010-11-17 02:00:00,-1.91,86.74
2010-11-17 03:00:00,-2.16,87.84
2010-11-17 04:00:00,-2.12,89.19
2010-11-17 05:00:00,-2.18,89.51
2010-11-17 06:00:00,-2.21,89.56
2010-11-17 07:00:00,-2.60,90.91
2010-11-17 08:00:00,-3.13,92.22
2010-11-17 09:00:00,-2.97,91.63
2010-11-17 10:00:00,-2.90,90.58
2010-11-17 11:00:00,-3.21,89.97
2010-11-17 12:00:00,-3.27,89.26
2010-11-17 13:00:00,-3.34,89.25
2010-11-17 14:00:00,-3.38,89.39
2010-11-17 15:00:00,-3.34,90.65
2010-11-17 16:00:00,-3.62,90.72
2010-11-17 17:00:00,-3.72,89.60
2010-11-17 18:00:00,-3.58,89.34
2010-11-17 19:00:00,-3.59,88.38
2010-11-17 20:00:00,-3.76,87.68
2010-11-17 21:00:00,-3.77,88.50
2010-11-17 22:00:00,-3.60,89.29
2010-11-17 23:00:00,-3.50,89.73
2010-11-18 00:00:00,-3.38,89.50
2010-11-18 01:00:00,-3.25,89.04
2010-11-18 02:00:00,-3.15,89.63
2010-11-18 03:00:00,-2.94,88.42
2010-11-18 04:00:00,-2.73,87.51
2010-11-18 05:00:00,-2.68,88.08
2010-11-18 06:00:00,-2.64,88.65
2010-11-18 07:00:00,-2.66,91.22
2010-11-18 08:00:00,-2.80,93.23
2010-11-18 09:00:00,-2.69,93.90
2010-11-18 10:00:00,-2.21,95.16
2010-11-18 11:00:00,-2.12,95.06
2010-11-18 12:00:00,-2.08,93.59
2010-11-18 13:00:00,-1.87,92.70
2010-11-18 14:00:00,-2.00,92.89
2010-11-18 15:00:00,-2.25,93.42
2010-11-18 16:00:00,-2.43,93.47
2010-11-18 17:00:00,-2.23,93.17
2010-11-18 18:00:00,-2.37,92.45
2010-11-18 19:00:00,-2.89,91.66
2010-11-18 20:00:00,-3.03,90.45
2010-11-18 21:00:00,-3.32,90.56
2010-11-18 22:00:00,-3.78,91.35
2010-11-18 23:00:00,-3.96,91.02
2010-11-19 00:00:00,-4.27,90.19
2010-11-19 01:00:00,-4.67,88.75
2010-11-19 02:00:00,-5.18,87.58
2010-11-19 03:00:00,-5.58,87.31
2010-11-19 04:00:00,-5.55,88.51
2010-11-19 05:00:00,-5.30,89.65
2010-11-19 06:00:00,-5.13,90.55
2010-11-19 07:00:00,-5.11,91.00
2010-11-19 08:00:00,-5.21,90.21
2010-11-19 09:00:00,-5.42,88.71
2010-11-19 10:00:00,-5.48,86.71
2010-11-19 11:00:00,-5.80,84.06
2010-11-19 12:00:00,-5.48,79.83
2010-11-19 13:00:00,-5.55,79.81
2010-11-19 14:00:00,-6.30,83.83
2010-11-19 15:00:00,-6.26,86.15
2010-11-19 16:00:00,-6.18,87.56
2010-11-19 17:00:00,-6.19,87.77
2010-11-19 18:00:00,-6.29,88.00
2010-11-19 19:00:00,-6.33,88.45
2010-11-19 20:00:00,-6.24,89.09
2010-11-19 21:00:00,-6.04,89.69
2010-11-19 22:00:00,-5.72,90.46
2010-11-19 23:00:00,-5.53,90.94
2010-11-20 00:00:00,-5.46,90.94
2010-11-20 01:00:00,-5.36,91.58
2010-11-20 02:00:00,-5.36,91.47
2010-11-20 03:00:00,-5.50,91.27
2010-11-20 04:00:00,-5.56,90.98
2010-11-20 05:00:00,-5.61,90.53
2010-11-20 06:00:00,-5.81,90.85
2010-11-20 07:00:00,-6.00,91.06
2010-11-20 08:00:00,-6.17,90.30
2010-11-20 09:00:00,-6.33,88.75
2010-11-20 10:00:00,-6.53,87.94
2010-11-20 11:00:00,-6.61,87.69
2010-11-20 12:00:00,-6.24,88.81
2010-11-20 13:00:00,-5.59,91.38
2010-11-20 14:00:00,-4.95,92.73
2010-11-20 15:00:00,-4.40,93.58
2010-11-20 16:00:00,-3.97,94.34
2010-11-20 17:00:00,-3.75,95.00
2010-11-20 18:00:00,-3.51,95.41
2010-11-20 19:00:00,-3.10,95.03
2010-11-20 20:00:00,-2.78,94.47
2010-11-20 21:00:00,-2.57,94.11
2010-11-20 22:00:00,-2.38,93.77
2010-11-20 23:00:00,-2.21,93.53
2010-11-21 00:00:00,-2.13,93.04
2010-11-21 01:00:00,-2.17,92.52
2010-11-21 02:00:00,-2.32,91.47
2010-11-21 03:00:00,-2.54,91.00
2010-11-21 04:00:00,-2.86,91.13
2010-11-21 05:00:00,-3.24,90.42
2010-11-21 06:00:00,-3.50,90.64
2010-11-21 07:00:00,-3.62,91.19
2010-11-21 08:00:00,-3.82,91.23
2010-11-21 09:00:00,-4.14,91.19
2010-11-21 10:00:00,-4.82,90.89
2010-11-21 11:00:00,-5.33,89.06
2010-11-21 12:00:00,-5.30,85.81
2010-11-21 13:00:00,-5.56,83.97
2010-11-21 14:00:00,-6.03,83.81
2010-11-21 15:00:00,-6.42,84.10
2010-11-21 16:00:00,-6.74,84.36
2010-11-21 17:00:00,-6.96,84.45
2010-11-21 18:00:00,-7.29,84.88
2010-11-21 19:00:00,-7.38,84.99
2010-11-21 20:00:00,-7.39,84.84
2010-11-21 21:00:00,-7.63,85.23
2010-11-21 22:00:00,-7.93,85.66
2010-11-21 23:00:00,-8.21,85.84
2010-11-22 00:00:00,-8.28,85.48
2010-11-22 01:00:00,-8.46,85.28
2010-11-22 02:00:00,-8.61,85.06
2010-11-22 03:00:00,-8.62,85.63
2010-11-22 04:00:00,-8.91,86.40
2010-11-22 05:00:00,-9.12,85.43
2010-11-22 06:00:00,-9.06,85.17
2010-11-22 07:00:00,-8.96,85.26
2010-11-22 08:00:00,-9.07,87.03
2010-11-22 09:00:00,-9.04,88.31
2010-11-22 10:00:00,-8.89,87.14
2010-11-22 11:00:00,-8.64,86.94
2010-11-22 12:00:00,-8.24,86.83
2010-11-22 13:00:00,-8.07,86.74
2010-11-22 14:00:00,-8.27,87.07
2010-11-22 15:00:00,-8.42,88.36
2010-11-22 16:00:00,-8.02,90.03
2010-11-22 17:00:00,-7.94,90.59
2010-11-22 18:00:00,-8.37,89.73
2010-11-22 19:00:00,-8.59,89.01
2010-11-22 20:00:00,-8.63,89.17
2010-11-22 21:00:00,-8.50,88.78
2010-11-22 22:00:00,-8.18,89.91
2010-11-22 23:00:00,-8.05,91.67
2010-11-23 00:00:00,-8.02,89.94
2010-11-23 01:00:00,-7.99,88.12
2010-11-23 02:00:00,-8.27,86.34
2010-11-23 03:00:00,-8.59,84.92
2010-11-23 04:00:00,-9.13,84.42
2010-11-23 05:00:00,-9.90,82.09
2010-11-23 06:00:00,-10.09,81.92
2010-11-23 07:00:00,-9.71,83.88
2010-11-23 08:00:00,-8.86,86.50
2010-11-23 09:00:00,-7.62,90.15
2010-11-23 10:00:00,-6.91,90.90
2010-11-23 11:00:00,-6.97,89.51
2010-11-23 12:00:00,-7.44,87.41
2010-11-23 13:00:00,-8.05,85.33
2010-11-23 14:00:00,-8.59,84.41
2010-11-23 15:00:00,-9.20,82.51
2010-11-23 16:00:00,-9.70,81.58
2010-11-23 17:00:00,-10.04,81.66
2010-11-23 18:00:00,-10.20,82.68
2010-11-23 19:00:00,-10.02,83.72
2010-11-23 20:00:00,-9.80,83.56
2010-11-23 21:00:00,-9.59,83.08
2010-11-23 22:00:00,-9.56,81.94
2010-11-23 23:00:00,-9.91,82.47
2010-11-24 00:00:00,-9.65,84.86
2010-11-24 01:00:00,-8.63,87.38
2010-11-24 02:00:00,-7.65,87.91
2010-11-24 03:00:00,-7.23,87.57
2010-11-24 04:00:00,-7.35,87.28
2010-11-24 05:00:00,-7.34,85.89
2010-11-24 06:00:00,-7.08,85.28
2010-11-24 07:00:00,-6.78,84.57
2010-11-24 08:00:00,-6.57,84.60
2010-11-24 09:00:00,-6.42,82.69
2010-11-24 10:00:00,-6.22,80.30
2010-11-24 11:00:00,-6.06,79.74
2010-11-24 12:00:00,-5.87,77.38
2010-11-24 13:00:00,-5.67,76.99
2010-11-24 14:00:00,-5.61,77.75
2010-11-24 15:00:00,-5.42,73.45
2010-11-24 16:00:00,-5.27,67.84
2010-11-24 17:00:00,-5.35,63.39
2010-11-24 18:00:00,-5.49,60.08
2010-11-24 19:00:00,-5.60,58.82
2010-11-24 20:00:00,-5.69,58.53
2010-11-24 21:00:00,-5.67,57.48
2010-11-24 22:00:00,-5.58,55.92
2010-11-24 23:00:00,-5.63,56.44
2010-11-25 00:00:00,-5.81,57.13
2010-11-25 01:00:00,-6.05,59.07
2010-11-25 02:00:00,-6.36,61.63
2010-11-25 03:00:00,-6.70,62.05
2010-11-25 04:00:00,-6.95,61.32
2010-11-25 05:00:00,-7.15,61.85
2010-11-25 06:00:00,-7.41,62.66
2010-11-25 07:00:00,-7.79,63.16
2010-11-25 08:00:00,-8.30,63.33
2010-11-25 09:00:00,-8.56,63.63
2010-11-25 10:00:00,-8.60,65.45
2010-11-25 11:00:00,-8.63,65.66
2010-11-25 12:00:00,-8.65,64.91
2010-11-25 13:00:00,-8.71,65.09
2010-11-25 14:00:00,-8.95,65.66
2010-11-25 15:00:00,-9.50,66.69
2010-11-25 16:00:00,-9.98,66.93
2010-11-25 17:00:00,-10.22,66.88
2010-11-25 18:00:00,-10.50,67.43
2010-11-25 19:00:00,-10.75,69.12
2010-11-25 20:00:00,-11.04,71.19
2010-11-25 21:00:00,-11.31,72.44
2010-11-25 22:00:00,-11.39,73.72
2010-11-25 23:00:00,-11.49,74.86
2010-11-26 00:00:00,-11.66,76.20
2010-11-26 01:00:00,-11.64,77.86
2010-11-26 02:00:00,-11.54,78.34
2010-11-26 03:00:00,-11.46,78.09
2010-11-26 04:00:00,-11.54,77.81
2010-11-26 05:00:00,-11.55,78.62
2010-11-26 06:00:00,-11.46,79.84
2010-11-26 07:00:00,-11.30,80.48
2010-11-26 08:00:00,-11.20,80.42
2010-11-26 09:00:00,-11.20,79.92
2010-11-26 10:00:00,-10.64,81.12
2010-11-26 11:00:00,-9.95,80.75
2010-11-26 12:00:00,-9.55,79.66
2010-11-26 13:00:00,-9.46,81.26
2010-11-26 14:00:00,-9.62,82.50
2010-11-26 15:00:00,-9.97,81.64
2010-11-26 16:00:00,-10.22,80.99
2010-11-26 17:00:00,-10.00,81.91
2010-11-26 18:00:00,-9.82,82.00
2010-11-26 19:00:00,-9.82,81.87
2010-11-26 20:00:00,-9.91,81.53
2010-11-26 21:00:00,-9.94,82.27
2010-11-26 22:00:00,-9.86,83.46
2010-11-26 23:00:00,-9.78,83.19
2010-11-27 00:00:00,-9.71,83.31
2010-11-27 01:00:00,-9.73,83.45
2010-11-27 02:00:00,-9.87,82.85
2010-11-27 03:00:00,-10.04,82.81
2010-11-27 04:00:00,-10.13,82.34
2010-11-27 05:00:00,-10.23,80.77
2010-11-27 06:00:00,-10.45,80.37
2010-11-27 07:00:00,-10.62,81.06
2010-11-27 08:00:00,-10.52,81.62
2010-11-27 09:00:00,-10.37,81.54
2010-11-27 10:00:00,-10.16,81.89
2010-11-27 11:00:00,-9.84,82.28
2010-11-27 12:00:00,-9.67,81.43
2010-11-27 13:00:00,-9.72,80.84
2010-11-27 14:00:00,-10.00,79.81
2010-11-27 15:00:00,-10.29,79.44
2010-11-27 16:00:00,-10.37,81.56
2010-11-27 17:00:00,-10.43,81.54
2010-11-27 18:00:00,-10.68,76.96
2010-11-27 19:00:00,-10.81,76.81
2010-11-27 20:00:00,-11.02,77.25
2010-11-27 21:00:00,-11.74,72.47
2010-11-27 22:00:00,-12.71,70.60
2010-11-27 23:00:00,-13.53,71.19
2010-11-28 00:00:00,-14.02,72.65
2010-11-28 01:00:00,-14.04,74.86
2010-11-28 02:00:00,-14.01,76.01
2010-11-28 03:00:00,-14.14,76.29
2010-11-28 04:00:00,-14.00,77.59
2010-11-28 05:00:00,-13.71,79.23
2010-11-28 06:00:00,-13.61,79.75
2010-11-28 07:00:00,-13.82,78.93
2010-11-28 08:00:00,-14.29,77.25
2010-11-28 09:00:00,-14.52,76.66
2010-11-28 10:00:00,-14.38,75.70
2010-11-28 11:00:00,-13.92,73.61
2010-11-28 12:00:00,-13.27,72.44
2010-11-28 13:00:00,-13.30,72.90
2010-11-28 14:00:00,-13.93,74.28
2010-11-28 15:00:00,-14.70,74.54
2010-11-28 16:00:00,-15.87,73.56
2010-11-28 17:00:00,-16.74,73.07
2010-11-28 18:00:00,-16.43,74.52
2010-11-28 19:00:00,-15.02,78.36
2010-11-28 20:00:00,-13.19,82.96
2010-11-28 21:00:00,-12.18,84.74
2010-11-28 22:00:00,-12.63,82.81
2010-11-28 23:00:00,-13.18,80.81
2010-11-29 00:00:00,-13.91,77.93
2010-11-29 01:00:00,-15.12,75.13
2010-11-29 02:00:00,-16.04,73.83
2010-11-29 03:00:00,-17.00,71.62
2010-11-29 04:00:00,-17.71,70.40
2010-11-29 05:00:00,-18.39,69.36
2010-11-29 06:00:00,-19.15,68.85
2010-11-29 07:00:00,-19.12,70.62
2010-11-29 08:00:00,-18.20,72.61
2010-11-29 09:00:00,-17.27,73.55
2010-11-29 10:00:00,-16.37,75.57
2010-11-29 11:00:00,-15.34,77.34
2010-11-29 12:00:00,-14.63,77.60
2010-11-29 13:00:00,-14.64,76.58
2010-11-29 14:00:00,-15.27,75.61
2010-11-29 15:00:00,-16.10,74.62
2010-11-29 16:00:00,-16.86,73.06
2010-11-29 17:00:00,-17.46,72.09
2010-11-29 18:00:00,-17.73,71.73
2010-11-29 19:00:00,-17.68,72.94
2010-11-29 20:00:00,-17.70,73.53
2010-11-29 21:00:00,-17.35,74.25
2010-11-29 22:00:00,-16.91,75.53
2010-11-29 23:00:00,-16.88,76.03
2010-11-30 00:00:00,-17.12,75.53
2010-11-30 01:00:00,-17.52,73.53
2010-11-30 02:00:00,-17.59,73.13
2010-11-30 03:00:00,-17.50,73.50
2010-11-30 04:00:00,-17.45,74.22
2010-11-30 05:00:00,-17.12,76.66
2010-11-30 06:00:00,-16.86,77.22
2010-11-30 07:00:00,-16.56,77.16
2010-11-30 08:00:00,-14.85,82.38
2010-11-30 09:00:00,-12.92,87.08
2010-11-30 10:00:00,-12.06,87.62
2010-11-30 11:00:00,-11.26,88.51
2010-11-30 12:00:00,-10.39,89.45
2010-11-30 13:00:00,-9.73,89.81
2010-11-30 14:00:00,-9.44,90.09
2010-11-30 15:00:00,-9.71,89.23
2010-11-30 16:00:00,-10.34,87.61
2010-11-30 17:00:00,-10.84,87.12
2010-11-30 18:00:00,-11.04,87.15
2010-11-30 19:00:00,-11.41,85.97
2010-11-30 20:00:00,-12.93,81.14
2010-11-30 21:00:00,-14.11,77.53
2010-11-30 22:00:00,-13.93,78.53
2010-11-30 23:00:00,-12.41,84.28
2010-12-01 00:00:00,-10.71,88.07
2010-12-01 01:00:00,-10.29,86.73
2010-12-01 02:00:00,-10.02,87.19
2010-12-01 03:00:00,-9.41,89.70
2010-12-01 04:00:00,-8.85,91.31
2010-12-01 05:00:00,-8.38,91.78
2010-12-01 06:00:00,-8.06,92.33
2010-12-01 07:00:00,-7.99,92.24
2010-12-01 08:00:00,-7.67,92.50
2010-12-01 09:00:00,-7.13,93.47
2010-12-01 10:00:00,-6.67,93.81
2010-12-01 11:00:00,-6.35,93.63
2010-12-01 12:00:00,-6.01,93.64
2010-12-01 13:00:00,-5.62,94.02
2010-12-01 14:00:00,-5.33,94.65
2010-12-01 15:00:00,-5.27,94.90
2010-12-01 16:00:00,-5.08,94.69
2010-12-01 17:00:00,-4.87,94.56
2010-12-01 18:00:00,-4.71,95.06
2010-12-01 19:00:00,-4.61,95.29
2010-12-01 20:00:00,-4.99,93.88
2010-12-01 21:00:00,-6.33,89.58
2010-12-01 22:00:00,-7.94,86.06
2010-12-01 23:00:00,-9.09,84.66
2010-12-02 00:00:00,-9.02,85.64
2010-12-02 01:00:00,-9.10,85.48
2010-12-02 02:00:00,-9.78,84.60
2010-12-02 03:00:00,-9.57,87.44
2010-12-02 04:00:00,-7.55,92.70
2010-12-02 05:00:00,-5.38,96.41
2010-12-02 06:00:00,-5.00,96.22
2010-12-02 07:00:00,-5.17,95.57
2010-12-02 08:00:00,-5.37,94.72
2010-12-02 09:00:00,-5.12,94.91
2010-12-02 10:00:00,-4.64,95.78
2010-12-02 11:00:00,-4.20,95.62
2010-12-02 12:00:00,-3.84,95.27
2010-12-02 13:00:00,-3.70,94.36
2010-12-02 14:00:00,-3.79,93.01
2010-12-02 15:00:00,-4.04,92.59
2010-12-02 16:00:00,-4.27,92.53
2010-12-02 17:00:00,-4.46,92.79
2010-12-02 18:00:00,-4.70,92.91
2010-12-02 19:00:00,-5.04,92.81
2010-12-02 20:00:00,-5.41,92.36
2010-12-02 21:00:00,-5.63,92.00
2010-12-02 22:00:00,-5.63,92.45
2010-12-02 23:00:00,-5.56,92.85
2010-12-03 00:00:00,-5.50,93.16
2010-12-03 01:00:00,-5.22,93.30
2010-12-03 02:00:00,-5.46,91.38
2010-12-03 03:00:00,-6.47,86.94
2010-12-03 04:00:00,-7.45,83.56
2010-12-03 05:00:00,-8.07,83.46
2010-12-03 06:00:00,-8.39,84.26
2010-12-03 07:00:00,-8.30,84.99
2010-12-03 08:00:00,-8.38,86.11
2010-12-03 09:00:00,-8.51,86.56
2010-12-03 10:00:00,-8.47,83.95
2010-12-03 11:00:00,-8.52,81.50
2010-12-03 12:00:00,-8.40,82.36
2010-12-03 13:00:00,-8.66,83.52
2010-12-03 14:00:00,-9.06,84.69
2010-12-03 15:00:00,-9.32,84.94
2010-12-03 16:00:00,-9.61,84.54
2010-12-03 17:00:00,-9.34,85.98
2010-12-03 18:00:00,-8.73,88.00
2010-12-03 19:00:00,-8.22,89.02
2010-12-03 20:00:00,-7.81,89.72
2010-12-03 21:00:00,-7.65,90.07
2010-12-03 22:00:00,-7.58,90.05
2010-12-03 23:00:00,-7.51,89.83
