t_UTC+2,T,RH
2010-11-15 00:00:00,1.25,100.00
2010-11-15 01:00:00,1.37,100.00
2010-11-15 02:00:00,1.48,100.00
2010-11-15 03:00:00,1.52,100.00
2010-11-15 04:00:00,1.53,100.00
2010-11-15 05:00:00,1.48,100.00
2010-11-15 06:00:00,1.41,100.00
2010-11-15 07:00:00,1.41,100.00
2010-11-15 08:00:00,1.39,100.00
2010-11-15 09:00:00,1.33,100.00
2010-11-15 10:00:00,1.40,100.00
2010-11-15 11:00:00,1.59,100.00
2010-11-15 12:00:00,1.76,100.00
2010-11-15 13:00:00,1.73,100.00
2010-11-15 14:00:00,1.64,100.00
2010-11-15 15:00:00,1.58,100.00
2010-11-15 16:00:00,1.54,100.00
2010-11-15 17:00:00,1.49,100.00
2010-11-15 18:00:00,1.43,100.00
2010-11-15 19:00:00,1.32,100.00
2010-11-15 20:00:00,1.25,100.00
2010-11-15 21:00:00,1.20,100.00
2010-11-15 22:00:00,1.14,100.00
2010-11-15 23:00:00,1.07,100.00
2010-11-16 00:00:00,1.00,100.00
2010-11-16 01:00:00,0.97,100.00
2010-11-16 02:00:00,0.95,100.00
2010-11-16 03:00:00,0.95,100.00
2010-11-16 04:00:00,0.94,100.00
2010-11-16 05:00:00,0.90,100.00
2010-11-16 06:00:00,0.84,100.00
2010-11-16 07:00:00,0.81,100.00
2010-11-16 08:00:00,0.75,100.00
2010-11-16 09:00:00,0.72,100.00
2010-11-16 10:00:00,0.71,100.00
2010-11-16 11:00:00,0.65,100.00
2010-11-16 12:00:00,0.70,100.00
2010-11-16 13:00:00,0.72,100.00
2010-11-16 14:00:00,0.67,100.00
2010-11-16 15:00:00,0.61,100.00
2010-11-16 16:00:00,0.46,100.00
2010-11-16 17:00:00,0.30,100.00
2010-11-16 18:00:00,0.17,100.00
2010-11-16 19:00:00,0.00,100.00
2010-11-16 20:00:00,-0.20,100.00
2010-11-16 21:00:00,-0.30,100.00
2010-11-16 22:00:00,-0.37,100.00
2010-11-16 23:00:00,-0.41,100.00
2010-11-17 00:00:00,-0.36,100.00
2010-11-17 01:00:00,-0.39,100.00
2010-11-17 02:00:00,-0.64,100.00
2010-11-17 03:00:00,-1.08,100.00
2010-11-17 04:00:00,-1.44,100.00
2010-11-17 05:00:00,-1.57,100.00
2010-11-17 06:00:00,-1.68,100.00
2010-11-17 07:00:00,-1.86,100.00
2010-11-17 08:00:00,-2.12,100.00
2010-11-17 09:00:00,-2.25,100.00
2010-11-17 10:00:00,-2.20,100.00
2010-11-17 11:00:00,-2.20,100.00
2010-11-17 12:00:00,-2.10,100.00
2010-11-17 13:00:00,-2.12,100.00
2010-11-17 14:00:00,-2.29,100.00
2010-11-17 15:00:00,-2.43,99.90
2010-11-17 16:00:00,-2.69,99.60
2010-11-17 17:00:00,-2.96,99.20
2010-11-17 18:00:00,-3.17,98.81
2010-11-17 19:00:00,-3.32,98.49
2010-11-17 20:00:00,-3.47,98.22
2010-11-17 21:00:00,-3.58,98.06
2010-11-17 22:00:00,-3.59,98.02
2010-11-17 23:00:00,-3.54,98.05
2010-11-18 00:00:00,-3.48,98.05
2010-11-18 01:00:00,-3.38,98.07
2010-11-18 02:00:00,-3.28,98.15
2010-11-18 03:00:00,-3.19,98.23
2010-11-18 04:00:00,-3.07,98.32
2010-11-18 05:00:00,-2.98,98.34
2010-11-18 06:00:00,-2.89,98.40
2010-11-18 07:00:00,-2.72,98.62
2010-11-18 08:00:00,-2.62,98.73
2010-11-18 09:00:00,-2.52,98.82
2010-11-18 10:00:00,-2.30,99.06
2010-11-18 11:00:00,-2.08,99.28
2010-11-18 12:00:00,-1.90,99.42
2010-11-18 13:00:00,-1.75,99.57
2010-11-18 14:00:00,-1.60,99.75
2010-11-18 15:00:00,-1.52,99.86
2010-11-18 16:00:00,-1.49,99.92
2010-11-18 17:00:00,-1.42,99.97
2010-11-18 18:00:00,-1.37,99.99
2010-11-18 19:00:00,-1.40,99.98
2010-11-18 20:00:00,-1.44,99.91
2010-11-18 21:00:00,-1.51,99.79
2010-11-18 22:00:00,-1.64,99.66
2010-11-18 23:00:00,-1.73,99.55
2010-11-19 00:00:00,-1.87,99.36
2010-11-19 01:00:00,-2.10,99.13
2010-11-19 02:00:00,-2.33,98.91
2010-11-19 03:00:00,-2.61,98.62
2010-11-19 04:00:00,-2.88,98.32
2010-11-19 05:00:00,-3.08,98.07
2010-11-19 06:00:00,-3.21,97.91
2010-11-19 07:00:00,-3.29,97.85
2010-11-19 08:00:00,-3.31,97.85
2010-11-19 09:00:00,-3.40,97.72
2010-11-19 10:00:00,-3.50,97.67
2010-11-19 11:00:00,-3.60,97.56
2010-11-19 12:00:00,-3.71,97.36
2010-11-19 13:00:00,-3.79,97.16
2010-11-19 14:00:00,-3.96,96.85
2010-11-19 15:00:00,-4.12,96.76
2010-11-19 16:00:00,-4.27,96.72
2010-11-19 17:00:00,-4.41,96.46
2010-11-19 18:00:00,-4.55,96.21
2010-11-19 19:00:00,-4.64,96.22
2010-11-19 20:00:00,-4.69,96.30
2010-11-19 21:00:00,-4.73,96.24
2010-11-19 22:00:00,-4.76,96.12
2010-11-19 23:00:00,-4.74,96.12
2010-11-20 00:00:00,-4.76,96.17
2010-11-20 01:00:00,-4.75,96.30
2010-11-20 02:00:00,-4.69,96.36
2010-11-20 03:00:00,-4.64,96.40
2010-11-20 04:00:00,-4.65,96.42
2010-11-20 05:00:00,-4.73,96.31
2010-11-20 06:00:00,-4.86,96.14
2010-11-20 07:00:00,-4.94,96.05
2010-11-20 08:00:00,-5.00,96.00
2010-11-20 09:00:00,-5.07,95.90
2010-11-20 10:00:00,-5.18,95.75
2010-11-20 11:00:00,-5.26,95.61
2010-11-20 12:00:00,-5.21,95.75
2010-11-20 13:00:00,-5.10,95.94
2010-11-20 14:00:00,-4.90,96.19
2010-11-20 15:00:00,-4.62,96.56
2010-11-20 16:00:00,-4.35,96.84
2010-11-20 17:00:00,-4.06,97.16
2010-11-20 18:00:00,-3.82,97.43
2010-11-20 19:00:00,-3.56,97.69
2010-11-20 20:00:00,-3.27,97.97
2010-11-20 21:00:00,-3.01,98.25
2010-11-20 22:00:00,-2.79,98.48
2010-11-20 23:00:00,-2.56,98.68
2010-11-21 00:00:00,-2.38,98.86
2010-11-21 01:00:00,-2.21,99.03
2010-11-21 02:00:00,-2.12,99.09
