t_UTC+2,T,RH
2010-11-15 00:00:00,2.26,98.50
2010-11-15 01:00:00,2.36,98.75
2010-11-15 02:00:00,2.62,99.15
2010-11-15 03:00:00,2.88,99.35
2010-11-15 04:00:00,2.72,99.20
2010-11-15 05:00:00,2.43,99.05
2010-11-15 06:00:00,2.35,99.09
2010-11-15 07:00:00,2.27,99.15
2010-11-15 08:00:00,2.20,99.27
2010-11-15 09:00:00,2.44,99.37
2010-11-15 10:00:00,2.61,99.31
2010-11-15 11:00:00,2.41,99.17
2010-11-15 12:00:00,2.21,99.09
2010-11-15 13:00:00,2.12,99.08
2010-11-15 14:00:00,2.19,99.17
2010-11-15 15:00:00,2.16,99.02
2010-11-15 16:00:00,2.00,98.73
2010-11-15 17:00:00,1.95,98.74
2010-11-15 18:00:00,1.93,98.70
2010-11-15 19:00:00,1.87,98.57
2010-11-15 20:00:00,1.88,98.48
2010-11-15 21:00:00,1.88,98.36
2010-11-15 22:00:00,1.77,98.17
2010-11-15 23:00:00,1.67,98.06
2010-11-16 00:00:00,1.57,97.94
2010-11-16 01:00:00,1.50,97.88
2010-11-16 02:00:00,1.46,97.89
2010-11-16 03:00:00,1.42,97.87
2010-11-16 04:00:00,1.36,97.80
2010-11-16 05:00:00,1.27,97.51
2010-11-16 06:00:00,1.08,97.18
2010-11-16 07:00:00,0.95,97.28
2010-11-16 08:00:00,0.88,97.14
2010-11-16 09:00:00,0.78,96.43
2010-11-16 10:00:00,0.67,95.85
2010-11-16 11:00:00,0.94,95.72
2010-11-16 12:00:00,1.24,94.73
2010-11-16 13:00:00,1.02,93.44
2010-11-16 14:00:00,0.80,93.38
2010-11-16 15:00:00,0.68,93.06
2010-11-16 16:00:00,0.45,92.13
2010-11-16 17:00:00,0.15,91.06
2010-11-16 18:00:00,-0.15,89.97
2010-11-16 19:00:00,-0.46,88.96
2010-11-16 20:00:00,-0.83,87.26
2010-11-16 21:00:00,-1.07,86.82
2010-11-16 22:00:00,-1.18,87.72
2010-11-16 23:00:00,-1.23,88.37
2010-11-17 00:00:00,-1.29,88.86
2010-11-17 01:00:00,-1.44,88.66
2010-11-17 02:00:00,-1.77,88.03
2010-11-17 03:00:00,-2.00,87.94
2010-11-17 04:00:00,-1.99,88.38
2010-11-17 05:00:00,-2.03,88.70
2010-11-17 06:00:00,-2.07,89.22
2010-11-17 07:00:00,-2.28,89.49
2010-11-17 08:00:00,-2.59,89.67
2010-11-17 09:00:00,-2.66,89.91
2010-11-17 10:00:00,-2.62,89.38
2010-11-17 11:00:00,-2.77,88.13
2010-11-17 12:00:00,-2.87,87.48
2010-11-17 13:00:00,-2.98,87.58
2010-11-17 14:00:00,-2.98,87.64
2010-11-17 15:00:00,-2.82,88.32
2010-11-17 16:00:00,-3.17,88.47
2010-11-17 17:00:00,-3.38,87.95
2010-11-17 18:00:00,-3.28,88.10
2010-11-17 19:00:00,-3.42,87.88
2010-11-17 20:00:00,-3.63,87.24
2010-11-17 21:00:00,-3.62,87.36
2010-11-17 22:00:00,-3.51,87.95
2010-11-17 23:00:00,-3.45,88.44
2010-11-18 00:00:00,-3.33,88.43
2010-11-18 01:00:00,-3.16,88.36
2010-11-18 02:00:00,-3.05,88.51
2010-11-18 03:00:00,-2.92,88.16
2010-11-18 04:00:00,-2.76,87.97
2010-11-18 05:00:00,-2.67,87.80
2010-11-18 06:00:00,-2.57,87.79
2010-11-18 07:00:00,-2.46,88.91
2010-11-18 08:00:00,-2.46,89.62
2010-11-18 09:00:00,-2.42,89.78
2010-11-18 10:00:00,-2.26,90.26
2010-11-18 11:00:00,-2.04,90.63
2010-11-18 12:00:00,-1.85,90.86
2010-11-18 13:00:00,-1.71,90.63
2010-11-18 14:00:00,-1.62,90.11
2010-11-18 15:00:00,-1.61,89.61
2010-11-18 16:00:00,-1.65,89.06
2010-11-18 17:00:00,-1.67,88.72
2010-11-18 18:00:00,-1.72,88.35
2010-11-18 19:00:00,-1.83,87.54
2010-11-18 20:00:00,-1.96,86.87
2010-11-18 21:00:00,-2.25,86.35
2010-11-18 22:00:00,-2.54,86.09
2010-11-18 23:00:00,-2.74,85.95
2010-11-19 00:00:00,-3.06,85.15
2010-11-19 01:00:00,-3.37,84.54
2010-11-19 02:00:00,-3.73,83.73
2010-11-19 03:00:00,-4.18,82.95
2010-11-19 04:00:00,-4.38,83.56
2010-11-19 05:00:00,-4.42,84.59
2010-11-19 06:00:00,-4.42,85.38
2010-11-19 07:00:00,-4.28,86.91
2010-11-19 08:00:00,-4.25,86.53
2010-11-19 09:00:00,-4.63,85.05
2010-11-19 10:00:00,-4.81,84.39
2010-11-19 11:00:00,-4.90,82.81
2010-11-19 12:00:00,-4.68,80.64
2010-11-19 13:00:00,-4.57,78.87
2010-11-19 14:00:00,-5.07,79.05
2010-11-19 15:00:00,-5.27,80.72
2010-11-19 16:00:00,-5.26,82.02
2010-11-19 17:00:00,-5.39,82.62
2010-11-19 18:00:00,-5.51,83.14
2010-11-19 19:00:00,-5.47,83.47
2010-11-19 20:00:00,-5.53,84.02
2010-11-19 21:00:00,-5.51,84.63
2010-11-19 22:00:00,-5.31,85.16
2010-11-19 23:00:00,-5.11,85.83
2010-11-20 00:00:00,-4.99,86.31
2010-11-20 01:00:00,-4.88,86.69
2010-11-20 02:00:00,-4.77,86.78
2010-11-20 03:00:00,-4.85,86.66
2010-11-20 04:00:00,-4.97,86.42
2010-11-20 05:00:00,-5.12,86.36
2010-11-20 06:00:00,-5.17,86.24
2010-11-20 07:00:00,-5.32,86.25
2010-11-20 08:00:00,-5.61,86.45
2010-11-20 09:00:00,-5.78,85.80
2010-11-20 10:00:00,-6.03,84.94
2010-11-20 11:00:00,-6.04,84.89
2010-11-20 12:00:00,-5.81,86.03
2010-11-20 13:00:00,-5.45,88.03
2010-11-20 14:00:00,-4.87,89.49
2010-11-20 15:00:00,-4.36,90.32
2010-11-20 16:00:00,-3.94,91.19
2010-11-20 17:00:00,-3.65,91.50
2010-11-20 18:00:00,-3.38,91.85
2010-11-20 19:00:00,-3.02,92.37
2010-11-20 20:00:00,-2.73,92.16
2010-11-20 21:00:00,-2.50,91.70
2010-11-20 22:00:00,-2.27,91.47
