t_UTC+2,Te,RHe,Rdif,Rglob,ws,wd,precip
2010-11-15 00:00:00,3.10,100.00,0.00,0.00,2.60,170.00,0.60
2010-11-15 01:00:00,3.70,100.00,0.00,0.00,2.60,180.00,0.00
2010-11-15 02:00:00,3.90,99.00,0.00,0.00,2.60,190.00,0.20
2010-11-15 03:00:00,3.90,99.00,0.00,0.00,3.10,210.00,0.60
2010-11-15 04:00:00,3.50,98.00,0.00,0.00,2.60,220.00,0.00
2010-11-15 05:00:00,3.90,98.00,0.00,0.00,3.10,190.00,0.00
2010-11-15 06:00:00,3.70,99.00,0.00,0.00,2.10,190.00,0.00
2010-11-15 07:00:00,3.70,99.00,0.00,0.00,2.10,180.00,0.00
2010-11-15 08:00:00,3.60,100.00,0.00,0.00,1.00,200.00,0.00
2010-11-15 09:00:00,3.70,100.00,6.00,6.00,1.50,190.00,0.00
2010-11-15 10:00:00,3.70,100.00,28.00,29.00,1.00,210.00,0.00
2010-11-15 11:00:00,3.70,100.00,41.00,42.00,0.00,0.00,0.00
2010-11-15 12:00:00,4.00,100.00,32.00,33.00,0.00,0.00,0.00
2010-11-15 13:00:00,4.10,100.00,39.00,40.00,1.00,140.00,0.00
2010-11-15 14:00:00,3.80,100.00,1.00,2.00,1.50,90.00,0.00
2010-11-15 15:00:00,3.70,100.00,2.00,3.00,1.00,100.00,0.00
2010-11-15 16:00:00,3.30,100.00,0.00,0.00,1.00,50.00,0.50
2010-11-15 17:00:00,3.00,100.00,0.00,0.00,1.50,70.00,1.70
2010-11-15 18:00:00,3.00,100.00,0.00,0.00,1.00,30.00,1.70
2010-11-15 19:00:00,2.70,100.00,0.00,0.00,2.10,20.00,1.70
2010-11-15 20:00:00,2.70,100.00,0.00,0.00,2.60,10.00,0.90
2010-11-15 21:00:00,2.50,99.00,0.00,0.00,2.60,350.00,0.50
2010-11-15 22:00:00,2.00,99.00,0.00,0.00,3.10,320.00,0.50
2010-11-15 23:00:00,1.40,99.00,0.00,0.00,3.10,320.00,0.10
2010-11-16 00:00:00,1.30,99.00,0.00,0.00,2.60,290.00,0.00
2010-11-16 01:00:00,1.30,99.00,0.00,0.00,2.60,280.00,0.00
2010-11-16 02:00:00,1.30,99.00,0.00,0.00,2.10,280.00,0.00
