t_UTC+2,T,RH
2010-11-15 00:00:00,2.10,93.09
2010-11-15 01:00:00,2.07,93.81
2010-11-15 02:00:00,2.08,94.44
2010-11-15 03:00:00,2.07,94.65
2010-11-15 04:00:00,2.05,94.66
2010-11-15 05:00:00,1.98,94.41
2010-11-15 06:00:00,1.89,94.27
2010-11-15 07:00:00,1.90,94.07
2010-11-15 08:00:00,1.94,94.12
2010-11-15 09:00:00,1.90,94.41
2010-11-15 10:00:00,1.98,93.86
2010-11-15 11:00:00,2.08,93.46
2010-11-15 12:00:00,2.06,93.94
2010-11-15 13:00:00,2.09,94.46
2010-11-15 14:00:00,2.16,94.68
2010-11-15 15:00:00,2.25,95.56
2010-11-15 16:00:00,2.26,95.96
2010-11-15 17:00:00,2.30,95.53
2010-11-15 18:00:00,2.40,95.88
2010-11-15 19:00:00,2.51,96.12
2010-11-15 20:00:00,2.62,96.14
2010-11-15 21:00:00,2.62,95.84
2010-11-15 22:00:00,2.50,95.09
2010-11-15 23:00:00,2.35,94.49
2010-11-16 00:00:00,2.26,94.12
2010-11-16 01:00:00,2.24,93.79
2010-11-16 02:00:00,2.17,93.72
2010-11-16 03:00:00,2.09,93.55
2010-11-16 04:00:00,2.02,93.00
2010-11-16 05:00:00,1.92,92.63
2010-11-16 06:00:00,1.78,92.55
2010-11-16 07:00:00,1.59,92.39
2010-11-16 08:00:00,1.41,91.09
2010-11-16 09:00:00,1.10,89.15
2010-11-16 10:00:00,0.90,87.78
2010-11-16 11:00:00,0.94,86.95
2010-11-16 12:00:00,0.96,86.89
2010-11-16 13:00:00,1.04,87.67
2010-11-16 14:00:00,1.04,87.88
2010-11-16 15:00:00,0.93,86.83
2010-11-16 16:00:00,0.73,84.77
2010-11-16 17:00:00,0.46,83.17
2010-11-16 18:00:00,0.23,82.71
2010-11-16 19:00:00,-0.06,81.98
2010-11-16 20:00:00,-0.28,81.81
2010-11-16 21:00:00,-0.35,82.25
2010-11-16 22:00:00,-0.44,82.86
2010-11-16 23:00:00,-0.55,83.58
2010-11-17 00:00:00,-0.66,84.00
2010-11-17 01:00:00,-0.78,84.00
2010-11-17 02:00:00,-0.92,84.13
2010-11-17 03:00:00,-1.08,84.83
2010-11-17 04:00:00,-1.10,85.36
2010-11-17 05:00:00,-1.15,85.66
2010-11-17 06:00:00,-1.29,85.72
2010-11-17 07:00:00,-1.35,85.63
2010-11-17 08:00:00,-1.44,85.66
2010-11-17 09:00:00,-1.52,85.94
2010-11-17 10:00:00,-1.52,85.80
2010-11-17 11:00:00,-1.48,85.07
2010-11-17 12:00:00,-1.41,84.38
2010-11-17 13:00:00,-1.41,83.59
2010-11-17 14:00:00,-1.46,83.31
2010-11-17 15:00:00,-1.58,83.95
2010-11-17 16:00:00,-1.83,84.09
2010-11-17 17:00:00,-2.17,83.87
2010-11-17 18:00:00,-2.38,84.59
2010-11-17 19:00:00,-2.47,84.83
2010-11-17 20:00:00,-2.67,84.29
2010-11-17 21:00:00,-2.82,84.48
2010-11-17 22:00:00,-2.77,85.12
2010-11-17 23:00:00,-2.71,85.54
2010-11-18 00:00:00,-2.69,85.87
2010-11-18 01:00:00,-2.60,86.27
2010-11-18 02:00:00,-2.54,86.63
2010-11-18 03:00:00,-2.46,86.47
2010-11-18 04:00:00,-2.29,86.34
2010-11-18 05:00:00,-2.15,86.30
2010-11-18 06:00:00,-2.09,86.44
2010-11-18 07:00:00,-2.01,87.20
2010-11-18 08:00:00,-1.98,87.64
2010-11-18 09:00:00,-1.96,87.83
2010-11-18 10:00:00,-1.85,88.24
2010-11-18 11:00:00,-1.67,88.44
2010-11-18 12:00:00,-1.42,88.31
2010-11-18 13:00:00,-1.25,87.85
2010-11-18 14:00:00,-1.16,87.41
2010-11-18 15:00:00,-1.10,86.85
2010-11-18 16:00:00,-1.11,85.97
2010-11-18 17:00:00,-1.14,85.20
2010-11-18 18:00:00,-1.25,84.60
2010-11-18 19:00:00,-1.40,83.64
2010-11-18 20:00:00,-1.58,83.03
2010-11-18 21:00:00,-1.90,83.13
2010-11-18 22:00:00,-2.15,82.93
2010-11-18 23:00:00,-2.35,82.62
2010-11-19 00:00:00,-2.63,81.78
2010-11-19 01:00:00,-2.92,80.79
2010-11-19 02:00:00,-3.30,79.91
2010-11-19 03:00:00,-3.63,79.77
2010-11-19 04:00:00,-3.93,81.01
2010-11-19 05:00:00,-4.14,82.59
2010-11-19 06:00:00,-4.09,83.91
2010-11-19 07:00:00,-3.99,84.37
2010-11-19 08:00:00,-4.08,83.98
2010-11-19 09:00:00,-4.21,83.28
2010-11-19 10:00:00,-4.37,81.93
2010-11-19 11:00:00,-4.54,80.04
2010-11-19 12:00:00,-4.60,79.16
2010-11-19 13:00:00,-4.88,78.69
2010-11-19 14:00:00,-5.15,79.00
2010-11-19 15:00:00,-5.21,80.72
2010-11-19 16:00:00,-5.22,82.03
2010-11-19 17:00:00,-5.27,82.62
2010-11-19 18:00:00,-5.28,82.80
2010-11-19 19:00:00,-5.27,83.00
2010-11-19 20:00:00,-5.23,83.41
2010-11-19 21:00:00,-5.10,83.91
2010-11-19 22:00:00,-4.96,84.84
2010-11-19 23:00:00,-4.81,85.75
2010-11-20 00:00:00,-4.63,85.94
2010-11-20 01:00:00,-4.47,86.18
2010-11-20 02:00:00,-4.29,86.08
2010-11-20 03:00:00,-4.22,85.30
2010-11-20 04:00:00,-4.25,84.66
2010-11-20 05:00:00,-4.31,84.33
2010-11-20 06:00:00,-4.44,84.44
2010-11-20 07:00:00,-4.55,84.41
2010-11-20 08:00:00,-4.71,83.92
2010-11-20 09:00:00,-4.89,82.64
2010-11-20 10:00:00,-5.00,81.63
2010-11-20 11:00:00,-5.01,81.75
2010-11-20 12:00:00,-4.89,82.88
2010-11-20 13:00:00,-4.58,84.69
2010-11-20 14:00:00,-4.17,86.15
2010-11-20 15:00:00,-3.80,87.28
2010-11-20 16:00:00,-3.44,88.25
2010-11-20 17:00:00,-3.06,88.85
2010-11-20 18:00:00,-2.78,89.59
2010-11-20 19:00:00,-2.54,90.22
2010-11-20 20:00:00,-2.23,90.04
2010-11-20 21:00:00,-1.91,89.59
2010-11-20 22:00:00,-1.69,89.43
2010-11-20 23:00:00,-1.52,89.39
2010-11-21 00:00:00,-1.36,88.96
2010-11-21 01:00:00,-1.27,88.27
2010-11-21 02:00:00,-1.30,87.38
2010-11-21 03:00:00,-1.43,86.59
2010-11-21 04:00:00,-1.58,85.87
2010-11-21 05:00:00,-1.84,84.97
2010-11-21 06:00:00,-2.04,84.59
2010-11-21 07:00:00,-2.15,84.66
2010-11-21 08:00:00,-2.31,84.37
2010-11-21 09:00:00,-2.60,83.81
2010-11-21 10:00:00,-3.08,82.99
2010-11-21 11:00:00,-3.23,81.18
2010-11-21 12:00:00,-3.42,78.80
2010-11-21 13:00:00,-3.85,77.88
2010-11-21 14:00:00,-4.26,78.20
2010-11-21 15:00:00,-4.82,78.17
2010-11-21 16:00:00,-5.14,78.31
2010-11-21 17:00:00,-5.38,78.50
2010-11-21 18:00:00,-5.74,78.53
2010-11-21 19:00:00,-6.01,78.75
2010-11-21 20:00:00,-6.20,78.92
2010-11-21 21:00:00,-6.31,79.09
2010-11-21 22:00:00,-6.55,79.34
2010-11-21 23:00:00,-6.80,79.30
2010-11-22 00:00:00,-6.91,79.32
2010-11-22 01:00:00,-7.00,79.34
2010-11-22 02:00:00,-7.17,79.53
2010-11-22 03:00:00,-7.37,79.90
2010-11-22 04:00:00,-7.54,79.00
2010-11-22 05:00:00,-7.79,78.51
2010-11-22 06:00:00,-8.03,79.05
2010-11-22 07:00:00,-8.14,80.22
2010-11-22 08:00:00,-8.22,81.69
2010-11-22 09:00:00,-8.19,82.11
2010-11-22 10:00:00,-8.06,82.09
2010-11-22 11:00:00,-7.90,82.07
2010-11-22 12:00:00,-7.61,82.18
2010-11-22 13:00:00,-7.42,82.30
2010-11-22 14:00:00,-7.43,82.50
2010-11-22 15:00:00,-7.50,82.77
2010-11-22 16:00:00,-7.26,83.58
2010-11-22 17:00:00,-6.86,83.02
2010-11-22 18:00:00,-6.79,82.25
2010-11-22 19:00:00,-6.83,82.57
2010-11-22 20:00:00,-6.66,83.11
2010-11-22 21:00:00,-6.58,83.31
2010-11-22 22:00:00,-6.57,83.10
2010-11-22 23:00:00,-6.50,83.78
2010-11-23 00:00:00,-6.50,83.69
2010-11-23 01:00:00,-6.48,82.80
2010-11-23 02:00:00,-6.63,81.56
2010-11-23 03:00:00,-6.90,81.25
2010-11-23 04:00:00,-7.13,81.25
2010-11-23 05:00:00,-7.32,80.38
2010-11-23 06:00:00,-7.59,80.04
2010-11-23 07:00:00,-7.67,81.74
2010-11-23 08:00:00,-7.48,84.20
2010-11-23 09:00:00,-7.16,87.07
2010-11-23 10:00:00,-6.78,88.19
2010-11-23 11:00:00,-6.47,86.35
2010-11-23 12:00:00,-6.30,83.54
2010-11-23 13:00:00,-6.42,80.74
2010-11-23 14:00:00,-6.84,78.03
2010-11-23 15:00:00,-7.29,76.12
2010-11-23 16:00:00,-7.69,76.25
2010-11-23 17:00:00,-8.14,76.36
2010-11-23 18:00:00,-8.48,76.56
2010-11-23 19:00:00,-8.65,76.83
2010-11-23 20:00:00,-8.59,76.91
2010-11-23 21:00:00,-8.46,77.03
2010-11-23 22:00:00,-8.42,76.26
2010-11-23 23:00:00,-8.61,76.05
2010-11-24 00:00:00,-8.63,78.86
2010-11-24 01:00:00,-8.10,82.53
2010-11-24 02:00:00,-7.38,84.03
2010-11-24 03:00:00,-6.87,84.06
2010-11-24 04:00:00,-6.63,83.25
2010-11-24 05:00:00,-6.49,82.13
2010-11-24 06:00:00,-6.28,81.77
2010-11-24 07:00:00,-5.99,81.34
2010-11-24 08:00:00,-5.74,80.88
2010-11-24 09:00:00,-5.56,79.95
2010-11-24 10:00:00,-5.44,78.72
2010-11-24 11:00:00,-5.30,78.29
2010-11-24 12:00:00,-5.07,77.02
2010-11-24 13:00:00,-4.92,75.50
2010-11-24 14:00:00,-4.86,75.75
2010-11-24 15:00:00,-4.71,73.85
2010-11-24 16:00:00,-4.65,69.20
2010-11-24 17:00:00,-4.75,64.70
2010-11-24 18:00:00,-4.88,63.07
2010-11-24 19:00:00,-4.99,62.84
2010-11-24 20:00:00,-5.11,62.67
2010-11-24 21:00:00,-5.15,61.91
2010-11-24 22:00:00,-5.12,60.42
2010-11-24 23:00:00,-5.13,59.94
2010-11-25 00:00:00,-5.25,59.70
2010-11-25 01:00:00,-5.38,60.31
2010-11-25 02:00:00,-5.63,61.11
2010-11-25 03:00:00,-5.96,60.67
2010-11-25 04:00:00,-6.17,60.51
2010-11-25 05:00:00,-6.31,60.85
2010-11-25 06:00:00,-6.58,60.36
2010-11-25 07:00:00,-6.98,60.48
2010-11-25 08:00:00,-7.39,60.73
2010-11-25 09:00:00,-7.73,61.44
2010-11-25 10:00:00,-7.98,62.66
2010-11-25 11:00:00,-8.02,63.11
2010-11-25 12:00:00,-7.96,63.21
2010-11-25 13:00:00,-7.97,62.97
2010-11-25 14:00:00,-8.12,63.16
2010-11-25 15:00:00,-8.38,63.52
2010-11-25 16:00:00,-8.86,63.41
2010-11-25 17:00:00,-9.29,63.86
2010-11-25 18:00:00,-9.53,64.35
2010-11-25 19:00:00,-9.81,65.21
2010-11-25 20:00:00,-10.02,66.38
2010-11-25 21:00:00,-10.26,67.38
2010-11-25 22:00:00,-10.53,68.56
2010-11-25 23:00:00,-10.76,69.90
2010-11-26 00:00:00,-10.89,70.89
2010-11-26 01:00:00,-11.00,72.00
2010-11-26 02:00:00,-11.09,73.06
2010-11-26 03:00:00,-10.97,73.10
2010-11-26 04:00:00,-10.86,73.09
2010-11-26 05:00:00,-10.93,74.09
2010-11-26 06:00:00,-10.96,75.16
2010-11-26 07:00:00,-10.79,76.30
2010-11-26 08:00:00,-10.62,76.36
2010-11-26 09:00:00,-10.47,75.77
2010-11-26 10:00:00,-10.22,76.93
2010-11-26 11:00:00,-9.75,76.97
2010-11-26 12:00:00,-9.21,76.38
2010-11-26 13:00:00,-8.82,76.77
2010-11-26 14:00:00,-8.68,76.02
2010-11-26 15:00:00,-8.72,74.77
2010-11-26 16:00:00,-8.85,74.40
2010-11-26 17:00:00,-8.95,75.30
2010-11-26 18:00:00,-8.77,75.58
2010-11-26 19:00:00,-8.68,74.98
2010-11-26 20:00:00,-8.86,74.84
2010-11-26 21:00:00,-8.84,75.30
2010-11-26 22:00:00,-8.73,75.58
2010-11-26 23:00:00,-8.69,75.65
2010-11-27 00:00:00,-8.60,76.05
2010-11-27 01:00:00,-8.55,76.05
2010-11-27 02:00:00,-8.67,75.75
2010-11-27 03:00:00,-8.78,75.00
2010-11-27 04:00:00,-8.84,74.22
2010-11-27 05:00:00,-8.90,73.66
2010-11-27 06:00:00,-9.00,73.17
2010-11-27 07:00:00,-9.16,73.26
2010-11-27 08:00:00,-9.29,73.99
2010-11-27 09:00:00,-9.22,74.61
2010-11-27 10:00:00,-9.04,74.95
2010-11-27 11:00:00,-8.84,75.47
2010-11-27 12:00:00,-8.59,75.59
2010-11-27 13:00:00,-8.37,75.25
2010-11-27 14:00:00,-8.41,73.75
2010-11-27 15:00:00,-8.45,72.59
2010-11-27 16:00:00,-8.34,73.42
2010-11-27 17:00:00,-8.39,73.36
2010-11-27 18:00:00,-8.77,70.31
2010-11-27 19:00:00,-9.02,69.34
2010-11-27 20:00:00,-9.16,69.70
2010-11-27 21:00:00,-9.53,66.63
2010-11-27 22:00:00,-9.93,63.77
2010-11-27 23:00:00,-10.52,62.92
2010-11-28 00:00:00,-11.03,63.67
2010-11-28 01:00:00,-11.45,65.92
2010-11-28 02:00:00,-11.75,67.37
2010-11-28 03:00:00,-11.91,67.91
2010-11-28 04:00:00,-12.02,69.47
2010-11-28 05:00:00,-12.02,71.75
2010-11-28 06:00:00,-12.07,73.30
2010-11-28 07:00:00,-12.14,73.19
2010-11-28 08:00:00,-12.18,72.50
2010-11-28 09:00:00,-12.27,71.71
2010-11-28 10:00:00,-12.41,70.94
2010-11-28 11:00:00,-12.41,70.38
2010-11-28 12:00:00,-12.25,70.41
2010-11-28 13:00:00,-12.02,70.47
2010-11-28 14:00:00,-11.95,69.91
2010-11-28 15:00:00,-12.11,69.19
2010-11-28 16:00:00,-12.41,67.28
2010-11-28 17:00:00,-12.73,66.25
2010-11-28 18:00:00,-12.92,67.39
2010-11-28 19:00:00,-12.91,69.11
2010-11-28 20:00:00,-12.68,71.94
2010-11-28 21:00:00,-12.33,74.78
2010-11-28 22:00:00,-12.05,75.82
2010-11-28 23:00:00,-11.89,76.63
2010-11-29 00:00:00,-11.87,76.07
2010-11-29 01:00:00,-12.06,73.52
2010-11-29 02:00:00,-12.43,71.40
2010-11-29 03:00:00,-12.65,69.78
2010-11-29 04:00:00,-12.79,68.69
2010-11-29 05:00:00,-13.02,66.24
2010-11-29 06:00:00,-13.38,62.86
2010-11-29 07:00:00,-13.84,61.70
2010-11-29 08:00:00,-14.18,61.23
2010-11-29 09:00:00,-14.54,60.94
2010-11-29 10:00:00,-14.61,63.11
2010-11-29 11:00:00,-14.25,67.69
2010-11-29 12:00:00,-13.78,71.97
2010-11-29 13:00:00,-13.46,73.14
2010-11-29 14:00:00,-13.39,72.02
2010-11-29 15:00:00,-13.45,70.84
2010-11-29 16:00:00,-13.69,70.05
2010-11-29 17:00:00,-13.90,69.27
2010-11-29 18:00:00,-13.96,68.00
2010-11-29 19:00:00,-14.12,66.50
2010-11-29 20:00:00,-14.30,67.69
2010-11-29 21:00:00,-14.30,69.75
2010-11-29 22:00:00,-14.12,70.92
2010-11-29 23:00:00,-14.08,71.75
2010-11-30 00:00:00,-14.24,71.22
2010-11-30 01:00:00,-14.49,70.41
2010-11-30 02:00:00,-14.56,70.03
2010-11-30 03:00:00,-14.44,70.54
2010-11-30 04:00:00,-14.34,70.79
