t_UTC+2,T,RH
2010-11-15 00:00:00,1.98,93.41
2010-11-15 01:00:00,2.00,93.73
2010-11-15 02:00:00,2.05,94.16
2010-11-15 03:00:00,2.10,94.87
2010-11-15 04:00:00,2.10,95.55
2010-11-15 05:00:00,2.07,95.80
2010-11-15 06:00:00,2.10,96.51
2010-11-15 07:00:00,2.13,96.96
2010-11-15 08:00:00,2.06,95.94
2010-11-15 09:00:00,2.06,95.97
2010-11-15 10:00:00,2.19,97.22
2010-11-15 11:00:00,2.50,98.11
2010-11-15 12:00:00,2.77,98.81
2010-11-15 13:00:00,3.00,99.12
2010-11-15 14:00:00,3.15,99.29
2010-11-15 15:00:00,2.96,97.94
2010-11-15 16:00:00,2.88,96.85
2010-11-15 17:00:00,2.89,96.55
2010-11-15 18:00:00,2.79,95.27
2010-11-15 19:00:00,2.75,94.95
2010-11-15 20:00:00,2.71,95.41
2010-11-15 21:00:00,2.63,95.38
2010-11-15 22:00:00,2.50,95.00
2010-11-15 23:00:00,2.35,94.66
2010-11-16 00:00:00,2.21,94.48
2010-11-16 01:00:00,2.15,94.28
2010-11-16 02:00:00,2.09,94.05
2010-11-16 03:00:00,2.01,93.87
2010-11-16 04:00:00,1.96,93.53
2010-11-16 05:00:00,1.87,93.12
2010-11-16 06:00:00,1.77,92.83
2010-11-16 07:00:00,1.60,92.62
2010-11-16 08:00:00,1.34,92.13
2010-11-16 09:00:00,0.99,90.90
2010-11-16 10:00:00,0.82,89.72
2010-11-16 11:00:00,0.83,89.19
2010-11-16 12:00:00,0.83,89.09
2010-11-16 13:00:00,0.92,89.40
2010-11-16 14:00:00,0.91,89.44
2010-11-16 15:00:00,0.83,88.69
2010-11-16 16:00:00,0.65,87.03
2010-11-16 17:00:00,0.38,85.66
2010-11-16 18:00:00,0.14,85.08
2010-11-16 19:00:00,-0.14,84.19
2010-11-16 20:00:00,-0.36,83.84
2010-11-16 21:00:00,-0.52,84.16
2010-11-16 22:00:00,-0.60,84.35
2010-11-16 23:00:00,-0.65,84.62
2010-11-17 00:00:00,-0.77,84.94
2010-11-17 01:00:00,-0.88,84.94
2010-11-17 02:00:00,-0.99,84.93
2010-11-17 03:00:00,-1.08,85.15
2010-11-17 04:00:00,-1.11,85.53
2010-11-17 05:00:00,-1.18,85.80
2010-11-17 06:00:00,-1.28,85.82
2010-11-17 07:00:00,-1.37,85.91
2010-11-17 08:00:00,-1.44,85.94
2010-11-17 09:00:00,-1.52,86.14
2010-11-17 10:00:00,-1.57,86.11
2010-11-17 11:00:00,-1.50,85.89
2010-11-17 12:00:00,-1.42,85.65
2010-11-17 13:00:00,-1.40,84.94
2010-11-17 14:00:00,-1.42,84.48
2010-11-17 15:00:00,-1.54,84.66
2010-11-17 16:00:00,-1.79,84.59
2010-11-17 17:00:00,-2.11,84.37
2010-11-17 18:00:00,-2.38,84.75
2010-11-17 19:00:00,-2.53,84.93
2010-11-17 20:00:00,-2.70,84.67
2010-11-17 21:00:00,-2.87,84.91
2010-11-17 22:00:00,-2.92,85.50
2010-11-17 23:00:00,-2.89,86.03
2010-11-18 00:00:00,-2.86,86.67
2010-11-18 01:00:00,-2.77,87.09
2010-11-18 02:00:00,-2.70,87.43
2010-11-18 03:00:00,-2.62,87.67
2010-11-18 04:00:00,-2.46,87.59
2010-11-18 05:00:00,-2.35,87.69
2010-11-18 06:00:00,-2.31,88.01
2010-11-18 07:00:00,-2.21,88.56
2010-11-18 08:00:00,-2.17,89.00
2010-11-18 09:00:00,-2.12,88.95
2010-11-18 10:00:00,-1.96,88.80
2010-11-18 11:00:00,-1.78,89.08
2010-11-18 12:00:00,-1.57,89.47
2010-11-18 13:00:00,-1.39,89.23
2010-11-18 14:00:00,-1.25,88.67
2010-11-18 15:00:00,-1.16,88.16
2010-11-18 16:00:00,-1.13,87.41
2010-11-18 17:00:00,-1.13,86.76
2010-11-18 18:00:00,-1.19,85.97
2010-11-18 19:00:00,-1.27,85.28
2010-11-18 20:00:00,-1.36,84.71
2010-11-18 21:00:00,-1.57,84.11
2010-11-18 22:00:00,-1.82,83.82
2010-11-18 23:00:00,-2.05,83.54
2010-11-19 00:00:00,-2.29,82.90
2010-11-19 01:00:00,-2.54,82.12
2010-11-19 02:00:00,-2.88,81.13
2010-11-19 03:00:00,-3.25,80.59
2010-11-19 04:00:00,-3.58,80.92
2010-11-19 05:00:00,-3.84,81.78
2010-11-19 06:00:00,-3.92,82.81
2010-11-19 07:00:00,-3.91,83.61
