t_UTC+2,T,RH
2010-11-15 00:00:00,1.71,96.06
2010-11-15 01:00:00,1.78,96.78
2010-11-15 02:00:00,1.90,97.54
2010-11-15 03:00:00,1.90,97.74
2010-11-15 04:00:00,1.81,97.75
2010-11-15 05:00:00,1.69,97.56
2010-11-15 06:00:00,1.59,97.26
2010-11-15 07:00:00,1.54,96.96
2010-11-15 08:00:00,1.58,97.02
2010-11-15 09:00:00,1.59,97.16
2010-11-15 10:00:00,1.58,97.07
2010-11-15 11:00:00,1.62,96.98
2010-11-15 12:00:00,1.60,96.86
2010-11-15 13:00:00,1.65,96.98
2010-11-15 14:00:00,1.73,97.45
2010-11-15 15:00:00,1.79,97.88
2010-11-15 16:00:00,1.77,98.17
2010-11-15 17:00:00,1.79,98.34
2010-11-15 18:00:00,1.94,98.33
2010-11-15 19:00:00,2.09,98.28
2010-11-15 20:00:00,2.17,98.20
2010-11-15 21:00:00,2.16,97.87
2010-11-15 22:00:00,2.05,97.31
2010-11-15 23:00:00,1.94,96.69
2010-11-16 00:00:00,1.90,96.17
2010-11-16 01:00:00,1.88,95.87
2010-11-16 02:00:00,1.81,95.73
2010-11-16 03:00:00,1.73,95.51
2010-11-16 04:00:00,1.64,95.11
2010-11-16 05:00:00,1.47,94.72
2010-11-16 06:00:00,1.33,94.70
2010-11-16 07:00:00,1.25,94.65
2010-11-16 08:00:00,1.01,93.75
2010-11-16 09:00:00,0.62,91.53
2010-11-16 10:00:00,0.46,89.91
2010-11-16 11:00:00,0.53,89.70
2010-11-16 12:00:00,0.62,89.91
2010-11-16 13:00:00,0.71,90.52
2010-11-16 14:00:00,0.74,90.23
2010-11-16 15:00:00,0.62,88.92
2010-11-16 16:00:00,0.34,87.48
2010-11-16 17:00:00,0.03,86.53
2010-11-16 18:00:00,-0.27,85.69
2010-11-16 19:00:00,-0.55,85.31
2010-11-16 20:00:00,-0.77,85.41
2010-11-16 21:00:00,-0.93,85.65
2010-11-16 22:00:00,-1.00,86.03
2010-11-16 23:00:00,-1.06,86.56
2010-11-17 00:00:00,-1.12,87.06
2010-11-17 01:00:00,-1.21,87.17
2010-11-17 02:00:00,-1.34,87.14
2010-11-17 03:00:00,-1.52,87.30
2010-11-17 04:00:00,-1.56,87.91
2010-11-17 05:00:00,-1.56,88.00
2010-11-17 06:00:00,-1.67,88.00
2010-11-17 07:00:00,-1.79,88.00
2010-11-17 08:00:00,-1.92,88.06
2010-11-17 09:00:00,-2.00,88.28
2010-11-17 10:00:00,-1.98,88.23
2010-11-17 11:00:00,-1.94,87.59
2010-11-17 12:00:00,-1.89,86.62
2010-11-17 13:00:00,-1.95,85.59
2010-11-17 14:00:00,-2.16,85.50
2010-11-17 15:00:00,-2.32,86.49
2010-11-17 16:00:00,-2.50,86.30
2010-11-17 17:00:00,-2.76,85.98
2010-11-17 18:00:00,-2.88,86.89
2010-11-17 19:00:00,-2.92,86.91
2010-11-17 20:00:00,-3.09,85.80
2010-11-17 21:00:00,-3.21,86.11
2010-11-17 22:00:00,-3.19,87.16
2010-11-17 23:00:00,-3.11,87.70
2010-11-18 00:00:00,-3.04,88.08
2010-11-18 01:00:00,-2.90,88.08
2010-11-18 02:00:00,-2.81,88.13
2010-11-18 03:00:00,-2.74,87.82
2010-11-18 04:00:00,-2.59,87.68
2010-11-18 05:00:00,-2.48,87.82
2010-11-18 06:00:00,-2.40,87.97
2010-11-18 07:00:00,-2.31,88.86
2010-11-18 08:00:00,-2.34,89.32
2010-11-18 09:00:00,-2.32,89.65
2010-11-18 10:00:00,-2.12,89.95
2010-11-18 11:00:00,-1.92,89.95
2010-11-18 12:00:00,-1.73,90.11
2010-11-18 13:00:00,-1.51,89.66
2010-11-18 14:00:00,-1.35,89.00
2010-11-18 15:00:00,-1.35,88.50
2010-11-18 16:00:00,-1.45,88.03
2010-11-18 17:00:00,-1.49,87.52
2010-11-18 18:00:00,-1.55,86.90
2010-11-18 19:00:00,-1.75,86.22
2010-11-18 20:00:00,-1.98,85.62
2010-11-18 21:00:00,-2.22,85.25
2010-11-18 22:00:00,-2.49,85.16
2010-11-18 23:00:00,-2.75,84.81
2010-11-19 00:00:00,-3.02,83.68
2010-11-19 01:00:00,-3.36,82.84
2010-11-19 02:00:00,-3.86,82.05
2010-11-19 03:00:00,-4.29,82.04
2010-11-19 04:00:00,-4.50,83.46
2010-11-19 05:00:00,-4.53,84.73
2010-11-19 06:00:00,-4.42,85.62
2010-11-19 07:00:00,-4.31,86.19
2010-11-19 08:00:00,-4.41,85.81
2010-11-19 09:00:00,-4.55,85.00
2010-11-19 10:00:00,-4.64,83.75
2010-11-19 11:00:00,-4.97,81.12
2010-11-19 12:00:00,-5.18,79.90
2010-11-19 13:00:00,-5.38,80.01
2010-11-19 14:00:00,-5.64,80.90
2010-11-19 15:00:00,-5.71,82.77
2010-11-19 16:00:00,-5.68,84.05
2010-11-19 17:00:00,-5.63,84.27
2010-11-19 18:00:00,-5.61,84.28
2010-11-19 19:00:00,-5.61,84.78
2010-11-19 20:00:00,-5.60,85.19
2010-11-19 21:00:00,-5.46,85.75
2010-11-19 22:00:00,-5.29,86.42
2010-11-19 23:00:00,-5.10,87.23
2010-11-20 00:00:00,-4.91,87.65
2010-11-20 01:00:00,-4.75,87.75
2010-11-20 02:00:00,-4.59,87.80
2010-11-20 03:00:00,-4.54,87.16
2010-11-20 04:00:00,-4.61,86.41
2010-11-20 05:00:00,-4.72,86.43
2010-11-20 06:00:00,-4.80,86.65
2010-11-20 07:00:00,-4.84,86.31
2010-11-20 08:00:00,-5.06,85.37
2010-11-20 09:00:00,-5.26,84.49
2010-11-20 10:00:00,-5.30,84.07
2010-11-20 11:00:00,-5.41,83.59
2010-11-20 12:00:00,-5.33,84.66
2010-11-20 13:00:00,-4.92,87.02
2010-11-20 14:00:00,-4.46,88.72
2010-11-20 15:00:00,-4.03,90.09
2010-11-20 16:00:00,-3.62,90.76
2010-11-20 17:00:00,-3.29,90.99
2010-11-20 18:00:00,-3.03,91.33
2010-11-20 19:00:00,-2.74,91.50
2010-11-20 20:00:00,-2.45,91.47
2010-11-20 21:00:00,-2.19,91.30
2010-11-20 22:00:00,-1.95,91.14
2010-11-20 23:00:00,-1.76,91.02
2010-11-21 00:00:00,-1.61,90.63
2010-11-21 01:00:00,-1.52,90.17
2010-11-21 02:00:00,-1.64,89.19
2010-11-21 03:00:00,-1.77,88.09
2010-11-21 04:00:00,-1.91,87.61
2010-11-21 05:00:00,-2.26,86.72
2010-11-21 06:00:00,-2.50,86.64
2010-11-21 07:00:00,-2.59,87.12
2010-11-21 08:00:00,-2.77,86.81
2010-11-21 09:00:00,-3.01,86.57
2010-11-21 10:00:00,-3.46,85.12
2010-11-21 11:00:00,-3.76,83.81
