t_UTC+2,T,RH
2010-11-15 00:00:00,1.89,95.27
2010-11-15 01:00:00,1.83,95.34
2010-11-15 02:00:00,1.81,95.48
2010-11-15 03:00:00,1.84,95.88
2010-11-15 04:00:00,1.83,96.09
2010-11-15 05:00:00,1.75,95.83
2010-11-15 06:00:00,1.70,95.47
2010-11-15 07:00:00,1.69,95.41
2010-11-15 08:00:00,1.69,95.36
2010-11-15 09:00:00,1.67,95.09
2010-11-15 10:00:00,1.68,95.25
2010-11-15 11:00:00,1.73,95.42
2010-11-15 12:00:00,1.75,95.56
2010-11-15 13:00:00,1.79,95.85
2010-11-15 14:00:00,1.84,96.03
2010-11-15 15:00:00,1.89,96.66
2010-11-15 16:00:00,1.85,97.40
2010-11-15 17:00:00,1.86,97.62
2010-11-15 18:00:00,2.02,97.76
2010-11-15 19:00:00,2.25,97.97
2010-11-15 20:00:00,2.39,97.93
2010-11-15 21:00:00,2.33,97.37
2010-11-15 22:00:00,2.19,96.59
2010-11-15 23:00:00,2.04,95.91
2010-11-16 00:00:00,1.93,95.46
2010-11-16 01:00:00,1.90,95.25
2010-11-16 02:00:00,1.87,95.08
2010-11-16 03:00:00,1.79,94.82
2010-11-16 04:00:00,1.70,94.32
2010-11-16 05:00:00,1.58,93.91
2010-11-16 06:00:00,1.43,93.72
2010-11-16 07:00:00,1.21,93.62
2010-11-16 08:00:00,0.96,92.68
2010-11-16 09:00:00,0.59,90.16
2010-11-16 10:00:00,0.40,88.42
2010-11-16 11:00:00,0.48,88.10
2010-11-16 12:00:00,0.56,87.97
2010-11-16 13:00:00,0.67,88.35
2010-11-16 14:00:00,0.69,88.47
2010-11-16 15:00:00,0.54,87.29
2010-11-16 16:00:00,0.28,85.17
2010-11-16 17:00:00,-0.01,83.63
2010-11-16 18:00:00,-0.29,83.16
2010-11-16 19:00:00,-0.62,83.03
2010-11-16 20:00:00,-0.89,83.44
2010-11-16 21:00:00,-1.04,84.22
2010-11-16 22:00:00,-1.09,84.85
2010-11-16 23:00:00,-1.10,85.28
2010-11-17 00:00:00,-1.19,85.53
2010-11-17 01:00:00,-1.32,85.52
2010-11-17 02:00:00,-1.44,85.65
2010-11-17 03:00:00,-1.50,85.93
2010-11-17 04:00:00,-1.52,86.50
2010-11-17 05:00:00,-1.56,87.00
2010-11-17 06:00:00,-1.64,86.77
2010-11-17 07:00:00,-1.78,86.87
2010-11-17 08:00:00,-1.97,86.96
2010-11-17 09:00:00,-2.04,87.40
