t_UTC+2,T,RH
2010-11-15 00:00:00,3.11,88.34
2010-11-15 01:00:00,3.08,88.41
2010-11-15 02:00:00,3.08,88.48
2010-11-15 03:00:00,3.08,88.48
2010-11-15 04:00:00,3.05,88.44
2010-11-15 05:00:00,3.01,88.37
2010-11-15 06:00:00,2.95,88.32
2010-11-15 07:00:00,2.91,88.31
2010-11-15 08:00:00,2.92,88.25
2010-11-15 09:00:00,2.92,88.12
2010-11-15 10:00:00,2.91,88.06
2010-11-15 11:00:00,2.97,87.96
2010-11-15 12:00:00,3.04,87.82
2010-11-15 13:00:00,3.05,87.74
2010-11-15 14:00:00,3.09,87.61
2010-11-15 15:00:00,3.13,87.27
2010-11-15 16:00:00,3.12,86.81
2010-11-15 17:00:00,3.15,86.69
2010-11-15 18:00:00,3.25,86.83
2010-11-15 19:00:00,3.35,86.81
2010-11-15 20:00:00,3.46,86.62
2010-11-15 21:00:00,3.46,86.52
2010-11-15 22:00:00,3.38,86.58
2010-11-15 23:00:00,3.29,86.72
2010-11-16 00:00:00,3.21,86.90
2010-11-16 01:00:00,3.17,87.09
2010-11-16 02:00:00,3.15,87.20
2010-11-16 03:00:00,3.08,87.25
2010-11-16 04:00:00,2.99,87.31
2010-11-16 05:00:00,2.88,87.40
2010-11-16 06:00:00,2.79,87.44
2010-11-16 07:00:00,2.63,87.53
2010-11-16 08:00:00,2.39,87.67
2010-11-16 09:00:00,2.11,87.85
2010-11-16 10:00:00,1.93,88.19
2010-11-16 11:00:00,1.92,88.45
2010-11-16 12:00:00,1.97,88.49
2010-11-16 13:00:00,2.05,88.47
2010-11-16 14:00:00,2.08,88.39
2010-11-16 15:00:00,2.00,88.33
2010-11-16 16:00:00,1.77,88.47
2010-11-16 17:00:00,1.53,88.67
2010-11-16 18:00:00,1.30,88.94
2010-11-16 19:00:00,1.02,89.22
2010-11-16 20:00:00,0.82,89.47
2010-11-16 21:00:00,0.69,89.72
2010-11-16 22:00:00,0.55,89.97
2010-11-16 23:00:00,0.48,90.15
2010-11-17 00:00:00,0.40,90.29
2010-11-17 01:00:00,0.29,90.43
2010-11-17 02:00:00,0.17,90.52
2010-11-17 03:00:00,0.08,90.62
2010-11-17 04:00:00,0.06,90.69
2010-11-17 05:00:00,-0.01,90.69
2010-11-17 06:00:00,-0.12,90.66
2010-11-17 07:00:00,-0.21,90.67
2010-11-17 08:00:00,-0.29,90.72
2010-11-17 09:00:00,-0.39,90.80
2010-11-17 10:00:00,-0.41,90.84
2010-11-17 11:00:00,-0.30,90.85
2010-11-17 12:00:00,-0.26,90.85
2010-11-17 13:00:00,-0.26,90.69
