t_UTC+2,T,RH
2010-11-15 00:00:00,1.15,97.78
2010-11-15 01:00:00,1.18,98.24
2010-11-15 02:00:00,1.21,98.49
2010-11-15 03:00:00,1.25,98.76
2010-11-15 04:00:00,1.31,98.92
2010-11-15 05:00:00,1.31,99.08
2010-11-15 06:00:00,1.31,99.35
2010-11-15 07:00:00,1.32,99.56
2010-11-15 08:00:00,1.29,99.55
2010-11-15 09:00:00,1.31,99.56
2010-11-15 10:00:00,1.47,99.71
2010-11-15 11:00:00,1.79,99.91
2010-11-15 12:00:00,2.05,100.00
2010-11-15 13:00:00,2.34,100.00
2010-11-15 14:00:00,2.71,100.00
2010-11-15 15:00:00,2.54,99.98
2010-11-15 16:00:00,2.54,99.94
2010-11-15 17:00:00,2.79,99.81
2010-11-15 18:00:00,2.59,99.38
2010-11-15 19:00:00,2.45,98.70
2010-11-15 20:00:00,2.37,98.28
2010-11-15 21:00:00,2.23,98.22
2010-11-15 22:00:00,2.08,98.22
2010-11-15 23:00:00,1.92,98.23
2010-11-16 00:00:00,1.81,98.31
2010-11-16 01:00:00,1.73,98.28
2010-11-16 02:00:00,1.64,98.19
2010-11-16 03:00:00,1.56,98.12
2010-11-16 04:00:00,1.46,97.95
2010-11-16 05:00:00,1.30,97.81
2010-11-16 06:00:00,1.09,97.66
2010-11-16 07:00:00,0.90,97.62
2010-11-16 08:00:00,0.76,97.70
2010-11-16 09:00:00,0.57,97.65
2010-11-16 10:00:00,0.48,97.66
2010-11-16 11:00:00,0.49,97.73
2010-11-16 12:00:00,0.53,97.69
2010-11-16 13:00:00,0.56,97.70
2010-11-16 14:00:00,0.56,97.63
2010-11-16 15:00:00,0.48,97.47
2010-11-16 16:00:00,0.24,97.25
2010-11-16 17:00:00,-0.10,96.87
2010-11-16 18:00:00,-0.42,96.56
2010-11-16 19:00:00,-0.67,96.17
2010-11-16 20:00:00,-0.90,95.75
2010-11-16 21:00:00,-1.15,95.63
2010-11-16 22:00:00,-1.34,95.61
2010-11-16 23:00:00,-1.45,95.62
2010-11-17 00:00:00,-1.53,95.61
2010-11-17 01:00:00,-1.60,95.49
2010-11-17 02:00:00,-1.73,95.47
2010-11-17 03:00:00,-1.92,95.65
2010-11-17 04:00:00,-1.97,95.48
2010-11-17 05:00:00,-1.97,95.08
2010-11-17 06:00:00,-2.06,95.16
2010-11-17 07:00:00,-2.19,95.19
2010-11-17 08:00:00,-2.32,94.94
2010-11-17 09:00:00,-2.38,94.81
2010-11-17 10:00:00,-2.21,95.22
2010-11-17 11:00:00,-1.94,95.62
2010-11-17 12:00:00,-1.75,95.75
2010-11-17 13:00:00,-1.75,95.66
2010-11-17 14:00:00,-1.94,95.22
2010-11-17 15:00:00,-2.26,94.83
2010-11-17 16:00:00,-2.66,94.35
2010-11-17 17:00:00,-3.04,94.00
2010-11-17 18:00:00,-3.21,93.95
2010-11-17 19:00:00,-3.31,93.96
2010-11-17 20:00:00,-3.49,93.66
2010-11-17 21:00:00,-3.62,93.66
2010-11-17 22:00:00,-3.60,93.92
2010-11-17 23:00:00,-3.54,94.00
2010-11-18 00:00:00,-3.46,94.23
2010-11-18 01:00:00,-3.31,94.23
2010-11-18 02:00:00,-3.20,94.32
2010-11-18 03:00:00,-3.12,94.57
2010-11-18 04:00:00,-2.98,94.66
2010-11-18 05:00:00,-2.85,94.79
2010-11-18 06:00:00,-2.75,94.89
2010-11-18 07:00:00,-2.63,95.09
2010-11-18 08:00:00,-2.59,95.29
2010-11-18 09:00:00,-2.56,95.37
2010-11-18 10:00:00,-2.40,95.46
2010-11-18 11:00:00,-2.21,95.58
2010-11-18 12:00:00,-2.03,95.74
2010-11-18 13:00:00,-1.81,95.72
2010-11-18 14:00:00,-1.62,95.62
2010-11-18 15:00:00,-1.55,95.51
2010-11-18 16:00:00,-1.54,95.34
2010-11-18 17:00:00,-1.53,95.15
2010-11-18 18:00:00,-1.56,94.94
2010-11-18 19:00:00,-1.67,94.88
2010-11-18 20:00:00,-1.81,94.87
2010-11-18 21:00:00,-2.01,94.49
2010-11-18 22:00:00,-2.21,94.37
2010-11-18 23:00:00,-2.43,94.42
2010-11-19 00:00:00,-2.71,93.84
2010-11-19 01:00:00,-3.02,93.44
2010-11-19 02:00:00,-3.37,93.13
2010-11-19 03:00:00,-3.73,92.81
2010-11-19 04:00:00,-4.07,92.25
2010-11-19 05:00:00,-4.32,92.01
2010-11-19 06:00:00,-4.41,92.34
2010-11-19 07:00:00,-4.40,92.34
2010-11-19 08:00:00,-4.48,91.73
2010-11-19 09:00:00,-4.56,91.55
2010-11-19 10:00:00,-4.61,91.80
2010-11-19 11:00:00,-4.76,91.71
2010-11-19 12:00:00,-4.89,91.47
2010-11-19 13:00:00,-5.10,90.91
2010-11-19 14:00:00,-5.38,90.55
2010-11-19 15:00:00,-5.59,90.38
2010-11-19 16:00:00,-5.75,90.31
2010-11-19 17:00:00,-5.82,90.18
2010-11-19 18:00:00,-5.86,90.16
2010-11-19 19:00:00,-5.88,90.22
2010-11-19 20:00:00,-5.88,90.28
2010-11-19 21:00:00,-5.76,90.51
2010-11-19 22:00:00,-5.64,90.56
2010-11-19 23:00:00,-5.50,90.80
2010-11-20 00:00:00,-5.33,91.29
2010-11-20 01:00:00,-5.15,91.59
2010-11-20 02:00:00,-4.99,91.69
2010-11-20 03:00:00,-4.89,91.78
2010-11-20 04:00:00,-4.83,91.62
2010-11-20 05:00:00,-4.84,91.53
2010-11-20 06:00:00,-4.89,91.50
2010-11-20 07:00:00,-4.95,91.31
2010-11-20 08:00:00,-5.12,91.00
2010-11-20 09:00:00,-5.22,90.78
2010-11-20 10:00:00,-5.26,90.72
2010-11-20 11:00:00,-5.36,90.52
