t_UTC+2,T,RH
2011-01-31 00:00:00,-7.75,71.46
2011-01-31 01:00:00,-7.54,73.36
2011-01-31 02:00:00,-7.23,75.44
2011-01-31 03:00:00,-6.83,76.89
2011-01-31 04:00:00,-6.34,77.47
2011-01-31 05:00:00,-6.04,78.25
2011-01-31 06:00:00,-5.72,79.22
2011-01-31 07:00:00,-5.33,80.43
2011-01-31 08:00:00,-5.12,81.62
2011-01-31 09:00:00,-5.04,82.19
2011-01-31 10:00:00,-4.62,83.11
2011-01-31 11:00:00,-3.93,84.50
2011-01-31 12:00:00,-3.56,85.27
2011-01-31 13:00:00,-3.46,85.88
2011-01-31 14:00:00,-3.22,87.11
2011-01-31 15:00:00,-2.95,88.18
2011-01-31 16:00:00,-2.69,88.27
2011-01-31 17:00:00,-2.52,87.81
2011-01-31 18:00:00,-2.51,87.37
2011-01-31 19:00:00,-2.62,87.21
2011-01-31 20:00:00,-2.77,87.18
2011-01-31 21:00:00,-2.67,87.14
2011-01-31 22:00:00,-2.42,87.03
2011-01-31 23:00:00,-2.17,87.05
2011-02-01 00:00:00,-2.08,87.01
2011-02-01 01:00:00,-2.27,86.89
2011-02-01 02:00:00,-2.57,87.21
2011-02-01 03:00:00,-2.75,87.53
2011-02-01 04:00:00,-2.75,87.73
2011-02-01 05:00:00,-2.76,87.94
2011-02-01 06:00:00,-2.83,88.18
2011-02-01 07:00:00,-2.86,88.23
2011-02-01 08:00:00,-2.99,87.78
2011-02-01 09:00:00,-3.23,87.75
2011-02-01 10:00:00,-3.12,88.68
2011-02-01 11:00:00,-2.57,89.57
2011-02-01 12:00:00,-2.02,89.70
2011-02-01 13:00:00,-1.66,89.39
2011-02-01 14:00:00,-1.33,89.25
2011-02-01 15:00:00,-1.04,89.42
2011-02-01 16:00:00,-0.95,89.53
2011-02-01 17:00:00,-1.10,89.19
2011-02-01 18:00:00,-1.29,89.05
2011-02-01 19:00:00,-1.33,89.38
2011-02-01 20:00:00,-1.25,89.62
2011-02-01 21:00:00,-1.16,90.03
2011-02-01 22:00:00,-1.07,90.40
2011-02-01 23:00:00,-0.98,90.44
2011-02-02 00:00:00,-0.88,90.72
2011-02-02 01:00:00,-0.74,91.16
2011-02-02 02:00:00,-0.58,91.78
2011-02-02 03:00:00,-0.38,92.66
2011-02-02 04:00:00,-0.21,93.08
2011-02-02 05:00:00,-0.09,93.06
2011-02-02 06:00:00,0.04,93.37
2011-02-02 07:00:00,0.19,94.07
2011-02-02 08:00:00,0.31,95.12
2011-02-02 09:00:00,0.36,95.39
2011-02-02 10:00:00,0.46,95.13
2011-02-02 11:00:00,0.66,95.23
2011-02-02 12:00:00,0.93,95.34
2011-02-02 13:00:00,1.01,95.27
2011-02-02 14:00:00,0.98,95.09
2011-02-02 15:00:00,0.94,95.01
2011-02-02 16:00:00,0.74,94.62
2011-02-02 17:00:00,0.42,94.22
2011-02-02 18:00:00,0.36,95.02
2011-02-02 19:00:00,0.59,95.97
2011-02-02 20:00:00,0.66,95.91
2011-02-02 21:00:00,0.52,95.09
2011-02-02 22:00:00,0.30,94.21
2011-02-02 23:00:00,0.10,93.69
2011-02-03 00:00:00,-0.14,93.23
2011-02-03 01:00:00,-0.34,92.74
2011-02-03 02:00:00,-0.41,91.92
2011-02-03 03:00:00,-0.42,91.28
2011-02-03 04:00:00,-0.38,90.95
2011-02-03 05:00:00,-0.47,90.21
2011-02-03 06:00:00,-0.90,88.47
2011-02-03 07:00:00,-1.42,87.32
2011-02-03 08:00:00,-1.77,87.27
2011-02-03 09:00:00,-1.94,87.04
2011-02-03 10:00:00,-1.89,87.17
2011-02-03 11:00:00,-1.57,87.87
2011-02-03 12:00:00,-1.27,88.97
2011-02-03 13:00:00,-0.89,90.18
2011-02-03 14:00:00,-0.44,91.13
2011-02-03 15:00:00,-0.10,92.07
2011-02-03 16:00:00,0.21,92.90
2011-02-03 17:00:00,0.42,93.42
2011-02-03 18:00:00,0.51,93.55
2011-02-03 19:00:00,0.62,93.70
2011-02-03 20:00:00,0.77,94.18
2011-02-03 21:00:00,0.79,94.19
2011-02-03 22:00:00,0.38,93.35
2011-02-03 23:00:00,-0.13,90.92
2011-02-04 00:00:00,-0.39,89.38
2011-02-04 01:00:00,-0.80,88.40
2011-02-04 02:00:00,-1.29,87.35
2011-02-04 03:00:00,-1.52,89.05
2011-02-04 04:00:00,-1.66,90.62
2011-02-04 05:00:00,-1.97,89.63
2011-02-04 06:00:00,-2.16,89.01
2011-02-04 07:00:00,-2.14,89.62
2011-02-04 08:00:00,-2.11,89.66
2011-02-04 09:00:00,-1.97,89.79
2011-02-04 10:00:00,-1.63,90.39
2011-02-04 11:00:00,-1.15,90.82
2011-02-04 12:00:00,-0.79,90.34
2011-02-04 13:00:00,-0.69,89.25
2011-02-04 14:00:00,-0.72,88.13
2011-02-04 15:00:00,-0.78,87.70
2011-02-04 16:00:00,-0.81,87.52
2011-02-04 17:00:00,-0.86,87.28
2011-02-04 18:00:00,-0.94,87.50
2011-02-04 19:00:00,-0.94,87.85
2011-02-04 20:00:00,-0.86,88.17
2011-02-04 21:00:00,-0.81,88.48
2011-02-04 22:00:00,-0.78,88.67
2011-02-04 23:00:00,-0.72,88.69
2011-02-05 00:00:00,-0.69,88.84
2011-02-05 01:00:00,-0.71,89.21
2011-02-05 02:00:00,-0.77,89.50
2011-02-05 03:00:00,-0.84,89.60
2011-02-05 04:00:00,-0.93,89.31
2011-02-05 05:00:00,-1.00,88.86
2011-02-05 06:00:00,-1.08,88.55
2011-02-05 07:00:00,-1.15,88.07
2011-02-05 08:00:00,-1.36,87.95
2011-02-05 09:00:00,-1.52,88.18
2011-02-05 10:00:00,-1.41,88.00
2011-02-05 11:00:00,-1.22,87.83
2011-02-05 12:00:00,-1.12,88.00
2011-02-05 13:00:00,-1.21,88.05
2011-02-05 14:00:00,-1.33,87.66
2011-02-05 15:00:00,-1.39,87.47
2011-02-05 16:00:00,-1.40,87.23
2011-02-05 17:00:00,-1.60,86.94
2011-02-05 18:00:00,-1.96,87.65
2011-02-05 19:00:00,-2.17,88.55
2011-02-05 20:00:00,-2.29,88.74
2011-02-05 21:00:00,-2.36,88.73
2011-02-05 22:00:00,-2.47,88.53
2011-02-05 23:00:00,-2.58,87.98
2011-02-06 00:00:00,-2.33,87.12
2011-02-06 01:00:00,-2.28,86.59
2011-02-06 02:00:00,-2.56,86.57
2011-02-06 03:00:00,-2.62,86.58
2011-02-06 04:00:00,-2.58,86.81
2011-02-06 05:00:00,-2.58,87.13
2011-02-06 06:00:00,-2.45,86.98
2011-02-06 07:00:00,-2.20,86.66
2011-02-06 08:00:00,-2.09,86.89
2011-02-06 09:00:00,-2.02,87.81
2011-02-06 10:00:00,-1.84,89.00
2011-02-06 11:00:00,-1.60,89.59
2011-02-06 12:00:00,-1.35,89.65
2011-02-06 13:00:00,-0.97,89.32
2011-02-06 14:00:00,-0.45,88.55
2011-02-06 15:00:00,-0.14,87.69
2011-02-06 16:00:00,-0.31,87.11
2011-02-06 17:00:00,-0.64,86.47
2011-02-06 18:00:00,-0.91,85.79
2011-02-06 19:00:00,-1.41,85.50
2011-02-06 20:00:00,-1.93,85.15
2011-02-06 21:00:00,-2.19,85.10
2011-02-06 22:00:00,-2.34,86.44
2011-02-06 23:00:00,-2.33,87.06
2011-02-07 00:00:00,-2.45,86.40
2011-02-07 01:00:00,-2.84,86.33
2011-02-07 02:00:00,-3.00,86.29
2011-02-07 03:00:00,-2.90,86.23
2011-02-07 04:00:00,-3.20,87.31
2011-02-07 05:00:00,-3.21,87.05
2011-02-07 06:00:00,-2.93,86.09
2011-02-07 07:00:00,-2.99,86.47
2011-02-07 08:00:00,-2.88,86.33
2011-02-07 09:00:00,-2.80,86.17
2011-02-07 10:00:00,-2.67,86.19
2011-02-07 11:00:00,-2.37,86.16
2011-02-07 12:00:00,-2.04,86.44
2011-02-07 13:00:00,-1.77,86.89
2011-02-07 14:00:00,-1.66,86.88
2011-02-07 15:00:00,-1.69,86.61
2011-02-07 16:00:00,-1.81,86.64
2011-02-07 17:00:00,-2.04,86.52
2011-02-07 18:00:00,-2.42,85.84
2011-02-07 19:00:00,-2.88,85.34
2011-02-07 20:00:00,-3.13,85.50
2011-02-07 21:00:00,-3.03,86.32
2011-02-07 22:00:00,-2.74,87.26
2011-02-07 23:00:00,-2.41,88.50
2011-02-08 00:00:00,-2.05,89.83
2011-02-08 01:00:00,-1.68,90.69
2011-02-08 02:00:00,-1.34,91.09
2011-02-08 03:00:00,-1.08,91.33
2011-02-08 04:00:00,-0.90,91.97
2011-02-08 05:00:00,-0.80,92.19
2011-02-08 06:00:00,-0.75,92.21
2011-02-08 07:00:00,-0.71,91.96
2011-02-08 08:00:00,-0.68,91.38
2011-02-08 09:00:00,-0.67,91.13
2011-02-08 10:00:00,-0.64,91.38
2011-02-08 11:00:00,-0.55,91.44
2011-02-08 12:00:00,-0.42,91.48
2011-02-08 13:00:00,-0.33,91.44
2011-02-08 14:00:00,-0.31,91.33
2011-02-08 15:00:00,-0.30,91.35
2011-02-08 16:00:00,-0.28,91.50
2011-02-08 17:00:00,-0.39,91.41
2011-02-08 18:00:00,-0.69,90.12
2011-02-08 19:00:00,-1.28,88.65
2011-02-08 20:00:00,-2.11,87.36
2011-02-08 21:00:00,-2.92,86.19
2011-02-08 22:00:00,-3.50,85.52
2011-02-08 23:00:00,-3.88,85.27
2011-02-09 00:00:00,-4.14,85.32
2011-02-09 01:00:00,-4.36,85.88
2011-02-09 02:00:00,-4.50,86.63
2011-02-09 03:00:00,-4.62,87.38
2011-02-09 04:00:00,-4.59,88.04
2011-02-09 05:00:00,-4.49,88.29
2011-02-09 06:00:00,-4.50,87.68
2011-02-09 07:00:00,-5.70,83.10
2011-02-09 08:00:00,-7.39,79.07
2011-02-09 09:00:00,-9.07,77.07
2011-02-09 10:00:00,-10.54,75.44
2011-02-09 11:00:00,-10.82,76.04
2011-02-09 12:00:00,-10.50,77.04
2011-02-09 13:00:00,-9.84,77.84
2011-02-09 14:00:00,-9.25,78.59
2011-02-09 15:00:00,-8.78,78.95
2011-02-09 16:00:00,-8.64,77.01
2011-02-09 17:00:00,-8.88,75.00
2011-02-09 18:00:00,-9.16,75.00
2011-02-09 19:00:00,-9.61,75.38
2011-02-09 20:00:00,-10.20,75.85
2011-02-09 21:00:00,-10.69,75.99
2011-02-09 22:00:00,-11.00,75.95
2011-02-09 23:00:00,-11.27,75.37
2011-02-10 00:00:00,-11.09,74.16
2011-02-10 01:00:00,-11.25,72.67
2011-02-10 02:00:00,-12.26,71.92
2011-02-10 03:00:00,-12.44,71.94
2011-02-10 04:00:00,-12.53,69.89
2011-02-10 05:00:00,-13.05,67.53
2011-02-10 06:00:00,-13.14,67.28
2011-02-10 07:00:00,-13.94,67.13
2011-02-10 08:00:00,-14.96,65.44
2011-02-10 09:00:00,-15.30,65.58
2011-02-10 10:00:00,-15.05,67.23
2011-02-10 11:00:00,-14.14,68.71
2011-02-10 12:00:00,-12.90,70.62
2011-02-10 13:00:00,-11.71,71.56
2011-02-10 14:00:00,-10.84,72.72
2011-02-10 15:00:00,-10.26,73.83
2011-02-10 16:00:00,-9.95,74.29
2011-02-10 17:00:00,-9.95,74.56
2011-02-10 18:00:00,-10.04,74.75
2011-02-10 19:00:00,-10.18,74.82
2011-02-10 20:00:00,-10.23,74.88
2011-02-10 21:00:00,-10.23,75.20
2011-02-10 22:00:00,-10.36,75.43
2011-02-10 23:00:00,-10.41,75.72
2011-02-11 00:00:00,-10.32,75.89
2011-02-11 01:00:00,-10.33,75.72
2011-02-11 02:00:00,-10.48,75.65
2011-02-11 03:00:00,-10.58,75.55
2011-02-11 04:00:00,-10.70,75.18
2011-02-11 05:00:00,-10.98,74.59
2011-02-11 06:00:00,-11.54,73.45
2011-02-11 07:00:00,-12.27,72.08
2011-02-11 08:00:00,-12.81,71.56
2011-02-11 09:00:00,-13.05,71.31
2011-02-11 10:00:00,-13.18,71.34
2011-02-11 11:00:00,-13.17,71.67
2011-02-11 12:00:00,-12.84,72.40
2011-02-11 13:00:00,-12.18,73.31
2011-02-11 14:00:00,-11.47,74.39
2011-02-11 15:00:00,-10.99,75.44
2011-02-11 16:00:00,-10.82,75.63
2011-02-11 17:00:00,-10.94,75.45
2011-02-11 18:00:00,-11.23,74.35
2011-02-11 19:00:00,-11.40,73.97
2011-02-11 20:00:00,-11.45,74.68
2011-02-11 21:00:00,-11.66,75.25
2011-02-11 22:00:00,-11.66,76.98
2011-02-11 23:00:00,-11.41,79.35
2011-02-12 00:00:00,-11.04,80.42
2011-02-12 01:00:00,-10.62,80.34
2011-02-12 02:00:00,-10.67,80.11
2011-02-12 03:00:00,-11.03,79.91
2011-02-12 04:00:00,-11.38,79.88
2011-02-12 05:00:00,-11.60,80.12
2011-02-12 06:00:00,-11.44,80.84
2011-02-12 07:00:00,-11.12,81.13
2011-02-12 08:00:00,-10.94,81.12
2011-02-12 09:00:00,-10.82,80.85
2011-02-12 10:00:00,-10.88,79.19
2011-02-12 11:00:00,-10.98,77.44
2011-02-12 12:00:00,-11.05,76.15
2011-02-12 13:00:00,-11.00,75.78
2011-02-12 14:00:00,-10.66,76.06
2011-02-12 15:00:00,-10.39,75.95
2011-02-12 16:00:00,-10.59,75.84
2011-02-12 17:00:00,-11.28,75.73
2011-02-12 18:00:00,-12.08,75.73
2011-02-12 19:00:00,-12.61,75.69
2011-02-12 20:00:00,-12.88,75.38
2011-02-12 21:00:00,-13.20,74.61
2011-02-12 22:00:00,-13.57,73.83
2011-02-12 23:00:00,-13.92,73.09
2011-02-13 00:00:00,-14.09,71.84
2011-02-13 01:00:00,-14.82,70.37
2011-02-13 02:00:00,-15.46,69.70
2011-02-13 03:00:00,-15.65,69.37
2011-02-13 04:00:00,-15.97,68.62
2011-02-13 05:00:00,-16.13,68.11
2011-02-13 06:00:00,-16.30,67.75
2011-02-13 07:00:00,-16.63,66.94
2011-02-13 08:00:00,-17.34,66.56
2011-02-13 09:00:00,-17.64,67.19
2011-02-13 10:00:00,-17.35,68.37
2011-02-13 11:00:00,-17.08,69.41
2011-02-13 12:00:00,-16.77,69.81
2011-02-13 13:00:00,-16.23,70.09
2011-02-13 14:00:00,-15.43,70.45
2011-02-13 15:00:00,-14.91,70.16
2011-02-13 16:00:00,-14.80,69.66
2011-02-13 17:00:00,-15.05,69.54
2011-02-13 18:00:00,-15.54,68.94
2011-02-13 19:00:00,-16.01,68.52
2011-02-13 20:00:00,-16.33,68.34
2011-02-13 21:00:00,-16.56,68.02
2011-02-13 22:00:00,-16.96,67.99
2011-02-13 23:00:00,-17.36,67.51
2011-02-14 00:00:00,-17.51,67.24
2011-02-14 01:00:00,-17.58,67.20
2011-02-14 02:00:00,-17.88,66.65
2011-02-14 03:00:00,-18.07,66.55
2011-02-14 04:00:00,-18.31,66.58
2011-02-14 05:00:00,-18.73,66.25
2011-02-14 06:00:00,-18.99,65.96
2011-02-14 07:00:00,-19.24,65.36
2011-02-14 08:00:00,-19.45,64.97
2011-02-14 09:00:00,-19.42,65.40
2011-02-14 10:00:00,-19.23,66.20
2011-02-14 11:00:00,-18.82,67.41
2011-02-14 12:00:00,-18.20,68.68
2011-02-14 13:00:00,-17.38,69.23
2011-02-14 14:00:00,-16.51,69.77
2011-02-14 15:00:00,-15.89,70.28
2011-02-14 16:00:00,-15.63,70.21
2011-02-14 17:00:00,-15.83,70.00
2011-02-14 18:00:00,-16.41,68.65
2011-02-14 19:00:00,-17.23,67.12
2011-02-14 20:00:00,-18.01,66.56
2011-02-14 21:00:00,-18.80,65.44
2011-02-14 22:00:00,-19.68,63.53
2011-02-14 23:00:00,-20.27,62.55
2011-02-15 00:00:00,-21.04,61.61
2011-02-15 01:00:00,-22.15,59.66
2011-02-15 02:00:00,-22.52,58.87
2011-02-15 03:00:00,-22.71,58.70
2011-02-15 04:00:00,-22.94,58.75
2011-02-15 05:00:00,-22.76,59.63
2011-02-15 06:00:00,-22.55,60.16
2011-02-15 07:00:00,-22.55,60.07
2011-02-15 08:00:00,-22.72,60.06
2011-02-15 09:00:00,-22.63,60.25
2011-02-15 10:00:00,-22.02,60.98
2011-02-15 11:00:00,-21.04,62.72
2011-02-15 12:00:00,-20.02,64.52
2011-02-15 13:00:00,-18.71,65.96
2011-02-15 14:00:00,-17.34,67.49
2011-02-15 15:00:00,-16.26,68.78
2011-02-15 16:00:00,-15.71,69.81
2011-02-15 17:00:00,-15.86,70.56
2011-02-15 18:00:00,-16.41,69.77
2011-02-15 19:00:00,-17.16,67.75
2011-02-15 20:00:00,-18.08,66.32
2011-02-15 21:00:00,-18.83,65.59
2011-02-15 22:00:00,-19.62,64.19
2011-02-15 23:00:00,-20.07,62.61
2011-02-16 00:00:00,-20.73,61.22
2011-02-16 01:00:00,-21.59,60.41
2011-02-16 02:00:00,-21.87,60.62
2011-02-16 03:00:00,-21.91,60.74
2011-02-16 04:00:00,-21.81,60.84
2011-02-16 05:00:00,-21.71,61.30
2011-02-16 06:00:00,-21.45,61.83
2011-02-16 07:00:00,-21.29,62.19
2011-02-16 08:00:00,-21.22,62.45
2011-02-16 09:00:00,-20.87,63.12
2011-02-16 10:00:00,-20.20,64.80
2011-02-16 11:00:00,-19.26,67.15
2011-02-16 12:00:00,-18.31,68.60
