t_UTC+2,T,RH
2011-01-31 00:00:00,-4.77,70.73
2011-01-31 01:00:00,-4.85,70.54
2011-01-31 02:00:00,-4.77,70.52
2011-01-31 03:00:00,-4.61,70.62
2011-01-31 04:00:00,-4.40,70.82
2011-01-31 05:00:00,-4.21,71.06
2011-01-31 06:00:00,-4.03,71.34
2011-01-31 07:00:00,-3.76,71.77
2011-01-31 08:00:00,-3.59,72.23
2011-01-31 09:00:00,-3.54,72.61
2011-01-31 10:00:00,-3.27,73.18
2011-01-31 11:00:00,-2.75,74.00
2011-01-31 12:00:00,-2.42,74.70
2011-01-31 13:00:00,-2.31,75.27
2011-01-31 14:00:00,-2.12,75.85
2011-01-31 15:00:00,-1.88,76.50
2011-01-31 16:00:00,-1.65,77.15
2011-01-31 17:00:00,-1.46,77.58
2011-01-31 18:00:00,-1.42,77.78
2011-01-31 19:00:00,-1.50,77.89
2011-01-31 20:00:00,-1.59,77.94
2011-01-31 21:00:00,-1.54,78.06
2011-01-31 22:00:00,-1.38,78.20
2011-01-31 23:00:00,-1.15,78.31
2011-02-01 00:00:00,-1.04,78.37
2011-02-01 01:00:00,-1.14,78.37
2011-02-01 02:00:00,-1.34,78.35
2011-02-01 03:00:00,-1.51,78.40
2011-02-01 04:00:00,-1.55,78.48
2011-02-01 05:00:00,-1.55,78.56
2011-02-01 06:00:00,-1.58,78.61
2011-02-01 07:00:00,-1.59,78.72
2011-02-01 08:00:00,-1.67,78.75
2011-02-01 09:00:00,-1.85,78.63
2011-02-01 10:00:00,-1.80,78.72
2011-02-01 11:00:00,-1.40,79.09
2011-02-01 12:00:00,-0.99,79.35
2011-02-01 13:00:00,-0.70,79.41
2011-02-01 14:00:00,-0.37,79.44
2011-02-01 15:00:00,-0.10,79.47
2011-02-01 16:00:00,0.02,79.47
2011-02-01 17:00:00,-0.04,79.45
2011-02-01 18:00:00,-0.17,79.48
2011-02-01 19:00:00,-0.20,79.61
2011-02-01 20:00:00,-0.15,79.75
2011-02-01 21:00:00,-0.10,79.86
2011-02-01 22:00:00,-0.04,80.05
2011-02-01 23:00:00,0.06,80.22
2011-02-02 00:00:00,0.18,80.35
2011-02-02 01:00:00,0.30,80.50
2011-02-02 02:00:00,0.43,80.69
2011-02-02 03:00:00,0.60,80.91
2011-02-02 04:00:00,0.77,81.16
2011-02-02 05:00:00,0.92,81.42
2011-02-02 06:00:00,1.04,81.76
2011-02-02 07:00:00,1.20,82.20
2011-02-02 08:00:00,1.31,82.69
2011-02-02 09:00:00,1.41,83.06
2011-02-02 10:00:00,1.50,83.31
2011-02-02 11:00:00,1.63,83.55
2011-02-02 12:00:00,1.86,83.75
2011-02-02 13:00:00,1.96,83.90
2011-02-02 14:00:00,1.96,84.00
2011-02-02 15:00:00,1.95,84.06
2011-02-02 16:00:00,1.83,84.07
2011-02-02 17:00:00,1.60,83.97
2011-02-02 18:00:00,1.50,83.99
2011-02-02 19:00:00,1.59,84.23
2011-02-02 20:00:00,1.70,84.47
2011-02-02 21:00:00,1.64,84.52
2011-02-02 22:00:00,1.45,84.39
2011-02-02 23:00:00,1.29,84.19
2011-02-03 00:00:00,1.14,84.00
2011-02-03 01:00:00,0.99,83.78
2011-02-03 02:00:00,0.92,83.47
2011-02-03 03:00:00,0.94,83.10
2011-02-03 04:00:00,0.90,82.78
2011-02-03 05:00:00,0.83,82.38
2011-02-03 06:00:00,0.68,81.94
2011-02-03 07:00:00,0.42,81.46
2011-02-03 08:00:00,0.12,80.94
2011-02-03 09:00:00,-0.06,80.54
2011-02-03 10:00:00,-0.01,80.23
2011-02-03 11:00:00,0.11,79.99
2011-02-03 12:00:00,0.21,79.89
2011-02-03 13:00:00,0.43,79.98
2011-02-03 14:00:00,0.70,80.22
2011-02-03 15:00:00,0.96,80.57
2011-02-03 16:00:00,1.33,81.10
2011-02-03 17:00:00,1.58,81.41
2011-02-03 18:00:00,1.56,81.57
2011-02-03 19:00:00,1.64,81.97
2011-02-03 20:00:00,1.76,82.39
2011-02-03 21:00:00,1.79,82.73
2011-02-03 22:00:00,1.50,82.78
2011-02-03 23:00:00,1.06,82.51
2011-02-04 00:00:00,0.79,82.07
2011-02-04 01:00:00,0.51,81.59
2011-02-04 02:00:00,0.11,81.22
2011-02-04 03:00:00,-0.11,81.19
2011-02-04 04:00:00,-0.21,81.33
2011-02-04 05:00:00,-0.45,81.19
2011-02-04 06:00:00,-0.68,80.97
2011-02-04 07:00:00,-0.72,80.81
2011-02-04 08:00:00,-0.73,80.66
2011-02-04 09:00:00,-0.66,80.61
2011-02-04 10:00:00,-0.43,80.68
2011-02-04 11:00:00,-0.08,80.89
2011-02-04 12:00:00,0.21,81.02
2011-02-04 13:00:00,0.34,80.97
2011-02-04 14:00:00,0.38,80.75
2011-02-04 15:00:00,0.33,80.44
2011-02-04 16:00:00,0.35,80.16
2011-02-04 17:00:00,0.41,79.90
2011-02-04 18:00:00,0.40,79.71
2011-02-04 19:00:00,0.38,79.59
2011-02-04 20:00:00,0.41,79.52
2011-02-04 21:00:00,0.44,79.49
2011-02-04 22:00:00,0.46,79.47
2011-02-04 23:00:00,0.48,79.47
2011-02-05 00:00:00,0.51,79.47
2011-02-05 01:00:00,0.53,79.46
2011-02-05 02:00:00,0.55,79.46
2011-02-05 03:00:00,0.54,79.44
2011-02-05 04:00:00,0.49,79.42
2011-02-05 05:00:00,0.49,79.36
2011-02-05 06:00:00,0.45,79.22
2011-02-05 07:00:00,0.39,79.09
2011-02-05 08:00:00,0.27,78.94
2011-02-05 09:00:00,0.19,78.78
2011-02-05 10:00:00,0.20,78.66
2011-02-05 11:00:00,0.22,78.60
2011-02-05 12:00:00,0.30,78.56
2011-02-05 13:00:00,0.32,78.53
2011-02-05 14:00:00,0.26,78.49
2011-02-05 15:00:00,0.21,78.39
2011-02-05 16:00:00,0.19,78.24
2011-02-05 17:00:00,0.08,78.10
2011-02-05 18:00:00,-0.04,77.89
2011-02-05 19:00:00,-0.15,77.69
2011-02-05 20:00:00,-0.36,77.67
2011-02-05 21:00:00,-0.49,77.64
2011-02-05 22:00:00,-0.58,77.52
2011-02-05 23:00:00,-0.66,77.37
2011-02-06 00:00:00,-0.56,77.22
2011-02-06 01:00:00,-0.53,77.09
2011-02-06 02:00:00,-0.68,76.95
2011-02-06 03:00:00,-0.80,76.90
2011-02-06 04:00:00,-0.86,76.91
2011-02-06 05:00:00,-0.92,76.96
2011-02-06 06:00:00,-0.89,77.02
2011-02-06 07:00:00,-0.76,77.06
2011-02-06 08:00:00,-0.66,77.07
2011-02-06 09:00:00,-0.61,77.21
2011-02-06 10:00:00,-0.49,77.51
2011-02-06 11:00:00,-0.32,77.93
2011-02-06 12:00:00,-0.17,78.37
2011-02-06 13:00:00,0.10,78.68
2011-02-06 14:00:00,0.50,78.83
2011-02-06 15:00:00,0.79,78.77
2011-02-06 16:00:00,0.76,78.59
2011-02-06 17:00:00,0.52,78.47
2011-02-06 18:00:00,0.24,78.22
2011-02-06 19:00:00,-0.12,77.89
2011-02-06 20:00:00,-0.44,77.56
2011-02-06 21:00:00,-0.62,77.30
2011-02-06 22:00:00,-0.71,77.25
2011-02-06 23:00:00,-0.71,77.33
2011-02-07 00:00:00,-0.81,77.34
2011-02-07 01:00:00,-1.02,77.22
2011-02-07 02:00:00,-1.09,77.08
2011-02-07 03:00:00,-1.08,76.97
2011-02-07 04:00:00,-1.27,76.91
2011-02-07 05:00:00,-1.35,76.91
2011-02-07 06:00:00,-1.27,76.84
2011-02-07 07:00:00,-1.23,76.73
2011-02-07 08:00:00,-1.17,76.68
2011-02-07 09:00:00,-1.11,76.66
2011-02-07 10:00:00,-1.02,76.70
2011-02-07 11:00:00,-0.91,76.81
2011-02-07 12:00:00,-0.68,76.96
2011-02-07 13:00:00,-0.41,77.12
2011-02-07 14:00:00,-0.28,77.28
2011-02-07 15:00:00,-0.26,77.34
2011-02-07 16:00:00,-0.27,77.32
2011-02-07 17:00:00,-0.39,77.26
2011-02-07 18:00:00,-0.65,77.14
2011-02-07 19:00:00,-0.97,76.94
2011-02-07 20:00:00,-1.22,76.68
2011-02-07 21:00:00,-1.26,76.53
2011-02-07 22:00:00,-1.15,76.59
2011-02-07 23:00:00,-0.98,76.86
2011-02-08 00:00:00,-0.73,77.29
2011-02-08 01:00:00,-0.44,77.79
2011-02-08 02:00:00,-0.20,78.28
2011-02-08 03:00:00,0.01,78.71
2011-02-08 04:00:00,0.20,79.06
2011-02-08 05:00:00,0.30,79.38
2011-02-08 06:00:00,0.40,79.64
2011-02-08 07:00:00,0.46,79.78
2011-02-08 08:00:00,0.49,79.83
2011-02-08 09:00:00,0.52,79.85
2011-02-08 10:00:00,0.53,79.89
2011-02-08 11:00:00,0.61,80.00
2011-02-08 12:00:00,0.71,80.12
2011-02-08 13:00:00,0.79,80.26
2011-02-08 14:00:00,0.84,80.38
2011-02-08 15:00:00,0.88,80.48
2011-02-08 16:00:00,0.87,80.62
2011-02-08 17:00:00,0.80,80.68
2011-02-08 18:00:00,0.64,80.59
2011-02-08 19:00:00,0.27,80.28
2011-02-08 20:00:00,-0.26,79.75
2011-02-08 21:00:00,-0.87,79.16
2011-02-08 22:00:00,-1.42,78.58
2011-02-08 23:00:00,-1.77,78.06
2011-02-09 00:00:00,-1.97,77.60
2011-02-09 01:00:00,-2.17,77.22
2011-02-09 02:00:00,-2.33,76.97
2011-02-09 03:00:00,-2.42,76.89
2011-02-09 04:00:00,-2.48,76.94
2011-02-09 05:00:00,-2.50,76.96
2011-02-09 06:00:00,-2.60,76.97
2011-02-09 07:00:00,-3.40,76.39
2011-02-09 08:00:00,-4.59,75.50
2011-02-09 09:00:00,-5.81,74.41
2011-02-09 10:00:00,-7.10,73.29
2011-02-09 11:00:00,-7.79,72.73
2011-02-09 12:00:00,-7.82,72.41
2011-02-09 13:00:00,-7.47,72.25
2011-02-09 14:00:00,-7.10,72.16
2011-02-09 15:00:00,-6.79,72.16
2011-02-09 16:00:00,-6.69,71.98
2011-02-09 17:00:00,-6.80,71.61
2011-02-09 18:00:00,-6.99,71.23
2011-02-09 19:00:00,-7.24,70.95
2011-02-09 20:00:00,-7.62,70.69
2011-02-09 21:00:00,-8.04,70.40
2011-02-09 22:00:00,-8.25,70.28
2011-02-09 23:00:00,-8.36,70.12
2011-02-10 00:00:00,-8.37,69.85
2011-02-10 01:00:00,-8.46,69.54
2011-02-10 02:00:00,-8.79,69.16
