t_UTC+2,T,RH
2011-01-31 00:00:00,-5.46,71.20
2011-01-31 01:00:00,-5.58,71.82
2011-01-31 02:00:00,-5.62,72.39
2011-01-31 03:00:00,-5.53,73.73
2011-01-31 04:00:00,-5.38,74.11
2011-01-31 05:00:00,-5.27,74.56
2011-01-31 06:00:00,-5.16,75.52
2011-01-31 07:00:00,-4.98,76.42
2011-01-31 08:00:00,-4.85,77.07
2011-01-31 09:00:00,-4.79,77.63
2011-01-31 10:00:00,-4.57,79.18
2011-01-31 11:00:00,-4.13,81.72
2011-01-31 12:00:00,-3.83,82.85
2011-01-31 13:00:00,-3.71,82.50
2011-01-31 14:00:00,-3.48,83.31
2011-01-31 15:00:00,-3.26,84.25
2011-01-31 16:00:00,-3.03,85.45
2011-01-31 17:00:00,-2.83,86.21
2011-01-31 18:00:00,-2.77,85.97
2011-01-31 19:00:00,-2.83,85.86
2011-01-31 20:00:00,-2.90,85.16
2011-01-31 21:00:00,-2.84,84.97
2011-01-31 22:00:00,-2.71,84.66
2011-01-31 23:00:00,-2.50,85.18
2011-02-01 00:00:00,-2.38,85.38
2011-02-01 01:00:00,-2.47,84.69
2011-02-01 02:00:00,-2.60,85.50
2011-02-01 03:00:00,-2.69,86.36
2011-02-01 04:00:00,-2.70,86.37
2011-02-01 05:00:00,-2.67,86.34
2011-02-01 06:00:00,-2.72,86.57
2011-02-01 07:00:00,-2.77,86.37
2011-02-01 08:00:00,-2.84,85.43
2011-02-01 09:00:00,-2.96,85.21
2011-02-01 10:00:00,-2.94,86.22
2011-02-01 11:00:00,-2.63,88.03
2011-02-01 12:00:00,-2.17,89.72
2011-02-01 13:00:00,-1.86,89.41
2011-02-01 14:00:00,-1.59,89.45
2011-02-01 15:00:00,-1.33,90.28
2011-02-01 16:00:00,-1.28,89.44
2011-02-01 17:00:00,-1.37,88.14
2011-02-01 18:00:00,-1.50,87.45
2011-02-01 19:00:00,-1.53,87.48
2011-02-01 20:00:00,-1.46,87.68
2011-02-01 21:00:00,-1.42,87.66
2011-02-01 22:00:00,-1.35,87.95
2011-02-01 23:00:00,-1.23,88.66
2011-02-02 00:00:00,-1.09,89.00
2011-02-02 01:00:00,-1.00,88.91
2011-02-02 02:00:00,-0.88,89.26
2011-02-02 03:00:00,-0.71,89.81
2011-02-02 04:00:00,-0.55,90.10
2011-02-02 05:00:00,-0.43,90.06
2011-02-02 06:00:00,-0.26,91.22
2011-02-02 07:00:00,-0.08,92.88
2011-02-02 08:00:00,0.04,93.73
2011-02-02 09:00:00,0.16,94.19
2011-02-02 10:00:00,0.28,94.34
2011-02-02 11:00:00,0.45,94.77
2011-02-02 12:00:00,0.62,94.75
2011-02-02 13:00:00,0.68,94.23
2011-02-02 14:00:00,0.68,93.81
2011-02-02 15:00:00,0.66,93.53
2011-02-02 16:00:00,0.57,93.19
2011-02-02 17:00:00,0.42,92.54
2011-02-02 18:00:00,0.34,92.19
2011-02-02 19:00:00,0.40,92.20
2011-02-02 20:00:00,0.45,92.42
2011-02-02 21:00:00,0.41,92.56
2011-02-02 22:00:00,0.32,92.37
2011-02-02 23:00:00,0.24,92.31
2011-02-03 00:00:00,0.15,92.17
2011-02-03 01:00:00,0.06,91.96
2011-02-03 02:00:00,-0.01,91.27
2011-02-03 03:00:00,-0.04,90.55
2011-02-03 04:00:00,-0.04,90.05
2011-02-03 05:00:00,-0.07,89.25
2011-02-03 06:00:00,-0.18,88.41
2011-02-03 07:00:00,-0.36,87.44
2011-02-03 08:00:00,-0.64,85.50
2011-02-03 09:00:00,-0.80,85.12
2011-02-03 10:00:00,-0.82,85.73
2011-02-03 11:00:00,-0.81,85.31
2011-02-03 12:00:00,-0.73,85.59
2011-02-03 13:00:00,-0.56,86.34
2011-02-03 14:00:00,-0.36,87.19
2011-02-03 15:00:00,-0.17,87.83
2011-02-03 16:00:00,0.15,89.12
2011-02-03 17:00:00,0.35,89.58
2011-02-03 18:00:00,0.34,89.20
2011-02-03 19:00:00,0.40,89.81
2011-02-03 20:00:00,0.46,90.47
2011-02-03 21:00:00,0.47,91.07
2011-02-03 22:00:00,0.30,91.36
2011-02-03 23:00:00,0.10,91.20
