t_UTC+2,T,RH
2011-01-31 00:00:00,-6.41,69.62
2011-01-31 01:00:00,-6.36,70.97
2011-01-31 02:00:00,-6.21,72.52
2011-01-31 03:00:00,-5.96,73.83
2011-01-31 04:00:00,-5.71,74.94
2011-01-31 05:00:00,-5.50,75.99
2011-01-31 06:00:00,-5.33,78.08
2011-01-31 07:00:00,-5.08,80.62
2011-01-31 08:00:00,-4.92,81.72
2011-01-31 09:00:00,-4.81,81.88
2011-01-31 10:00:00,-4.38,85.07
2011-01-31 11:00:00,-3.75,87.83
2011-01-31 12:00:00,-3.47,87.25
2011-01-31 13:00:00,-3.42,87.47
2011-01-31 14:00:00,-3.13,88.76
2011-01-31 15:00:00,-2.88,90.33
2011-01-31 16:00:00,-2.61,90.59
2011-01-31 17:00:00,-2.42,89.59
2011-01-31 18:00:00,-2.45,88.41
2011-01-31 19:00:00,-2.58,87.80
2011-01-31 20:00:00,-2.72,87.56
2011-01-31 21:00:00,-2.58,87.88
2011-01-31 22:00:00,-2.30,88.55
2011-01-31 23:00:00,-2.08,88.44
2011-02-01 00:00:00,-2.06,87.94
2011-02-01 01:00:00,-2.25,87.47
2011-02-01 02:00:00,-2.49,87.27
2011-02-01 03:00:00,-2.66,87.53
2011-02-01 04:00:00,-2.64,87.48
2011-02-01 05:00:00,-2.60,87.39
2011-02-01 06:00:00,-2.69,88.02
2011-02-01 07:00:00,-2.74,88.06
2011-02-01 08:00:00,-2.83,87.05
2011-02-01 09:00:00,-3.02,86.62
2011-02-01 10:00:00,-2.91,88.41
2011-02-01 11:00:00,-2.42,90.30
2011-02-01 12:00:00,-1.87,90.90
2011-02-01 13:00:00,-1.50,91.69
2011-02-01 14:00:00,-1.17,92.48
2011-02-01 15:00:00,-0.91,92.45
2011-02-01 16:00:00,-0.88,91.39
2011-02-01 17:00:00,-1.05,89.96
2011-02-01 18:00:00,-1.23,89.63
2011-02-01 19:00:00,-1.25,90.02
2011-02-01 20:00:00,-1.16,90.08
2011-02-01 21:00:00,-1.10,91.22
2011-02-01 22:00:00,-1.02,92.71
2011-02-01 23:00:00,-0.90,92.38
2011-02-02 00:00:00,-0.81,91.61
2011-02-02 01:00:00,-0.66,93.27
2011-02-02 02:00:00,-0.45,95.33
2011-02-02 03:00:00,-0.24,95.99
2011-02-02 04:00:00,-0.12,96.23
2011-02-02 05:00:00,0.00,96.57
2011-02-02 06:00:00,0.13,96.84
2011-02-02 07:00:00,0.22,96.91
2011-02-02 08:00:00,0.32,97.08
2011-02-02 09:00:00,0.42,97.00
2011-02-02 10:00:00,0.53,96.88
2011-02-02 11:00:00,0.75,96.97
2011-02-02 12:00:00,1.00,96.72
2011-02-02 13:00:00,1.06,96.14
2011-02-02 14:00:00,1.04,95.73
2011-02-02 15:00:00,0.99,95.56
2011-02-02 16:00:00,0.85,94.80
2011-02-02 17:00:00,0.57,93.81
2011-02-02 18:00:00,0.48,94.82
2011-02-02 19:00:00,0.63,96.59
2011-02-02 20:00:00,0.69,96.66
2011-02-02 21:00:00,0.61,95.21
2011-02-02 22:00:00,0.45,93.88
2011-02-02 23:00:00,0.25,93.22
2011-02-03 00:00:00,0.09,92.52
2011-02-03 01:00:00,-0.07,91.72
2011-02-03 02:00:00,-0.16,90.97
2011-02-03 03:00:00,-0.16,90.42
2011-02-03 04:00:00,-0.12,89.61
2011-02-03 05:00:00,-0.17,88.56
2011-02-03 06:00:00,-0.36,87.19
2011-02-03 07:00:00,-0.69,85.82
2011-02-03 08:00:00,-1.14,85.65
2011-02-03 09:00:00,-1.31,85.56
2011-02-03 10:00:00,-1.17,85.31
2011-02-03 11:00:00,-1.02,85.94
2011-02-03 12:00:00,-0.86,87.22
2011-02-03 13:00:00,-0.58,88.84
2011-02-03 14:00:00,-0.24,91.34
2011-02-03 15:00:00,0.05,93.56
2011-02-03 16:00:00,0.41,94.77
2011-02-03 17:00:00,0.57,95.20
2011-02-03 18:00:00,0.55,95.38
