t_UTC+2,T,RH
2011-01-31 00:00:00,-6.65,70.63
2011-01-31 01:00:00,-6.57,72.02
2011-01-31 02:00:00,-6.44,73.71
2011-01-31 03:00:00,-6.19,75.09
2011-01-31 04:00:00,-5.88,76.41
2011-01-31 05:00:00,-5.62,77.33
2011-01-31 06:00:00,-5.40,78.64
2011-01-31 07:00:00,-5.13,80.76
2011-01-31 08:00:00,-4.96,82.09
2011-01-31 09:00:00,-4.87,82.31
2011-01-31 10:00:00,-4.46,84.77
2011-01-31 11:00:00,-3.78,87.22
2011-01-31 12:00:00,-3.47,87.06
2011-01-31 13:00:00,-3.38,87.47
2011-01-31 14:00:00,-3.12,88.96
2011-01-31 15:00:00,-2.87,90.52
2011-01-31 16:00:00,-2.59,90.75
2011-01-31 17:00:00,-2.40,89.58
2011-01-31 18:00:00,-2.43,88.44
2011-01-31 19:00:00,-2.58,88.06
2011-01-31 20:00:00,-2.72,87.86
2011-01-31 21:00:00,-2.58,88.07
2011-01-31 22:00:00,-2.29,88.30
2011-01-31 23:00:00,-2.04,88.16
2011-02-01 00:00:00,-1.98,87.91
2011-02-01 01:00:00,-2.17,87.57
2011-02-01 02:00:00,-2.50,87.75
2011-02-01 03:00:00,-2.71,88.09
2011-02-01 04:00:00,-2.68,88.28
2011-02-01 05:00:00,-2.69,88.44
2011-02-01 06:00:00,-2.76,88.73
2011-02-01 07:00:00,-2.76,88.56
2011-02-01 08:00:00,-2.82,87.62
2011-02-01 09:00:00,-3.09,87.60
2011-02-01 10:00:00,-3.04,89.16
2011-02-01 11:00:00,-2.45,90.75
2011-02-01 12:00:00,-1.87,91.75
2011-02-01 13:00:00,-1.50,92.06
2011-02-01 14:00:00,-1.17,92.24
2011-02-01 15:00:00,-0.88,92.28
2011-02-01 16:00:00,-0.85,91.26
2011-02-01 17:00:00,-1.05,90.00
2011-02-01 18:00:00,-1.24,89.59
2011-02-01 19:00:00,-1.26,89.94
2011-02-01 20:00:00,-1.16,90.33
2011-02-01 21:00:00,-1.07,91.16
2011-02-01 22:00:00,-1.00,91.97
2011-02-01 23:00:00,-0.91,92.03
2011-02-02 00:00:00,-0.79,92.23
2011-02-02 01:00:00,-0.65,93.08
2011-02-02 02:00:00,-0.47,94.12
2011-02-02 03:00:00,-0.29,94.94
2011-02-02 04:00:00,-0.13,95.24
2011-02-02 05:00:00,-0.01,95.31
2011-02-02 06:00:00,0.12,96.08
2011-02-02 07:00:00,0.26,96.92
2011-02-02 08:00:00,0.34,97.34
2011-02-02 09:00:00,0.41,97.29
2011-02-02 10:00:00,0.52,97.17
2011-02-02 11:00:00,0.71,97.19
2011-02-02 12:00:00,0.96,96.73
2011-02-02 13:00:00,1.05,96.19
2011-02-02 14:00:00,1.03,95.94
2011-02-02 15:00:00,0.99,95.92
2011-02-02 16:00:00,0.83,95.38
2011-02-02 17:00:00,0.52,94.53
2011-02-02 18:00:00,0.43,95.51
2011-02-02 19:00:00,0.65,97.00
2011-02-02 20:00:00,0.72,97.00
2011-02-02 21:00:00,0.57,95.74
2011-02-02 22:00:00,0.38,94.45
2011-02-02 23:00:00,0.20,93.70
2011-02-03 00:00:00,0.01,93.11
2011-02-03 01:00:00,-0.15,92.38
2011-02-03 02:00:00,-0.17,91.37
2011-02-03 03:00:00,-0.11,90.73
2011-02-03 04:00:00,-0.11,90.28
2011-02-03 05:00:00,-0.20,89.53
2011-02-03 06:00:00,-0.44,87.87
2011-02-03 07:00:00,-0.85,86.37
2011-02-03 08:00:00,-1.24,86.45
2011-02-03 09:00:00,-1.43,86.53
2011-02-03 10:00:00,-1.38,86.22
2011-02-03 11:00:00,-1.21,87.00
2011-02-03 12:00:00,-1.05,88.83
2011-02-03 13:00:00,-0.75,91.42
2011-02-03 14:00:00,-0.33,93.78
2011-02-03 15:00:00,-0.02,94.81
2011-02-03 16:00:00,0.28,95.36
2011-02-03 17:00:00,0.49,95.65
2011-02-03 18:00:00,0.55,95.43
2011-02-03 19:00:00,0.68,95.50
2011-02-03 20:00:00,0.84,95.94
2011-02-03 21:00:00,0.88,95.48
2011-02-03 22:00:00,0.43,94.09
2011-02-03 23:00:00,-0.06,91.00
2011-02-04 00:00:00,-0.31,89.23
2011-02-04 01:00:00,-0.74,88.22
2011-02-04 02:00:00,-1.23,87.05
2011-02-04 03:00:00,-1.46,89.18
2011-02-04 04:00:00,-1.59,91.06
2011-02-04 05:00:00,-1.91,89.93
2011-02-04 06:00:00,-2.10,89.32
2011-02-04 07:00:00,-2.08,90.13
2011-02-04 08:00:00,-2.04,90.09
2011-02-04 09:00:00,-1.88,90.18
2011-02-04 10:00:00,-1.52,90.84
2011-02-04 11:00:00,-1.02,91.37
2011-02-04 12:00:00,-0.66,90.71
2011-02-04 13:00:00,-0.52,89.34
2011-02-04 14:00:00,-0.57,88.11
2011-02-04 15:00:00,-0.62,87.50
2011-02-04 16:00:00,-0.58,87.25
2011-02-04 17:00:00,-0.62,86.94
2011-02-04 18:00:00,-0.68,86.96
2011-02-04 19:00:00,-0.69,87.35
2011-02-04 20:00:00,-0.68,87.86
2011-02-04 21:00:00,-0.61,88.18
2011-02-04 22:00:00,-0.55,88.42
2011-02-04 23:00:00,-0.52,88.54
2011-02-05 00:00:00,-0.48,88.60
2011-02-05 01:00:00,-0.43,88.59
2011-02-05 02:00:00,-0.42,88.54
2011-02-05 03:00:00,-0.53,88.81
2011-02-05 04:00:00,-0.57,88.63
2011-02-05 05:00:00,-0.58,88.16
2011-02-05 06:00:00,-0.67,87.90
2011-02-05 07:00:00,-0.70,87.39
2011-02-05 08:00:00,-0.84,87.19
2011-02-05 09:00:00,-0.98,87.10
2011-02-05 10:00:00,-0.98,86.93
2011-02-05 11:00:00,-0.93,87.03
2011-02-05 12:00:00,-0.78,87.09
2011-02-05 13:00:00,-0.79,87.42
2011-02-05 14:00:00,-0.88,87.45
2011-02-05 15:00:00,-0.91,87.02
2011-02-05 16:00:00,-0.94,86.67
2011-02-05 17:00:00,-1.29,86.00
2011-02-05 18:00:00,-1.52,86.55
2011-02-05 19:00:00,-1.61,88.02
2011-02-05 20:00:00,-1.84,88.12
2011-02-05 21:00:00,-1.79,87.29
2011-02-05 22:00:00,-1.81,86.83
2011-02-05 23:00:00,-1.88,86.41
2011-02-06 00:00:00,-1.73,85.49
2011-02-06 01:00:00,-1.66,85.16
2011-02-06 02:00:00,-1.96,85.70
2011-02-06 03:00:00,-2.26,85.79
2011-02-06 04:00:00,-2.27,85.64
2011-02-06 05:00:00,-2.25,86.16
2011-02-06 06:00:00,-2.12,86.03
2011-02-06 07:00:00,-1.84,85.52
2011-02-06 08:00:00,-1.74,85.85
2011-02-06 09:00:00,-1.72,86.95
2011-02-06 10:00:00,-1.61,88.50
2011-02-06 11:00:00,-1.44,89.28
2011-02-06 12:00:00,-1.20,89.55
2011-02-06 13:00:00,-0.79,89.90
2011-02-06 14:00:00,-0.22,89.08
2011-02-06 15:00:00,0.05,87.88
2011-02-06 16:00:00,-0.19,87.43
2011-02-06 17:00:00,-0.49,86.72
2011-02-06 18:00:00,-0.72,85.75
2011-02-06 19:00:00,-1.16,84.88
2011-02-06 20:00:00,-1.56,84.22
2011-02-06 21:00:00,-1.75,84.21
2011-02-06 22:00:00,-2.00,85.88
2011-02-06 23:00:00,-2.04,86.62
2011-02-07 00:00:00,-2.04,85.44
2011-02-07 01:00:00,-2.48,85.63
2011-02-07 02:00:00,-2.65,85.53
2011-02-07 03:00:00,-2.42,84.71
2011-02-07 04:00:00,-2.79,86.40
2011-02-07 05:00:00,-2.85,86.34
2011-02-07 06:00:00,-2.46,84.73
2011-02-07 07:00:00,-2.43,84.81
2011-02-07 08:00:00,-2.34,84.73
2011-02-07 09:00:00,-2.34,85.03
2011-02-07 10:00:00,-2.24,85.12
2011-02-07 11:00:00,-1.99,85.23
2011-02-07 12:00:00,-1.74,86.02
2011-02-07 13:00:00,-1.52,86.63
2011-02-07 14:00:00,-1.40,86.61
2011-02-07 15:00:00,-1.36,86.36
2011-02-07 16:00:00,-1.50,86.28
2011-02-07 17:00:00,-1.82,86.25
2011-02-07 18:00:00,-2.16,85.62
2011-02-07 19:00:00,-2.47,84.79
2011-02-07 20:00:00,-2.76,84.95
2011-02-07 21:00:00,-2.80,86.28
2011-02-07 22:00:00,-2.51,86.91
2011-02-07 23:00:00,-2.22,88.52
2011-02-08 00:00:00,-1.97,91.14
2011-02-08 01:00:00,-1.60,92.53
2011-02-08 02:00:00,-1.27,93.60
2011-02-08 03:00:00,-1.00,94.39
2011-02-08 04:00:00,-0.83,94.91
2011-02-08 05:00:00,-0.78,94.89
2011-02-08 06:00:00,-0.72,94.00
2011-02-08 07:00:00,-0.64,92.50
2011-02-08 08:00:00,-0.58,91.45
2011-02-08 09:00:00,-0.54,91.10
2011-02-08 10:00:00,-0.49,91.23
2011-02-08 11:00:00,-0.42,91.44
2011-02-08 12:00:00,-0.38,92.30
2011-02-08 13:00:00,-0.36,92.80
2011-02-08 14:00:00,-0.36,92.72
2011-02-08 15:00:00,-0.39,92.93
2011-02-08 16:00:00,-0.38,93.56
2011-02-08 17:00:00,-0.45,93.18
2011-02-08 18:00:00,-0.73,90.54
2011-02-08 19:00:00,-1.32,88.71
2011-02-08 20:00:00,-2.23,87.75
2011-02-08 21:00:00,-3.07,86.86
2011-02-08 22:00:00,-3.54,85.51
2011-02-08 23:00:00,-3.62,84.33
2011-02-09 00:00:00,-3.55,84.19
2011-02-09 01:00:00,-3.90,85.31
2011-02-09 02:00:00,-4.40,86.94
2011-02-09 03:00:00,-4.65,88.66
2011-02-09 04:00:00,-4.45,88.77
2011-02-09 05:00:00,-4.33,88.88
2011-02-09 06:00:00,-4.66,89.06
2011-02-09 07:00:00,-6.29,84.19
2011-02-09 08:00:00,-8.21,79.47
2011-02-09 09:00:00,-9.82,76.52
