t_UTC+2,T,RH
2011-01-31 00:00:00,-6.31,67.00
2011-01-31 01:00:00,-6.30,68.48
2011-01-31 02:00:00,-6.17,70.26
2011-01-31 03:00:00,-5.95,71.94
2011-01-31 04:00:00,-5.70,73.33
2011-01-31 05:00:00,-5.49,74.26
2011-01-31 06:00:00,-5.27,76.65
2011-01-31 07:00:00,-4.98,78.81
2011-01-31 08:00:00,-4.84,79.44
2011-01-31 09:00:00,-4.76,79.85
2011-01-31 10:00:00,-4.33,83.07
2011-01-31 11:00:00,-3.69,85.77
2011-01-31 12:00:00,-3.43,85.37
2011-01-31 13:00:00,-3.36,85.73
2011-01-31 14:00:00,-3.08,87.16
2011-01-31 15:00:00,-2.84,88.85
2011-01-31 16:00:00,-2.56,89.05
2011-01-31 17:00:00,-2.38,87.77
2011-01-31 18:00:00,-2.46,86.51
2011-01-31 19:00:00,-2.60,86.05
2011-01-31 20:00:00,-2.73,85.74
2011-01-31 21:00:00,-2.56,86.04
2011-01-31 22:00:00,-2.25,86.59
2011-01-31 23:00:00,-1.99,86.40
2011-02-01 00:00:00,-1.98,85.86
2011-02-01 01:00:00,-2.21,85.47
2011-02-01 02:00:00,-2.52,85.69
2011-02-01 03:00:00,-2.71,86.14
2011-02-01 04:00:00,-2.71,86.20
2011-02-01 05:00:00,-2.69,86.15
2011-02-01 06:00:00,-2.78,86.56
2011-02-01 07:00:00,-2.79,86.54
2011-02-01 08:00:00,-2.82,85.41
2011-02-01 09:00:00,-3.05,85.03
2011-02-01 10:00:00,-3.00,87.08
2011-02-01 11:00:00,-2.40,89.27
2011-02-01 12:00:00,-1.77,89.00
2011-02-01 13:00:00,-1.42,88.22
2011-02-01 14:00:00,-1.04,88.78
2011-02-01 15:00:00,-0.73,89.26
2011-02-01 16:00:00,-0.74,88.52
2011-02-01 17:00:00,-0.96,87.41
2011-02-01 18:00:00,-1.17,87.28
2011-02-01 19:00:00,-1.21,87.97
2011-02-01 20:00:00,-1.11,88.40
2011-02-01 21:00:00,-1.03,89.53
2011-02-01 22:00:00,-0.94,90.62
2011-02-01 23:00:00,-0.83,90.31
2011-02-02 00:00:00,-0.72,90.06
2011-02-02 01:00:00,-0.57,91.06
2011-02-02 02:00:00,-0.39,91.88
2011-02-02 03:00:00,-0.17,92.52
2011-02-02 04:00:00,-0.01,93.53
2011-02-02 05:00:00,0.09,93.90
2011-02-02 06:00:00,0.20,94.72
2011-02-02 07:00:00,0.29,95.53
2011-02-02 08:00:00,0.36,95.75
2011-02-02 09:00:00,0.44,95.60
2011-02-02 10:00:00,0.57,95.40
2011-02-02 11:00:00,0.83,95.34
2011-02-02 12:00:00,1.08,94.90
2011-02-02 13:00:00,1.10,94.36
2011-02-02 14:00:00,1.06,94.08
2011-02-02 15:00:00,0.98,93.98
2011-02-02 16:00:00,0.81,93.22
2011-02-02 17:00:00,0.55,92.20
2011-02-02 18:00:00,0.44,93.66
2011-02-02 19:00:00,0.61,95.61
2011-02-02 20:00:00,0.67,95.42
2011-02-02 21:00:00,0.56,93.83
2011-02-02 22:00:00,0.39,92.49
2011-02-02 23:00:00,0.19,91.80
2011-02-03 00:00:00,0.01,91.12
2011-02-03 01:00:00,-0.15,90.34
2011-02-03 02:00:00,-0.15,89.25
2011-02-03 03:00:00,-0.10,88.40
2011-02-03 04:00:00,-0.10,87.67
2011-02-03 05:00:00,-0.16,86.67
2011-02-03 06:00:00,-0.37,85.12
2011-02-03 07:00:00,-0.72,83.94
2011-02-03 08:00:00,-1.11,83.72
2011-02-03 09:00:00,-1.25,83.38
2011-02-03 10:00:00,-1.16,83.21
2011-02-03 11:00:00,-1.05,84.16
2011-02-03 12:00:00,-0.86,85.62
2011-02-03 13:00:00,-0.54,87.13
2011-02-03 14:00:00,-0.20,88.94
2011-02-03 15:00:00,0.06,90.91
2011-02-03 16:00:00,0.53,91.85
2011-02-03 17:00:00,0.77,92.28
2011-02-03 18:00:00,0.66,93.08
2011-02-03 19:00:00,0.73,93.79
2011-02-03 20:00:00,0.86,94.53
2011-02-03 21:00:00,0.85,94.05
2011-02-03 22:00:00,0.36,92.56
2011-02-03 23:00:00,-0.12,89.43
2011-02-04 00:00:00,-0.35,87.55
2011-02-04 01:00:00,-0.80,86.41
2011-02-04 02:00:00,-1.29,84.95
2011-02-04 03:00:00,-1.48,86.97
2011-02-04 04:00:00,-1.55,88.60
2011-02-04 05:00:00,-1.88,87.34
2011-02-04 06:00:00,-2.09,86.85
2011-02-04 07:00:00,-2.03,87.48
2011-02-04 08:00:00,-1.98,87.40
2011-02-04 09:00:00,-1.83,87.59
2011-02-04 10:00:00,-1.48,88.32
2011-02-04 11:00:00,-0.97,89.04
2011-02-04 12:00:00,-0.62,88.53
2011-02-04 13:00:00,-0.53,86.96
2011-02-04 14:00:00,-0.56,85.54
2011-02-04 15:00:00,-0.59,84.79
2011-02-04 16:00:00,-0.51,84.41
2011-02-04 17:00:00,-0.52,84.28
2011-02-04 18:00:00,-0.57,84.34
2011-02-04 19:00:00,-0.62,84.70
2011-02-04 20:00:00,-0.60,85.25
2011-02-04 21:00:00,-0.52,85.66
2011-02-04 22:00:00,-0.48,85.81
2011-02-04 23:00:00,-0.47,85.75
2011-02-05 00:00:00,-0.44,85.78
2011-02-05 01:00:00,-0.38,85.70
2011-02-05 02:00:00,-0.35,85.62
2011-02-05 03:00:00,-0.40,85.62
2011-02-05 04:00:00,-0.41,85.39
2011-02-05 05:00:00,-0.45,84.90
2011-02-05 06:00:00,-0.54,84.41
2011-02-05 07:00:00,-0.57,84.06
2011-02-05 08:00:00,-0.67,83.82
2011-02-05 09:00:00,-0.78,83.62
2011-02-05 10:00:00,-0.82,83.72
2011-02-05 11:00:00,-0.77,83.84
2011-02-05 12:00:00,-0.61,83.85
2011-02-05 13:00:00,-0.57,83.80
2011-02-05 14:00:00,-0.62,83.44
2011-02-05 15:00:00,-0.69,83.11
2011-02-05 16:00:00,-0.76,82.86
2011-02-05 17:00:00,-0.94,82.69
2011-02-05 18:00:00,-1.04,82.55
2011-02-05 19:00:00,-1.20,83.10
2011-02-05 20:00:00,-1.44,83.19
2011-02-05 21:00:00,-1.46,82.60
2011-02-05 22:00:00,-1.54,82.72
2011-02-05 23:00:00,-1.65,82.58
2011-02-06 00:00:00,-1.53,81.82
2011-02-06 01:00:00,-1.45,81.28
2011-02-06 02:00:00,-1.73,81.75
2011-02-06 03:00:00,-1.98,82.30
2011-02-06 04:00:00,-2.01,82.53
2011-02-06 05:00:00,-2.06,82.95
2011-02-06 06:00:00,-1.98,82.82
2011-02-06 07:00:00,-1.73,82.42
2011-02-06 08:00:00,-1.65,82.91
2011-02-06 09:00:00,-1.68,84.40
2011-02-06 10:00:00,-1.57,86.03
2011-02-06 11:00:00,-1.39,87.09
2011-02-06 12:00:00,-1.18,87.62
2011-02-06 13:00:00,-0.72,87.61
2011-02-06 14:00:00,-0.05,86.18
2011-02-06 15:00:00,0.21,84.85
2011-02-06 16:00:00,-0.11,84.53
2011-02-06 17:00:00,-0.46,83.91
2011-02-06 18:00:00,-0.70,83.08
2011-02-06 19:00:00,-1.15,82.38
2011-02-06 20:00:00,-1.53,81.70
2011-02-06 21:00:00,-1.66,81.50
2011-02-06 22:00:00,-1.83,82.90
2011-02-06 23:00:00,-1.92,83.81
2011-02-07 00:00:00,-2.00,83.03
2011-02-07 01:00:00,-2.27,82.47
2011-02-07 02:00:00,-2.40,82.22
2011-02-07 03:00:00,-2.26,81.73
2011-02-07 04:00:00,-2.52,82.52
2011-02-07 05:00:00,-2.57,82.42
2011-02-07 06:00:00,-2.31,81.48
2011-02-07 07:00:00,-2.29,81.50
2011-02-07 08:00:00,-2.21,81.41
2011-02-07 09:00:00,-2.19,81.72
2011-02-07 10:00:00,-2.10,81.93
2011-02-07 11:00:00,-1.88,82.78
2011-02-07 12:00:00,-1.60,84.33
2011-02-07 13:00:00,-1.33,84.94
2011-02-07 14:00:00,-1.21,84.19
2011-02-07 15:00:00,-1.21,83.37
2011-02-07 16:00:00,-1.31,83.15
2011-02-07 17:00:00,-1.56,82.88
2011-02-07 18:00:00,-1.96,82.17
2011-02-07 19:00:00,-2.25,81.14
2011-02-07 20:00:00,-2.48,81.04
2011-02-07 21:00:00,-2.51,82.38
2011-02-07 22:00:00,-2.30,83.67
2011-02-07 23:00:00,-2.08,85.50
2011-02-08 00:00:00,-1.79,87.94
2011-02-08 01:00:00,-1.43,89.81
2011-02-08 02:00:00,-1.11,90.34
2011-02-08 03:00:00,-0.87,89.81
2011-02-08 04:00:00,-0.71,89.92
2011-02-08 05:00:00,-0.62,89.95
2011-02-08 06:00:00,-0.56,89.47
2011-02-08 07:00:00,-0.50,88.75
2011-02-08 08:00:00,-0.46,88.37
2011-02-08 09:00:00,-0.45,88.30
2011-02-08 10:00:00,-0.40,88.34
2011-02-08 11:00:00,-0.29,88.34
2011-02-08 12:00:00,-0.15,88.59
2011-02-08 13:00:00,-0.05,88.73
2011-02-08 14:00:00,-0.03,88.41
2011-02-08 15:00:00,-0.04,88.62
2011-02-08 16:00:00,-0.10,89.31
2011-02-08 17:00:00,-0.26,89.31
2011-02-08 18:00:00,-0.55,87.76
2011-02-08 19:00:00,-1.10,85.82
2011-02-08 20:00:00,-1.85,84.02
2011-02-08 21:00:00,-2.51,82.57
2011-02-08 22:00:00,-3.02,81.67
2011-02-08 23:00:00,-3.29,81.03
2011-02-09 00:00:00,-3.29,80.59
2011-02-09 01:00:00,-3.53,81.09
2011-02-09 02:00:00,-3.88,82.16
2011-02-09 03:00:00,-4.04,82.85
2011-02-09 04:00:00,-3.92,82.69
2011-02-09 05:00:00,-3.85,83.13
2011-02-09 06:00:00,-4.12,83.58
2011-02-09 07:00:00,-5.27,78.27
2011-02-09 08:00:00,-6.78,73.69
2011-02-09 09:00:00,-8.43,71.39
2011-02-09 10:00:00,-9.91,69.06
2011-02-09 11:00:00,-10.21,69.88
2011-02-09 12:00:00,-9.91,71.52
2011-02-09 13:00:00,-9.30,72.70
2011-02-09 14:00:00,-8.77,73.58
2011-02-09 15:00:00,-8.31,73.95
2011-02-09 16:00:00,-8.20,72.18
2011-02-09 17:00:00,-8.41,70.52
2011-02-09 18:00:00,-8.77,70.50
2011-02-09 19:00:00,-9.18,70.75
2011-02-09 20:00:00,-9.68,71.12
2011-02-09 21:00:00,-10.15,71.06
2011-02-09 22:00:00,-10.08,70.34
2011-02-09 23:00:00,-9.96,69.41
2011-02-10 00:00:00,-9.86,68.72
2011-02-10 01:00:00,-9.88,67.11
2011-02-10 02:00:00,-10.34,65.53
2011-02-10 03:00:00,-10.52,65.30
2011-02-10 04:00:00,-10.71,64.65
2011-02-10 05:00:00,-11.29,63.81
2011-02-10 06:00:00,-11.93,62.77
2011-02-10 07:00:00,-12.41,61.23
2011-02-10 08:00:00,-12.99,60.08
2011-02-10 09:00:00,-13.50,59.38
2011-02-10 10:00:00,-13.37,59.84
2011-02-10 11:00:00,-12.73,63.28
2011-02-10 12:00:00,-11.93,66.88
2011-02-10 13:00:00,-11.02,68.75
2011-02-10 14:00:00,-10.26,69.82
2011-02-10 15:00:00,-9.74,70.39
2011-02-10 16:00:00,-9.50,70.75
2011-02-10 17:00:00,-9.57,71.03
2011-02-10 18:00:00,-9.68,71.32
2011-02-10 19:00:00,-9.73,71.09
2011-02-10 20:00:00,-9.77,71.00
2011-02-10 21:00:00,-9.79,71.08
2011-02-10 22:00:00,-9.88,71.41
2011-02-10 23:00:00,-9.96,71.96
2011-02-11 00:00:00,-9.95,71.96
2011-02-11 01:00:00,-9.96,71.65
2011-02-11 02:00:00,-10.05,71.49
2011-02-11 03:00:00,-10.16,71.18
2011-02-11 04:00:00,-10.30,70.68
2011-02-11 05:00:00,-10.57,69.90
2011-02-11 06:00:00,-11.04,68.65
2011-02-11 07:00:00,-11.72,67.44
2011-02-11 08:00:00,-12.22,66.87
2011-02-11 09:00:00,-12.38,66.72
2011-02-11 10:00:00,-12.46,66.88
2011-02-11 11:00:00,-12.50,67.12
2011-02-11 12:00:00,-12.24,67.73
