t_UTC+2,T,RH
2010-11-28 00:00:00,-10.46,66.62
2010-11-28 01:00:00,-10.72,66.31
2010-11-28 02:00:00,-11.05,65.77
2010-11-28 03:00:00,-11.36,65.31
2010-11-28 04:00:00,-11.63,64.75
2010-11-28 05:00:00,-11.88,64.66
2010-11-28 06:00:00,-12.08,65.16
2010-11-28 07:00:00,-12.25,65.60
2010-11-28 08:00:00,-12.37,66.08
2010-11-28 09:00:00,-12.37,66.61
2010-11-28 10:00:00,-12.25,67.92
2010-11-28 11:00:00,-11.96,69.93
2010-11-28 12:00:00,-11.48,70.86
2010-11-28 13:00:00,-11.14,70.43
2010-11-28 14:00:00,-11.00,70.10
2010-11-28 15:00:00,-10.99,69.60
2010-11-28 16:00:00,-11.20,67.59
2010-11-28 17:00:00,-11.59,65.78
2010-11-28 18:00:00,-12.13,64.48
2010-11-28 19:00:00,-12.75,62.34
2010-11-28 20:00:00,-13.41,60.62
2010-11-28 21:00:00,-13.91,60.25
2010-11-28 22:00:00,-14.05,61.44
2010-11-28 23:00:00,-14.02,62.39
2010-11-29 00:00:00,-14.10,61.97
2010-11-29 01:00:00,-14.33,61.55
2010-11-29 02:00:00,-14.55,61.77
2010-11-29 03:00:00,-14.44,64.89
2010-11-29 04:00:00,-13.98,69.47
2010-11-29 05:00:00,-13.66,71.86
2010-11-29 06:00:00,-13.50,71.34
2010-11-29 07:00:00,-13.46,69.94
2010-11-29 08:00:00,-13.50,69.20
2010-11-29 09:00:00,-13.54,68.14
2010-11-29 10:00:00,-13.56,67.64
2010-11-29 11:00:00,-13.50,68.48
2010-11-29 12:00:00,-13.25,69.72
2010-11-29 13:00:00,-12.97,70.47
2010-11-29 14:00:00,-12.80,70.66
2010-11-29 15:00:00,-12.80,70.61
2010-11-29 16:00:00,-12.95,70.06
2010-11-29 17:00:00,-13.16,69.31
2010-11-29 18:00:00,-13.34,68.30
2010-11-29 19:00:00,-13.52,66.69
2010-11-29 20:00:00,-13.79,65.35
2010-11-29 21:00:00,-14.07,64.97
2010-11-29 22:00:00,-14.31,64.96
2010-11-29 23:00:00,-14.45,65.23
2010-11-30 00:00:00,-14.55,65.67
2010-11-30 01:00:00,-14.67,66.62
2010-11-30 02:00:00,-14.79,67.75
2010-11-30 03:00:00,-14.83,67.81
2010-11-30 04:00:00,-14.81,67.86
2010-11-30 05:00:00,-14.85,68.00
2010-11-30 06:00:00,-14.84,68.39
2010-11-30 07:00:00,-14.79,69.30
2010-11-30 08:00:00,-14.79,69.40
2010-11-30 09:00:00,-14.73,68.69
2010-11-30 10:00:00,-14.56,69.22
2010-11-30 11:00:00,-14.32,71.19
2010-11-30 12:00:00,-13.96,72.99
2010-11-30 13:00:00,-13.55,74.32
2010-11-30 14:00:00,-13.24,74.91
2010-11-30 15:00:00,-13.07,73.89
2010-11-30 16:00:00,-13.09,73.09
2010-11-30 17:00:00,-12.98,75.26
2010-11-30 18:00:00,-12.48,78.79
2010-11-30 19:00:00,-11.88,80.39
2010-11-30 20:00:00,-11.38,80.58
2010-11-30 21:00:00,-11.16,80.38
2010-11-30 22:00:00,-11.15,79.33
2010-11-30 23:00:00,-11.23,79.12
2010-12-01 00:00:00,-11.25,77.87
2010-12-01 01:00:00,-11.24,74.87
2010-12-01 02:00:00,-11.32,73.18
2010-12-01 03:00:00,-11.26,74.09
2010-12-01 04:00:00,-10.97,76.62
2010-12-01 05:00:00,-10.72,77.14
2010-12-01 06:00:00,-10.57,76.12
2010-12-01 07:00:00,-10.39,75.74
2010-12-01 08:00:00,-10.16,75.88
2010-12-01 09:00:00,-9.93,75.52
2010-12-01 10:00:00,-9.91,74.39
2010-12-01 11:00:00,-9.83,74.27
2010-12-01 12:00:00,-9.32,78.44
2010-12-01 13:00:00,-8.62,82.83
2010-12-01 14:00:00,-8.18,83.30
2010-12-01 15:00:00,-7.96,82.52
2010-12-01 16:00:00,-7.75,81.59
2010-12-01 17:00:00,-7.52,82.76
2010-12-01 18:00:00,-7.23,84.35
