UTC+2,T,RH
2010-11-23 00:00:00,-3.73,92.92
2010-11-23 01:00:00,-3.67,93.00
2010-11-23 02:00:00,-3.65,92.95
2010-11-23 03:00:00,-3.73,92.59
2010-11-23 04:00:00,-4.08,90.73
2010-11-23 05:00:00,-4.61,88.95
2010-11-23 06:00:00,-4.81,88.72
2010-11-23 07:00:00,-4.75,89.00
2010-11-23 08:00:00,-4.65,88.44
2010-11-23 09:00:00,-4.22,86.50
2010-11-23 10:00:00,-3.69,85.14
2010-11-23 11:00:00,-3.27,84.59
2010-11-23 12:00:00,-3.35,84.88
2010-11-23 13:00:00,-3.92,85.53
2010-11-23 14:00:00,-4.40,86.52
2010-11-23 15:00:00,-4.65,88.77
2010-11-23 16:00:00,-4.52,89.89
2010-11-23 17:00:00,-4.11,90.13
2010-11-23 18:00:00,-3.80,91.42
2010-11-23 19:00:00,-3.66,92.34
2010-11-23 20:00:00,-3.58,92.28
2010-11-23 21:00:00,-3.56,92.23
2010-11-23 22:00:00,-3.67,92.23
2010-11-23 23:00:00,-3.84,91.29
2010-11-24 00:00:00,-3.95,90.54
2010-11-24 01:00:00,-4.10,91.33
2010-11-24 02:00:00,-4.08,91.52
2010-11-24 03:00:00,-3.95,91.85
2010-11-24 04:00:00,-3.84,92.60
2010-11-24 05:00:00,-3.75,92.74
2010-11-24 06:00:00,-3.76,93.25
2010-11-24 07:00:00,-3.75,93.59
2010-11-24 08:00:00,-3.51,93.59
2010-11-24 09:00:00,-3.23,93.41
2010-11-24 10:00:00,-3.12,93.16
2010-11-24 11:00:00,-2.97,92.29
2010-11-24 12:00:00,-2.84,91.31
2010-11-24 13:00:00,-2.87,91.12
2010-11-24 14:00:00,-3.00,90.72
2010-11-24 15:00:00,-3.19,89.85
2010-11-24 16:00:00,-3.41,89.12
2010-11-24 17:00:00,-3.77,88.72
2010-11-24 18:00:00,-4.24,88.18
2010-11-24 19:00:00,-4.67,87.72
2010-11-24 20:00:00,-5.03,87.66
2010-11-24 21:00:00,-5.24,86.50
2010-11-24 22:00:00,-5.41,86.19
2010-11-24 23:00:00,-5.62,87.54
2010-11-25 00:00:00,-5.88,88.85
2010-11-25 01:00:00,-6.21,89.37
2010-11-25 02:00:00,-6.54,88.76
2010-11-25 03:00:00,-6.81,88.04
2010-11-25 04:00:00,-7.04,86.60
2010-11-25 05:00:00,-7.39,85.02
2010-11-25 06:00:00,-7.75,84.44
2010-11-25 07:00:00,-7.89,84.15
2010-11-25 08:00:00,-7.89,83.56
2010-11-25 09:00:00,-7.80,81.93
2010-11-25 10:00:00,-7.75,80.69
2010-11-25 11:00:00,-7.46,78.70
2010-11-25 12:00:00,-7.10,76.44
2010-11-25 13:00:00,-6.43,74.27
2010-11-25 14:00:00,-7.01,76.16
2010-11-25 15:00:00,-8.66,81.65
2010-11-25 16:00:00,-9.27,83.76
2010-11-25 17:00:00,-9.56,83.82
2010-11-25 18:00:00,-9.89,83.44
2010-11-25 19:00:00,-10.45,83.03
2010-11-25 20:00:00,-11.04,82.91
2010-11-25 21:00:00,-11.41,83.19
2010-11-25 22:00:00,-11.68,83.50
2010-11-25 23:00:00,-12.01,83.85
2010-11-26 00:00:00,-12.30,83.91
2010-11-26 01:00:00,-12.61,84.03
2010-11-26 02:00:00,-13.01,84.31
2010-11-26 03:00:00,-13.42,84.47
2010-11-26 04:00:00,-13.69,84.41
2010-11-26 05:00:00,-13.82,84.36
2010-11-26 06:00:00,-13.97,84.25
2010-11-26 07:00:00,-13.98,84.08
2010-11-26 08:00:00,-14.03,84.12
2010-11-26 09:00:00,-13.75,82.51
2010-11-26 10:00:00,-12.84,79.48
2010-11-26 11:00:00,-12.00,76.99
2010-11-26 12:00:00,-11.21,74.32
2010-11-26 13:00:00,-9.59,69.37
2010-11-26 14:00:00,-9.04,67.59
2010-11-26 15:00:00,-11.20,74.85
2010-11-26 16:00:00,-13.04,82.09
2010-11-26 17:00:00,-13.39,83.34
2010-11-26 18:00:00,-13.38,83.06
2010-11-26 19:00:00,-13.38,83.39
2010-11-26 20:00:00,-13.59,83.88
2010-11-26 21:00:00,-13.75,84.19
2010-11-26 22:00:00,-13.88,84.36
2010-11-26 23:00:00,-14.06,84.59
2010-11-27 00:00:00,-13.45,84.64
2010-11-27 01:00:00,-12.41,84.72
2010-11-27 02:00:00,-12.16,84.98
2010-11-27 03:00:00,-12.04,84.91
2010-11-27 04:00:00,-11.75,84.72
2010-11-27 05:00:00,-11.53,84.72
2010-11-27 06:00:00,-11.29,84.68
2010-11-27 07:00:00,-11.21,84.78
2010-11-27 08:00:00,-11.26,85.09
2010-11-27 09:00:00,-11.15,84.96
2010-11-27 10:00:00,-10.61,83.69
2010-11-27 11:00:00,-10.06,81.90
2010-11-27 12:00:00,-9.76,79.80
2010-11-27 13:00:00,-9.71,79.16
2010-11-27 14:00:00,-10.07,81.38
2010-11-27 15:00:00,-10.55,83.50
2010-11-27 16:00:00,-10.90,83.84
2010-11-27 17:00:00,-11.04,83.64
2010-11-27 18:00:00,-11.27,82.60
2010-11-27 19:00:00,-11.80,82.23
2010-11-27 20:00:00,-12.48,83.54
2010-11-27 21:00:00,-13.04,84.09
2010-11-27 22:00:00,-13.61,84.39
2010-11-27 23:00:00,-14.19,84.69
2010-11-28 00:00:00,-14.31,84.23
2010-11-28 01:00:00,-14.44,83.84
2010-11-28 02:00:00,-14.62,83.09
2010-11-28 03:00:00,-14.95,82.80
2010-11-28 04:00:00,-15.61,83.48
2010-11-28 05:00:00,-15.96,83.79
2010-11-28 06:00:00,-16.14,83.55
2010-11-28 07:00:00,-16.39,83.26
2010-11-28 08:00:00,-16.49,83.25
2010-11-28 09:00:00,-16.07,81.87
2010-11-28 10:00:00,-14.93,79.18
2010-11-28 11:00:00,-13.55,77.22
2010-11-28 12:00:00,-11.80,73.75
2010-11-28 13:00:00,-9.85,69.03
2010-11-28 14:00:00,-9.34,65.23
2010-11-28 15:00:00,-11.87,73.79
2010-11-28 16:00:00,-14.71,84.36
2010-11-28 17:00:00,-15.44,84.50
2010-11-28 18:00:00,-15.95,84.31
2010-11-28 19:00:00,-16.44,84.10
2010-11-28 20:00:00,-17.00,82.84
