UTC+2,T,RH
2010-11-23 00:00:00,-3.48,91.46
2010-11-23 01:00:00,-3.46,91.71
2010-11-23 02:00:00,-3.37,91.23
2010-11-23 03:00:00,-3.38,89.97
2010-11-23 04:00:00,-3.74,87.66
2010-11-23 05:00:00,-4.22,85.16
2010-11-23 06:00:00,-4.37,84.22
2010-11-23 07:00:00,-4.29,83.97
2010-11-23 08:00:00,-4.16,83.56
2010-11-23 09:00:00,-3.80,82.46
2010-11-23 10:00:00,-3.29,80.45
2010-11-23 11:00:00,-2.90,79.82
2010-11-23 12:00:00,-2.97,80.65
2010-11-23 13:00:00,-3.53,81.75
2010-11-23 14:00:00,-4.08,83.48
2010-11-23 15:00:00,-4.30,85.75
2010-11-23 16:00:00,-4.21,86.83
2010-11-23 17:00:00,-3.88,87.55
2010-11-23 18:00:00,-3.59,88.94
2010-11-23 19:00:00,-3.43,89.72
2010-11-23 20:00:00,-3.35,89.74
2010-11-23 21:00:00,-3.32,89.63
2010-11-23 22:00:00,-3.42,89.59
2010-11-23 23:00:00,-3.62,88.75
2010-11-24 00:00:00,-3.70,87.67
2010-11-24 01:00:00,-3.81,88.07
2010-11-24 02:00:00,-3.83,88.70
2010-11-24 03:00:00,-3.73,89.34
2010-11-24 04:00:00,-3.62,90.11
2010-11-24 05:00:00,-3.52,90.61
2010-11-24 06:00:00,-3.53,91.19
2010-11-24 07:00:00,-3.52,91.52
2010-11-24 08:00:00,-3.29,91.36
2010-11-24 09:00:00,-2.99,91.31
2010-11-24 10:00:00,-2.87,91.37
2010-11-24 11:00:00,-2.77,90.02
2010-11-24 12:00:00,-2.66,88.61
2010-11-24 13:00:00,-2.64,88.24
2010-11-24 14:00:00,-2.73,87.53
2010-11-24 15:00:00,-2.90,86.64
2010-11-24 16:00:00,-3.10,86.17
2010-11-24 17:00:00,-3.40,85.09
2010-11-24 18:00:00,-3.80,84.15
2010-11-24 19:00:00,-4.22,83.94
2010-11-24 20:00:00,-4.57,83.46
2010-11-24 21:00:00,-4.86,82.67
2010-11-24 22:00:00,-4.98,82.65
2010-11-24 23:00:00,-5.16,84.22
2010-11-25 00:00:00,-5.54,85.75
2010-11-25 01:00:00,-5.87,85.58
2010-11-25 02:00:00,-6.14,85.00
2010-11-25 03:00:00,-6.36,84.75
2010-11-25 04:00:00,-6.54,83.28
2010-11-25 05:00:00,-6.88,80.90
2010-11-25 06:00:00,-7.12,78.84
2010-11-25 07:00:00,-7.23,77.77
2010-11-25 08:00:00,-7.43,77.41
2010-11-25 09:00:00,-7.37,75.88
2010-11-25 10:00:00,-7.10,73.26
2010-11-25 11:00:00,-6.64,70.75
2010-11-25 12:00:00,-6.15,68.02
2010-11-25 13:00:00,-5.85,66.00
2010-11-25 14:00:00,-6.54,69.72
2010-11-25 15:00:00,-7.91,74.95
2010-11-25 16:00:00,-8.46,76.23
2010-11-25 17:00:00,-8.66,76.52
2010-11-25 18:00:00,-9.02,76.88
2010-11-25 19:00:00,-9.57,77.02
2010-11-25 20:00:00,-10.21,77.11
2010-11-25 21:00:00,-10.61,77.67
2010-11-25 22:00:00,-10.90,77.82
2010-11-25 23:00:00,-11.12,77.67
2010-11-26 00:00:00,-11.39,77.37
2010-11-26 01:00:00,-11.68,77.62
2010-11-26 02:00:00,-11.91,78.85
2010-11-26 03:00:00,-12.18,79.29
2010-11-26 04:00:00,-12.49,78.90
2010-11-26 05:00:00,-12.74,78.89
