UTC+2,T,RH
2010-11-23 00:00:00,-2.12,84.10
2010-11-23 01:00:00,-1.99,84.49
2010-11-23 02:00:00,-1.89,84.63
2010-11-23 03:00:00,-1.83,84.38
2010-11-23 04:00:00,-1.92,83.43
2010-11-23 05:00:00,-2.16,81.81
2010-11-23 06:00:00,-2.32,80.50
2010-11-23 07:00:00,-2.39,79.88
2010-11-23 08:00:00,-2.40,79.61
2010-11-23 09:00:00,-2.32,79.53
2010-11-23 10:00:00,-2.19,79.64
2010-11-23 11:00:00,-2.01,80.08
2010-11-23 12:00:00,-1.96,80.16
2010-11-23 13:00:00,-2.05,79.62
2010-11-23 14:00:00,-2.19,79.19
2010-11-23 15:00:00,-2.35,79.23
2010-11-23 16:00:00,-2.38,79.68
2010-11-23 17:00:00,-2.26,80.65
2010-11-23 18:00:00,-2.16,81.88
2010-11-23 19:00:00,-2.06,82.84
2010-11-23 20:00:00,-1.98,83.34
2010-11-23 21:00:00,-1.94,83.53
2010-11-23 22:00:00,-1.91,83.63
2010-11-23 23:00:00,-1.97,83.38
2010-11-24 00:00:00,-2.12,82.75
2010-11-24 01:00:00,-2.20,82.41
2010-11-24 02:00:00,-2.22,82.61
2010-11-24 03:00:00,-2.21,83.06
2010-11-24 04:00:00,-2.13,83.60
2010-11-24 05:00:00,-2.08,84.10
2010-11-24 06:00:00,-2.05,84.44
2010-11-24 07:00:00,-2.05,84.66
2010-11-24 08:00:00,-1.98,85.10
2010-11-24 09:00:00,-1.84,85.74
2010-11-24 10:00:00,-1.75,86.10
2010-11-24 11:00:00,-1.68,86.03
2010-11-24 12:00:00,-1.59,85.73
2010-11-24 13:00:00,-1.56,85.41
2010-11-24 14:00:00,-1.56,84.90
2010-11-24 15:00:00,-1.63,84.06
2010-11-24 16:00:00,-1.71,83.12
2010-11-24 17:00:00,-1.85,81.98
2010-11-24 18:00:00,-2.08,80.71
2010-11-24 19:00:00,-2.31,79.63
2010-11-24 20:00:00,-2.58,78.60
2010-11-24 21:00:00,-2.76,77.96
2010-11-24 22:00:00,-2.91,77.56
2010-11-24 23:00:00,-3.03,77.48
2010-11-25 00:00:00,-3.19,77.67
2010-11-25 01:00:00,-3.35,77.48
2010-11-25 02:00:00,-3.50,77.02
2010-11-25 03:00:00,-3.69,76.41
2010-11-25 04:00:00,-3.87,75.62
2010-11-25 05:00:00,-4.09,74.40
2010-11-25 06:00:00,-4.28,72.81
2010-11-25 07:00:00,-4.39,71.97
2010-11-25 08:00:00,-4.55,71.67
2010-11-25 09:00:00,-4.71,71.19
2010-11-25 10:00:00,-4.79,70.77
2010-11-25 11:00:00,-4.79,70.55
2010-11-25 12:00:00,-4.76,70.57
2010-11-25 13:00:00,-4.82,70.44
2010-11-25 14:00:00,-4.94,70.16
2010-11-25 15:00:00,-5.17,69.86
2010-11-25 16:00:00,-5.42,69.30
2010-11-25 17:00:00,-5.67,68.81
2010-11-25 18:00:00,-5.96,68.39
2010-11-25 19:00:00,-6.27,67.63
2010-11-25 20:00:00,-6.58,67.08
2010-11-25 21:00:00,-6.76,67.16
2010-11-25 22:00:00,-6.88,67.26
2010-11-25 23:00:00,-7.00,67.05
2010-11-26 00:00:00,-7.08,66.99
2010-11-26 01:00:00,-7.29,67.03
2010-11-26 02:00:00,-7.59,66.66
2010-11-26 03:00:00,-7.99,66.21
2010-11-26 04:00:00,-8.43,66.24
2010-11-26 05:00:00,-8.75,66.25
2010-11-26 06:00:00,-9.07,66.29
2010-11-26 07:00:00,-9.34,66.65
2010-11-26 08:00:00,-9.60,66.94
2010-11-26 09:00:00,-9.70,67.36
2010-11-26 10:00:00,-9.52,68.07
2010-11-26 11:00:00,-9.30,68.66
2010-11-26 12:00:00,-9.02,69.41
2010-11-26 13:00:00,-8.77,69.92
2010-11-26 14:00:00,-8.62,70.23
2010-11-26 15:00:00,-8.61,70.41
2010-11-26 16:00:00,-8.81,69.74
2010-11-26 17:00:00,-9.16,68.85
2010-11-26 18:00:00,-9.47,68.61
2010-11-26 19:00:00,-9.55,69.12
2010-11-26 20:00:00,-9.65,69.42
2010-11-26 21:00:00,-9.82,69.34
2010-11-26 22:00:00,-9.84,69.75
2010-11-26 23:00:00,-9.84,69.98
2010-11-27 00:00:00,-9.83,70.56
2010-11-27 01:00:00,-9.63,72.14
2010-11-27 02:00:00,-9.42,73.24
2010-11-27 03:00:00,-9.34,73.87
2010-11-27 04:00:00,-9.28,74.47
2010-11-27 05:00:00,-9.19,74.94
2010-11-27 06:00:00,-9.09,75.48
2010-11-27 07:00:00,-8.97,76.09
2010-11-27 08:00:00,-8.84,76.50
2010-11-27 09:00:00,-8.68,76.85
2010-11-27 10:00:00,-8.47,77.47
2010-11-27 11:00:00,-8.29,77.93
2010-11-27 12:00:00,-8.12,77.95
2010-11-27 13:00:00,-7.89,78.09
2010-11-27 14:00:00,-7.76,78.02
2010-11-27 15:00:00,-7.76,77.52
2010-11-27 16:00:00,-7.81,76.91
2010-11-27 17:00:00,-7.88,76.07
2010-11-27 18:00:00,-8.00,74.96
2010-11-27 19:00:00,-8.20,73.45
2010-11-27 20:00:00,-8.32,72.56
2010-11-27 21:00:00,-8.55,71.81
2010-11-27 22:00:00,-8.83,70.63
2010-11-27 23:00:00,-9.11,69.88
2010-11-28 00:00:00,-9.48,69.00
2010-11-28 01:00:00,-9.83,68.28
2010-11-28 02:00:00,-9.94,68.02
2010-11-28 03:00:00,-10.10,67.36
2010-11-28 04:00:00,-10.41,66.64
2010-11-28 05:00:00,-10.66,66.54
2010-11-28 06:00:00,-11.04,66.29
2010-11-28 07:00:00,-11.43,65.86
2010-11-28 08:00:00,-11.66,66.05
2010-11-28 09:00:00,-11.79,66.81
