UTC+2,T,RH
2010-11-15 00:00:00,1.89,97.20
2010-11-15 01:00:00,1.99,97.58
2010-11-15 02:00:00,2.09,97.85
2010-11-15 03:00:00,2.27,98.01
2010-11-15 04:00:00,2.29,98.04
2010-11-15 05:00:00,2.16,97.91
2010-11-15 06:00:00,2.09,97.80
2010-11-15 07:00:00,2.06,97.75
2010-11-15 08:00:00,2.02,97.77
2010-11-15 09:00:00,2.76,98.02
2010-11-15 10:00:00,3.15,97.83
2010-11-15 11:00:00,2.59,97.29
2010-11-15 12:00:00,2.37,97.28
2010-11-15 13:00:00,2.25,97.37
2010-11-15 14:00:00,2.19,97.45
2010-11-15 15:00:00,2.27,97.62
2010-11-15 16:00:00,2.23,97.56
2010-11-15 17:00:00,2.12,97.50
2010-11-15 18:00:00,2.05,97.52
2010-11-15 19:00:00,1.96,97.38
2010-11-15 20:00:00,1.98,97.42
2010-11-15 21:00:00,1.98,97.44
2010-11-15 22:00:00,1.87,97.21
2010-11-15 23:00:00,1.78,96.99
2010-11-16 00:00:00,1.70,96.86
2010-11-16 01:00:00,1.62,96.82
2010-11-16 02:00:00,1.58,96.81
2010-11-16 03:00:00,1.54,96.71
2010-11-16 04:00:00,1.50,96.59
2010-11-16 05:00:00,1.44,96.47
2010-11-16 06:00:00,1.34,96.32
2010-11-16 07:00:00,1.21,96.14
2010-11-16 08:00:00,1.06,95.87
2010-11-16 09:00:00,1.75,93.20
2010-11-16 10:00:00,1.83,90.97
2010-11-16 11:00:00,1.30,92.07
2010-11-16 12:00:00,1.23,92.27
2010-11-16 13:00:00,0.95,91.87
2010-11-16 14:00:00,0.82,91.74
2010-11-16 15:00:00,0.74,90.89
2010-11-16 16:00:00,0.51,89.90
2010-11-16 17:00:00,0.23,88.81
2010-11-16 18:00:00,-0.03,87.88
2010-11-16 19:00:00,-0.35,86.84
2010-11-16 20:00:00,-0.73,85.63
2010-11-16 21:00:00,-0.91,85.81
2010-11-16 22:00:00,-0.88,86.47
2010-11-16 23:00:00,-0.90,86.74
2010-11-17 00:00:00,-0.96,87.02
2010-11-17 01:00:00,-1.06,86.56
2010-11-17 02:00:00,-1.20,86.11
2010-11-17 03:00:00,-1.41,86.25
2010-11-17 04:00:00,-1.50,86.81
2010-11-17 05:00:00,-1.52,86.96
2010-11-17 06:00:00,-1.61,86.97
2010-11-17 07:00:00,-1.82,87.00
2010-11-17 08:00:00,-2.05,87.17
2010-11-17 09:00:00,-2.09,87.56
2010-11-17 10:00:00,-2.09,86.91
2010-11-17 11:00:00,-2.08,85.93
2010-11-17 12:00:00,-2.06,85.53
2010-11-17 13:00:00,-2.17,85.31
2010-11-17 14:00:00,-2.31,85.48
2010-11-17 15:00:00,-2.48,86.05
2010-11-17 16:00:00,-2.72,85.88
2010-11-17 17:00:00,-2.91,85.82
2010-11-17 18:00:00,-3.00,86.03
2010-11-17 19:00:00,-3.05,85.66
2010-11-17 20:00:00,-3.12,85.34
2010-11-17 21:00:00,-3.21,85.53
2010-11-17 22:00:00,-3.20,86.04
2010-11-17 23:00:00,-3.08,86.38
2010-11-18 00:00:00,-3.00,86.45
2010-11-18 01:00:00,-2.91,86.48
2010-11-18 02:00:00,-2.80,86.69
2010-11-18 03:00:00,-2.68,86.36
2010-11-18 04:00:00,-2.52,86.09
2010-11-18 05:00:00,-2.42,86.08
2010-11-18 06:00:00,-2.34,86.22
2010-11-18 07:00:00,-2.25,87.41
2010-11-18 08:00:00,-2.28,88.53
2010-11-18 09:00:00,-2.24,88.72
2010-11-18 10:00:00,-2.10,89.04
2010-11-18 11:00:00,-1.92,89.46
2010-11-18 12:00:00,-1.67,89.61
2010-11-18 13:00:00,-1.55,89.36
2010-11-18 14:00:00,-1.50,88.93
2010-11-18 15:00:00,-1.54,88.61
2010-11-18 16:00:00,-1.65,88.08
2010-11-18 17:00:00,-1.64,87.58
2010-11-18 18:00:00,-1.66,87.05
2010-11-18 19:00:00,-1.77,86.33
2010-11-18 20:00:00,-1.90,85.97
2010-11-18 21:00:00,-2.17,85.74
2010-11-18 22:00:00,-2.14,86.66
2010-11-18 23:00:00,-2.23,86.07
2010-11-19 00:00:00,-2.76,83.53
2010-11-19 01:00:00,-3.16,82.50
2010-11-19 02:00:00,-3.52,81.55
2010-11-19 03:00:00,-3.91,81.09
2010-11-19 04:00:00,-4.21,81.90
2010-11-19 05:00:00,-4.27,82.95
2010-11-19 06:00:00,-4.19,83.62
2010-11-19 07:00:00,-4.14,83.85
2010-11-19 08:00:00,-4.13,83.87
2010-11-19 09:00:00,-4.36,83.56
2010-11-19 10:00:00,-4.58,82.84
2010-11-19 11:00:00,-4.78,81.06
2010-11-19 12:00:00,-4.94,79.84
2010-11-19 13:00:00,-5.25,79.79
2010-11-19 14:00:00,-5.53,80.01
2010-11-19 15:00:00,-5.47,80.97
2010-11-19 16:00:00,-5.48,82.02
2010-11-19 17:00:00,-5.52,82.29
2010-11-19 18:00:00,-5.56,82.53
2010-11-19 19:00:00,-5.59,83.00
2010-11-19 20:00:00,-5.57,83.35
2010-11-19 21:00:00,-5.46,83.98
2010-11-19 22:00:00,-4.69,87.50
2010-11-19 23:00:00,-4.47,88.08
2010-11-20 00:00:00,-4.91,85.63
2010-11-20 01:00:00,-4.82,86.19
2010-11-20 02:00:00,-4.78,86.38
2010-11-20 03:00:00,-4.85,86.08
2010-11-20 04:00:00,-4.88,85.57
2010-11-20 05:00:00,-4.91,85.22
2010-11-20 06:00:00,-5.12,85.45
2010-11-20 07:00:00,-5.30,85.63
2010-11-20 08:00:00,-5.26,85.21
2010-11-20 09:00:00,-5.38,84.03
2010-11-20 10:00:00,-5.62,82.97
2010-11-20 11:00:00,-5.73,82.62
2010-11-20 12:00:00,-5.57,83.50
2010-11-20 13:00:00,-5.13,85.75
2010-11-20 14:00:00,-4.62,87.63
2010-11-20 15:00:00,-4.12,88.73
2010-11-20 16:00:00,-3.75,89.54
2010-11-20 17:00:00,-3.48,90.21
2010-11-20 18:00:00,-3.19,90.41
2010-11-20 19:00:00,-2.87,90.58
2010-11-20 20:00:00,-2.56,90.85
2010-11-20 21:00:00,-2.31,90.73
2010-11-20 22:00:00,-2.09,90.50
2010-11-20 23:00:00,-1.89,90.20
2010-11-21 00:00:00,-1.76,89.75
2010-11-21 01:00:00,-1.75,89.17
2010-11-21 02:00:00,-1.79,88.19
2010-11-21 03:00:00,-1.92,87.33
2010-11-21 04:00:00,-2.13,86.91
2010-11-21 05:00:00,-2.44,86.40
2010-11-21 06:00:00,-2.64,86.24
2010-11-21 07:00:00,-2.72,86.25
2010-11-21 08:00:00,-2.77,86.35
2010-11-21 09:00:00,-3.03,85.89
2010-11-21 10:00:00,-3.70,84.88
2010-11-21 11:00:00,-4.22,83.69
2010-11-21 12:00:00,-4.24,82.09
2010-11-21 13:00:00,-4.38,80.75
2010-11-21 14:00:00,-4.85,80.06
2010-11-21 15:00:00,-5.17,79.96
2010-11-21 16:00:00,-5.45,79.91
2010-11-21 17:00:00,-5.72,79.88
2010-11-21 18:00:00,-6.06,79.85
2010-11-21 19:00:00,-6.39,80.04
2010-11-21 20:00:00,-6.47,80.30
2010-11-21 21:00:00,-6.62,80.37
2010-11-21 22:00:00,-6.96,80.31
2010-11-21 23:00:00,-7.23,80.28
2010-11-22 00:00:00,-7.27,80.31
2010-11-22 01:00:00,-7.45,80.02
2010-11-22 02:00:00,-7.60,79.84
2010-11-22 03:00:00,-7.62,80.48
2010-11-22 04:00:00,-7.92,80.62
2010-11-22 05:00:00,-8.09,80.16
2010-11-22 06:00:00,-8.13,80.19
2010-11-22 07:00:00,-8.12,80.38
2010-11-22 08:00:00,-8.14,81.16
2010-11-22 09:00:00,-8.02,81.88
2010-11-22 10:00:00,-7.71,81.81
2010-11-22 11:00:00,-7.55,81.56
2010-11-22 12:00:00,-7.48,81.71
2010-11-22 13:00:00,-7.36,81.99
2010-11-22 14:00:00,-7.42,81.74
2010-11-22 15:00:00,-7.49,81.84
2010-11-22 16:00:00,-7.27,82.89
2010-11-22 17:00:00,-7.09,83.19
2010-11-22 18:00:00,-7.17,82.40
2010-11-22 19:00:00,-7.41,81.95
2010-11-22 20:00:00,-7.55,81.93
2010-11-22 21:00:00,-7.53,82.09
2010-11-22 22:00:00,-7.29,82.70
2010-11-22 23:00:00,-7.04,83.38
2010-11-23 00:00:00,-7.00,83.10
2010-11-23 01:00:00,-7.08,82.72
2010-11-23 02:00:00,-7.23,81.62
2010-11-23 03:00:00,-7.62,80.81
2010-11-23 04:00:00,-8.05,79.95
2010-11-23 05:00:00,-8.44,78.03
2010-11-23 06:00:00,-8.84,77.80
2010-11-23 07:00:00,-8.86,79.06
2010-11-23 08:00:00,-8.52,81.58
2010-11-23 09:00:00,-7.84,85.30
2010-11-23 10:00:00,-7.14,86.84
2010-11-23 11:00:00,-6.83,85.71
2010-11-23 12:00:00,-6.80,83.56
2010-11-23 13:00:00,-7.02,81.30
2010-11-23 14:00:00,-7.42,79.92
2010-11-23 15:00:00,-7.95,78.70
2010-11-23 16:00:00,-8.46,78.03
2010-11-23 17:00:00,-8.90,77.90
2010-11-23 18:00:00,-9.34,78.33
2010-11-23 19:00:00,-9.46,79.00
2010-11-23 20:00:00,-9.29,79.45
2010-11-23 21:00:00,-9.12,79.63
2010-11-23 22:00:00,-9.01,78.86
2010-11-23 23:00:00,-9.15,78.22
2010-11-24 00:00:00,-9.09,79.61
2010-11-24 01:00:00,-8.47,82.55
2010-11-24 02:00:00,-7.62,84.16
2010-11-24 03:00:00,-7.08,84.05
2010-11-24 04:00:00,-6.97,83.38
2010-11-24 05:00:00,-6.91,82.44
2010-11-24 06:00:00,-6.69,81.98
2010-11-24 07:00:00,-6.39,81.68
2010-11-24 08:00:00,-6.15,81.54
2010-11-24 09:00:00,-6.01,80.25
2010-11-24 10:00:00,-5.88,78.73
2010-11-24 11:00:00,-5.71,77.97
2010-11-24 12:00:00,-5.53,76.40
2010-11-24 13:00:00,-5.34,75.92
2010-11-24 14:00:00,-5.21,76.23
2010-11-24 15:00:00,-5.08,73.91
2010-11-24 16:00:00,-5.00,69.84
2010-11-24 17:00:00,-5.08,66.06
2010-11-24 18:00:00,-5.21,62.93
2010-11-24 19:00:00,-5.31,61.57
2010-11-24 20:00:00,-5.38,60.96
2010-11-24 21:00:00,-5.39,59.83
2010-11-24 22:00:00,-5.37,58.77
2010-11-24 23:00:00,-5.38,58.55
2010-11-25 00:00:00,-5.48,58.67
2010-11-25 01:00:00,-5.62,59.62
2010-11-25 02:00:00,-5.83,61.02
2010-11-25 03:00:00,-6.12,61.12
2010-11-25 04:00:00,-6.37,60.47
2010-11-25 05:00:00,-6.58,60.26
2010-11-25 06:00:00,-6.80,60.69
2010-11-25 07:00:00,-7.07,61.20
2010-11-25 08:00:00,-7.42,61.31
2010-11-25 09:00:00,-7.65,62.00
2010-11-25 10:00:00,-7.83,63.16
2010-11-25 11:00:00,-8.00,63.17
2010-11-25 12:00:00,-8.06,62.87
2010-11-25 13:00:00,-8.10,62.70
2010-11-25 14:00:00,-8.27,62.62
2010-11-25 15:00:00,-8.63,63.06
2010-11-25 16:00:00,-9.04,63.11
2010-11-25 17:00:00,-9.34,63.12
2010-11-25 18:00:00,-9.64,63.52
2010-11-25 19:00:00,-9.87,64.44
2010-11-25 20:00:00,-10.04,65.52
2010-11-25 21:00:00,-10.30,66.44
2010-11-25 22:00:00,-10.46,67.50
2010-11-25 23:00:00,-10.55,68.22
2010-11-26 00:00:00,-10.66,69.24
2010-11-26 01:00:00,-10.71,70.24
2010-11-26 02:00:00,-10.74,70.70
2010-11-26 03:00:00,-10.69,70.97
2010-11-26 04:00:00,-10.65,71.17
2010-11-26 05:00:00,-10.71,71.68
2010-11-26 06:00:00,-10.71,72.36
2010-11-26 07:00:00,-10.61,73.16
2010-11-26 08:00:00,-10.04,76.86
2010-11-26 09:00:00,-9.90,76.75
2010-11-26 10:00:00,-10.14,74.77
2010-11-26 11:00:00,-9.82,75.68
2010-11-26 12:00:00,-9.50,75.43
2010-11-26 13:00:00,-9.18,75.98
2010-11-26 14:00:00,-8.97,76.10
2010-11-26 15:00:00,-9.07,75.22
2010-11-26 16:00:00,-9.23,74.80
2010-11-26 17:00:00,-9.18,75.26
2010-11-26 18:00:00,-9.09,75.49
2010-11-26 19:00:00,-9.08,75.22
2010-11-26 20:00:00,-9.11,74.98
2010-11-26 21:00:00,-9.10,75.49
2010-11-26 22:00:00,-9.04,76.11
2010-11-26 23:00:00,-8.95,76.16
2010-11-27 00:00:00,-8.84,76.22
2010-11-27 01:00:00,-8.82,76.40
2010-11-27 02:00:00,-8.89,76.02
2010-11-27 03:00:00,-8.95,75.48
2010-11-27 04:00:00,-8.96,75.17
2010-11-27 05:00:00,-9.07,74.73
2010-11-27 06:00:00,-9.25,74.28
2010-11-27 07:00:00,-9.41,74.25
2010-11-27 08:00:00,-9.46,74.59
2010-11-27 09:00:00,-9.35,74.81
2010-11-27 10:00:00,-9.27,75.30
2010-11-27 11:00:00,-9.12,75.96
2010-11-27 12:00:00,-8.95,76.02
2010-11-27 13:00:00,-8.87,75.47
2010-11-27 14:00:00,-8.93,74.23
2010-11-27 15:00:00,-9.06,73.57
2010-11-27 16:00:00,-9.11,74.32
2010-11-27 17:00:00,-9.20,74.33
2010-11-27 18:00:00,-9.57,72.13
2010-11-27 19:00:00,-9.84,71.75
2010-11-27 20:00:00,-9.96,72.19
2010-11-27 21:00:00,-10.41,69.25
2010-11-27 22:00:00,-10.85,66.97
2010-11-27 23:00:00,-11.24,66.57
2010-11-28 00:00:00,-11.79,66.52
2010-11-28 01:00:00,-12.24,67.67
2010-11-28 02:00:00,-12.51,68.70
2010-11-28 03:00:00,-12.72,69.05
2010-11-28 04:00:00,-12.75,70.07
2010-11-28 05:00:00,-12.64,71.70
2010-11-28 06:00:00,-12.58,72.90
2010-11-28 07:00:00,-12.59,72.51
2010-11-28 08:00:00,-12.70,71.21
2010-11-28 09:00:00,-12.90,70.50
2010-11-28 10:00:00,-12.95,70.62
2010-11-28 11:00:00,-12.84,70.72
2010-11-28 12:00:00,-12.67,70.78
2010-11-28 13:00:00,-12.37,70.71
2010-11-28 14:00:00,-12.48,69.84
2010-11-28 15:00:00,-13.00,68.47
2010-11-28 16:00:00,-13.35,67.18
2010-11-28 17:00:00,-13.72,65.93
2010-11-28 18:00:00,-14.07,65.89
2010-11-28 19:00:00,-13.78,67.91
2010-11-28 20:00:00,-12.96,72.68
2010-11-28 21:00:00,-12.29,76.04
2010-11-28 22:00:00,-11.99,74.95
2010-11-28 23:00:00,-11.90,73.46
2010-11-29 00:00:00,-12.10,71.56
2010-11-29 01:00:00,-12.73,69.05
2010-11-29 02:00:00,-13.50,67.32
2010-11-29 03:00:00,-14.26,65.86
