UTC+2,T,RH
2010-11-15 00:00:00,2.26,92.60
2010-11-15 01:00:00,2.41,93.07
2010-11-15 02:00:00,2.53,93.41
2010-11-15 03:00:00,2.63,93.81
2010-11-15 04:00:00,2.69,93.97
2010-11-15 05:00:00,2.60,93.85
2010-11-15 06:00:00,2.54,93.84
2010-11-15 07:00:00,2.49,93.83
2010-11-15 08:00:00,2.45,93.93
2010-11-15 09:00:00,2.56,94.12
2010-11-15 10:00:00,2.69,94.31
2010-11-15 11:00:00,2.66,94.25
2010-11-15 12:00:00,2.58,94.12
2010-11-15 13:00:00,2.50,94.13
2010-11-15 14:00:00,2.50,94.14
2010-11-15 15:00:00,2.48,94.28
2010-11-15 16:00:00,2.41,94.34
2010-11-15 17:00:00,2.34,94.30
2010-11-15 18:00:00,2.33,94.33
2010-11-15 19:00:00,2.27,94.38
2010-11-15 20:00:00,2.25,94.47
2010-11-15 21:00:00,2.25,94.53
2010-11-15 22:00:00,2.23,94.47
2010-11-15 23:00:00,2.15,94.37
2010-11-16 00:00:00,2.05,94.28
2010-11-16 01:00:00,2.00,94.22
2010-11-16 02:00:00,1.95,94.20
2010-11-16 03:00:00,1.90,94.19
2010-11-16 04:00:00,1.88,94.17
2010-11-16 05:00:00,1.85,94.03
2010-11-16 06:00:00,1.77,93.78
2010-11-16 07:00:00,1.69,93.66
2010-11-16 08:00:00,1.60,93.41
2010-11-16 09:00:00,1.64,92.41
2010-11-16 10:00:00,1.60,91.02
2010-11-16 11:00:00,1.42,90.91
2010-11-16 12:00:00,1.43,91.37
2010-11-16 13:00:00,1.46,91.47
2010-11-16 14:00:00,1.38,91.61
2010-11-16 15:00:00,1.27,91.16
2010-11-16 16:00:00,1.09,90.35
2010-11-16 17:00:00,0.88,89.47
2010-11-16 18:00:00,0.65,88.61
2010-11-16 19:00:00,0.36,86.86
2010-11-16 20:00:00,0.05,84.42
2010-11-16 21:00:00,-0.14,84.34
2010-11-16 22:00:00,-0.22,85.58
2010-11-16 23:00:00,-0.30,86.19
2010-11-17 00:00:00,-0.34,86.50
2010-11-17 01:00:00,-0.43,85.99
2010-11-17 02:00:00,-0.60,85.44
2010-11-17 03:00:00,-0.80,85.25
2010-11-17 04:00:00,-0.96,85.29
2010-11-17 05:00:00,-1.00,85.28
2010-11-17 06:00:00,-1.06,85.21
2010-11-17 07:00:00,-1.17,85.07
2010-11-17 08:00:00,-1.35,84.76
2010-11-17 09:00:00,-1.49,84.86
2010-11-17 10:00:00,-1.48,84.75
2010-11-17 11:00:00,-1.51,83.61
2010-11-17 12:00:00,-1.52,82.96
2010-11-17 13:00:00,-1.57,82.74
2010-11-17 14:00:00,-1.67,82.54
2010-11-17 15:00:00,-1.71,82.78
2010-11-17 16:00:00,-1.95,82.71
2010-11-17 17:00:00,-2.23,82.77
2010-11-17 18:00:00,-2.34,82.97
2010-11-17 19:00:00,-2.42,82.80
2010-11-17 20:00:00,-2.52,82.39
2010-11-17 21:00:00,-2.61,82.38
2010-11-17 22:00:00,-2.61,82.71
2010-11-17 23:00:00,-2.54,82.97
2010-11-18 00:00:00,-2.47,83.16
2010-11-18 01:00:00,-2.37,83.32
2010-11-18 02:00:00,-2.27,83.53
2010-11-18 03:00:00,-2.19,83.43
2010-11-18 04:00:00,-2.04,83.27
2010-11-18 05:00:00,-1.96,83.26
2010-11-18 06:00:00,-1.88,83.29
2010-11-18 07:00:00,-1.73,83.97
2010-11-18 08:00:00,-1.74,84.64
2010-11-18 09:00:00,-1.69,84.88
2010-11-18 10:00:00,-1.53,85.17
2010-11-18 11:00:00,-1.35,85.47
2010-11-18 12:00:00,-1.16,85.71
2010-11-18 13:00:00,-1.00,85.69
2010-11-18 14:00:00,-0.92,85.37
2010-11-18 15:00:00,-0.91,85.03
2010-11-18 16:00:00,-0.92,84.66
2010-11-18 17:00:00,-0.93,84.35
2010-11-18 18:00:00,-0.94,83.96
2010-11-18 19:00:00,-1.01,83.41
2010-11-18 20:00:00,-1.16,83.05
2010-11-18 21:00:00,-1.34,82.50
2010-11-18 22:00:00,-1.52,81.79
2010-11-18 23:00:00,-1.67,81.24
2010-11-19 00:00:00,-1.91,80.50
2010-11-19 01:00:00,-2.25,79.72
2010-11-19 02:00:00,-2.57,79.09
2010-11-19 03:00:00,-2.92,78.67
2010-11-19 04:00:00,-3.22,78.66
2010-11-19 05:00:00,-3.34,79.11
2010-11-19 06:00:00,-3.30,79.55
2010-11-19 07:00:00,-3.28,79.73
2010-11-19 08:00:00,-3.30,79.84
2010-11-19 09:00:00,-3.44,79.54
2010-11-19 10:00:00,-3.61,79.25
2010-11-19 11:00:00,-3.82,78.59
2010-11-19 12:00:00,-4.04,77.81
2010-11-19 13:00:00,-4.28,76.91
2010-11-19 14:00:00,-4.49,76.41
2010-11-19 15:00:00,-4.56,77.06
2010-11-19 16:00:00,-4.59,77.56
2010-11-19 17:00:00,-4.61,77.72
2010-11-19 18:00:00,-4.65,77.91
2010-11-19 19:00:00,-4.67,78.26
2010-11-19 20:00:00,-4.66,78.52
2010-11-19 21:00:00,-4.60,78.86
2010-11-19 22:00:00,-4.48,79.54
2010-11-19 23:00:00,-4.33,80.12
2010-11-20 00:00:00,-4.23,80.63
2010-11-20 01:00:00,-4.16,81.27
2010-11-20 02:00:00,-4.07,81.61
2010-11-20 03:00:00,-4.08,81.44
2010-11-20 04:00:00,-4.12,81.09
2010-11-20 05:00:00,-4.20,81.06
2010-11-20 06:00:00,-4.36,81.15
2010-11-20 07:00:00,-4.50,81.09
2010-11-20 08:00:00,-4.60,80.93
2010-11-20 09:00:00,-4.72,80.25
2010-11-20 10:00:00,-4.88,79.32
2010-11-20 11:00:00,-4.96,79.10
2010-11-20 12:00:00,-4.84,79.75
2010-11-20 13:00:00,-4.53,81.09
2010-11-20 14:00:00,-4.10,82.69
2010-11-20 15:00:00,-3.67,83.97
2010-11-20 16:00:00,-3.30,84.85
2010-11-20 17:00:00,-3.01,85.45
2010-11-20 18:00:00,-2.73,85.86
2010-11-20 19:00:00,-2.41,86.31
2010-11-20 20:00:00,-2.13,86.60
2010-11-20 21:00:00,-1.93,86.61
2010-11-20 22:00:00,-1.71,86.60
2010-11-20 23:00:00,-1.52,86.52
2010-11-21 00:00:00,-1.35,86.33
2010-11-21 01:00:00,-1.27,86.04
2010-11-21 02:00:00,-1.29,85.39
2010-11-21 03:00:00,-1.33,84.61
2010-11-21 04:00:00,-1.44,84.00
2010-11-21 05:00:00,-1.65,83.30
2010-11-21 06:00:00,-1.85,82.97
2010-11-21 07:00:00,-1.99,82.82
2010-11-21 08:00:00,-2.12,82.52
2010-11-21 09:00:00,-2.30,81.95
2010-11-21 10:00:00,-2.66,80.80
2010-11-21 11:00:00,-3.08,79.86
2010-11-21 12:00:00,-3.25,79.19
2010-11-21 13:00:00,-3.44,78.14
2010-11-21 14:00:00,-3.83,77.25
2010-11-21 15:00:00,-4.17,77.06
2010-11-21 16:00:00,-4.46,76.93
2010-11-21 17:00:00,-4.77,76.77
2010-11-21 18:00:00,-5.13,76.49
2010-11-21 19:00:00,-5.39,76.31
2010-11-21 20:00:00,-5.54,76.41
2010-11-21 21:00:00,-5.75,76.33
2010-11-21 22:00:00,-5.96,76.11
2010-11-21 23:00:00,-6.14,76.03
