UTC+2,T,RH
2010-11-15 00:00:00,2.33,98.00
2010-11-15 01:00:00,2.56,98.63
2010-11-15 02:00:00,2.75,99.22
2010-11-15 03:00:00,2.94,99.43
2010-11-15 04:00:00,2.94,99.23
2010-11-15 05:00:00,2.75,98.64
2010-11-15 06:00:00,2.68,98.00
2010-11-15 07:00:00,2.67,97.30
2010-11-15 08:00:00,2.63,97.14
2010-11-15 09:00:00,2.74,96.96
2010-11-15 10:00:00,2.87,96.75
2010-11-15 11:00:00,2.87,96.64
2010-11-15 12:00:00,2.88,96.54
2010-11-15 13:00:00,2.83,96.45
2010-11-15 14:00:00,2.81,96.20
2010-11-15 15:00:00,2.75,96.31
2010-11-15 16:00:00,2.64,96.27
2010-11-15 17:00:00,2.60,96.19
2010-11-15 18:00:00,2.57,96.22
2010-11-15 19:00:00,2.49,96.16
2010-11-15 20:00:00,2.41,96.38
2010-11-15 21:00:00,2.31,96.51
2010-11-15 22:00:00,2.21,96.30
2010-11-15 23:00:00,2.14,96.07
2010-11-16 00:00:00,2.04,95.89
2010-11-16 01:00:00,1.96,95.80
2010-11-16 02:00:00,1.92,95.68
2010-11-16 03:00:00,1.88,95.50
2010-11-16 04:00:00,1.83,95.28
2010-11-16 05:00:00,1.79,94.87
2010-11-16 06:00:00,1.69,94.52
2010-11-16 07:00:00,1.60,94.34
2010-11-16 08:00:00,1.50,94.19
2010-11-16 09:00:00,1.46,93.64
2010-11-16 10:00:00,1.39,92.42
2010-11-16 11:00:00,1.27,91.71
2010-11-16 12:00:00,1.40,91.39
2010-11-16 13:00:00,1.42,90.31
2010-11-16 14:00:00,1.34,90.06
2010-11-16 15:00:00,1.25,90.11
2010-11-16 16:00:00,1.06,88.78
2010-11-16 17:00:00,0.82,87.59
2010-11-16 18:00:00,0.60,86.41
2010-11-16 19:00:00,0.33,84.70
2010-11-16 20:00:00,-0.02,83.09
2010-11-16 21:00:00,-0.16,82.95
2010-11-16 22:00:00,-0.17,83.69
2010-11-16 23:00:00,-0.17,84.16
2010-11-17 00:00:00,-0.17,84.45
2010-11-17 01:00:00,-0.34,83.52
2010-11-17 02:00:00,-0.59,83.22
2010-11-17 03:00:00,-0.81,83.79
2010-11-17 04:00:00,-0.90,84.17
2010-11-17 05:00:00,-0.96,84.51
2010-11-17 06:00:00,-1.05,84.34
2010-11-17 07:00:00,-1.20,84.65
2010-11-17 08:00:00,-1.39,85.20
2010-11-17 09:00:00,-1.47,85.34
2010-11-17 10:00:00,-1.52,85.03
2010-11-17 11:00:00,-1.69,84.44
2010-11-17 12:00:00,-1.69,83.84
2010-11-17 13:00:00,-1.67,83.45
2010-11-17 14:00:00,-1.77,83.69
2010-11-17 15:00:00,-1.84,84.34
2010-11-17 16:00:00,-2.07,84.26
2010-11-17 17:00:00,-2.31,83.94
2010-11-17 18:00:00,-2.49,84.67
2010-11-17 19:00:00,-2.62,84.84
2010-11-17 20:00:00,-2.75,84.48
2010-11-17 21:00:00,-2.87,84.93
2010-11-17 22:00:00,-2.88,85.47
2010-11-17 23:00:00,-2.78,85.73
2010-11-18 00:00:00,-2.75,86.19
2010-11-18 01:00:00,-2.71,86.66
2010-11-18 02:00:00,-2.62,87.01
2010-11-18 03:00:00,-2.52,86.84
2010-11-18 04:00:00,-2.38,86.78
2010-11-18 05:00:00,-2.38,87.27
2010-11-18 06:00:00,-2.35,87.61
2010-11-18 07:00:00,-2.17,88.12
2010-11-18 08:00:00,-2.09,88.56
2010-11-18 09:00:00,-2.04,88.79
2010-11-18 10:00:00,-1.80,88.66
2010-11-18 11:00:00,-1.47,88.55
2010-11-18 12:00:00,-1.23,89.31
2010-11-18 13:00:00,-1.12,89.11
2010-11-18 14:00:00,-1.02,87.88
2010-11-18 15:00:00,-1.02,87.38
2010-11-18 16:00:00,-1.05,86.67
2010-11-18 17:00:00,-0.99,86.40
2010-11-18 18:00:00,-0.93,85.81
2010-11-18 19:00:00,-0.98,84.47
2010-11-18 20:00:00,-1.08,84.08
2010-11-18 21:00:00,-1.27,83.34
2010-11-18 22:00:00,-1.43,82.30
2010-11-18 23:00:00,-1.52,81.68
2010-11-19 00:00:00,-1.79,80.79
2010-11-19 01:00:00,-2.06,79.81
2010-11-19 02:00:00,-2.32,78.72
2010-11-19 03:00:00,-2.66,78.01
2010-11-19 04:00:00,-2.96,78.19
2010-11-19 05:00:00,-3.07,79.10
2010-11-19 06:00:00,-3.12,79.92
2010-11-19 07:00:00,-3.17,80.25
2010-11-19 08:00:00,-3.05,80.34
2010-11-19 09:00:00,-3.25,79.85
2010-11-19 10:00:00,-3.44,79.59
2010-11-19 11:00:00,-3.54,78.37
2010-11-19 12:00:00,-3.75,77.03
2010-11-19 13:00:00,-3.96,76.57
2010-11-19 14:00:00,-4.23,76.30
2010-11-19 15:00:00,-4.29,77.06
2010-11-19 16:00:00,-4.35,78.15
2010-11-19 17:00:00,-4.45,78.80
2010-11-19 18:00:00,-4.56,79.27
2010-11-19 19:00:00,-4.58,79.67
2010-11-19 20:00:00,-4.52,79.86
2010-11-19 21:00:00,-4.52,80.56
2010-11-19 22:00:00,-4.46,81.60
2010-11-19 23:00:00,-4.41,82.80
2010-11-20 00:00:00,-4.42,83.81
2010-11-20 01:00:00,-4.33,84.21
2010-11-20 02:00:00,-4.29,84.65
2010-11-20 03:00:00,-4.29,84.46
2010-11-20 04:00:00,-4.29,83.83
2010-11-20 05:00:00,-4.46,84.16
2010-11-20 06:00:00,-4.71,84.73
2010-11-20 07:00:00,-4.79,84.55
2010-11-20 08:00:00,-4.83,83.87
2010-11-20 09:00:00,-4.98,83.23
2010-11-20 10:00:00,-5.18,82.33
2010-11-20 11:00:00,-5.22,82.16
2010-11-20 12:00:00,-5.08,83.11
2010-11-20 13:00:00,-4.86,85.31
2010-11-20 14:00:00,-4.44,87.51
2010-11-20 15:00:00,-4.00,88.98
2010-11-20 16:00:00,-3.66,90.14
2010-11-20 17:00:00,-3.30,90.03
2010-11-20 18:00:00,-3.04,90.16
2010-11-20 19:00:00,-2.79,91.25
2010-11-20 20:00:00,-2.52,91.63
2010-11-20 21:00:00,-2.26,90.96
2010-11-20 22:00:00,-1.98,90.44
2010-11-20 23:00:00,-1.77,90.23
2010-11-21 00:00:00,-1.62,89.98
2010-11-21 01:00:00,-1.50,89.22
2010-11-21 02:00:00,-1.49,88.21
2010-11-21 03:00:00,-1.56,87.33
2010-11-21 04:00:00,-1.60,86.33
2010-11-21 05:00:00,-1.80,85.66
2010-11-21 06:00:00,-1.98,85.19
2010-11-21 07:00:00,-2.05,84.66
2010-11-21 08:00:00,-2.13,84.11
2010-11-21 09:00:00,-2.34,83.39
2010-11-21 10:00:00,-2.71,82.44
2010-11-21 11:00:00,-3.04,81.32
2010-11-21 12:00:00,-3.17,79.77
2010-11-21 13:00:00,-3.30,78.22
2010-11-21 14:00:00,-3.67,77.44
2010-11-21 15:00:00,-3.88,77.30
2010-11-21 16:00:00,-4.15,77.09
2010-11-21 17:00:00,-4.58,76.48
2010-11-21 18:00:00,-4.91,76.00
2010-11-21 19:00:00,-5.13,75.91
2010-11-21 20:00:00,-5.23,75.94
2010-11-21 21:00:00,-5.44,76.13
2010-11-21 22:00:00,-5.68,76.19
2010-11-21 23:00:00,-5.85,76.00
2010-11-22 00:00:00,-5.96,75.88
2010-11-22 01:00:00,-6.17,75.91
2010-11-22 02:00:00,-6.32,75.92
2010-11-22 03:00:00,-6.49,76.28
2010-11-22 04:00:00,-6.67,76.42
2010-11-22 05:00:00,-6.80,75.92
2010-11-22 06:00:00,-6.95,75.97
2010-11-22 07:00:00,-6.97,76.22
2010-11-22 08:00:00,-7.04,76.77
2010-11-22 09:00:00,-6.89,78.03
2010-11-22 10:00:00,-6.53,78.68
2010-11-22 11:00:00,-6.53,78.44
2010-11-22 12:00:00,-6.57,78.31
2010-11-22 13:00:00,-6.39,78.34
2010-11-22 14:00:00,-6.38,78.39
2010-11-22 15:00:00,-6.46,78.48
2010-11-22 16:00:00,-6.45,79.31
2010-11-22 17:00:00,-6.38,79.93
2010-11-22 18:00:00,-6.41,79.52
2010-11-22 19:00:00,-6.53,78.87
2010-11-22 20:00:00,-6.62,78.66
2010-11-22 21:00:00,-6.62,78.91
2010-11-22 22:00:00,-6.51,79.38
2010-11-22 23:00:00,-6.37,80.15
2010-11-23 00:00:00,-6.30,80.31
2010-11-23 01:00:00,-6.34,80.00
2010-11-23 02:00:00,-6.44,79.31
2010-11-23 03:00:00,-6.65,78.01
2010-11-23 04:00:00,-6.96,76.83
2010-11-23 05:00:00,-7.37,75.65
2010-11-23 06:00:00,-7.76,74.90
2010-11-23 07:00:00,-7.87,75.50
2010-11-23 08:00:00,-7.74,77.91
2010-11-23 09:00:00,-7.34,82.63
2010-11-23 10:00:00,-6.87,85.49
2010-11-23 11:00:00,-6.60,85.00
2010-11-23 12:00:00,-6.48,83.19
2010-11-23 13:00:00,-6.46,80.77
2010-11-23 14:00:00,-6.62,78.85
2010-11-23 15:00:00,-7.02,77.13
2010-11-23 16:00:00,-7.42,75.92
2010-11-23 17:00:00,-7.89,75.28
2010-11-23 18:00:00,-8.46,75.97
2010-11-23 19:00:00,-8.71,77.14
2010-11-23 20:00:00,-8.68,77.79
2010-11-23 21:00:00,-8.54,78.23
2010-11-23 22:00:00,-8.50,77.66
2010-11-23 23:00:00,-8.64,77.00
2010-11-24 00:00:00,-8.65,78.56
2010-11-24 01:00:00,-8.29,82.23
2010-11-24 02:00:00,-7.67,84.81
2010-11-24 03:00:00,-7.14,85.40
2010-11-24 04:00:00,-6.95,84.69
2010-11-24 05:00:00,-6.82,83.71
2010-11-24 06:00:00,-6.62,83.48
2010-11-24 07:00:00,-6.43,83.35
2010-11-24 08:00:00,-6.19,83.31
2010-11-24 09:00:00,-5.98,82.15
2010-11-24 10:00:00,-5.86,80.73
2010-11-24 11:00:00,-5.72,80.09
2010-11-24 12:00:00,-5.58,78.92
2010-11-24 13:00:00,-5.37,77.92
2010-11-24 14:00:00,-5.19,77.84
2010-11-24 15:00:00,-5.12,76.14
2010-11-24 16:00:00,-5.07,72.29
2010-11-24 17:00:00,-5.09,68.77
2010-11-24 18:00:00,-5.20,65.60
2010-11-24 19:00:00,-5.29,63.81
2010-11-24 20:00:00,-5.36,63.26
2010-11-24 21:00:00,-5.39,62.08
2010-11-24 22:00:00,-5.38,61.37
2010-11-24 23:00:00,-5.40,60.99
2010-11-25 00:00:00,-5.45,60.75
2010-11-25 01:00:00,-5.50,61.27
2010-11-25 02:00:00,-5.61,62.25
2010-11-25 03:00:00,-5.91,62.97
2010-11-25 04:00:00,-6.18,62.06
2010-11-25 05:00:00,-6.32,61.09
2010-11-25 06:00:00,-6.44,61.01
2010-11-25 07:00:00,-6.63,61.71
2010-11-25 08:00:00,-6.95,62.00
2010-11-25 09:00:00,-7.14,61.90
2010-11-25 10:00:00,-7.23,62.56
2010-11-25 11:00:00,-7.39,63.12
2010-11-25 12:00:00,-7.57,63.44
2010-11-25 13:00:00,-7.70,62.95
2010-11-25 14:00:00,-7.83,62.38
2010-11-25 15:00:00,-8.06,62.56
2010-11-25 16:00:00,-8.36,62.76
2010-11-25 17:00:00,-8.69,63.06
2010-11-25 18:00:00,-9.03,63.61
2010-11-25 19:00:00,-9.23,64.20
2010-11-25 20:00:00,-9.41,64.85
2010-11-25 21:00:00,-9.66,65.56
2010-11-25 22:00:00,-9.78,66.30
2010-11-25 23:00:00,-9.85,66.88
2010-11-26 00:00:00,-9.94,67.67
2010-11-26 01:00:00,-10.04,68.44
2010-11-26 02:00:00,-10.12,69.09
2010-11-26 03:00:00,-10.17,69.89
2010-11-26 04:00:00,-10.18,70.22
2010-11-26 05:00:00,-10.19,70.88
2010-11-26 06:00:00,-10.20,71.38
2010-11-26 07:00:00,-10.16,71.78
2010-11-26 08:00:00,-10.04,73.14
2010-11-26 09:00:00,-9.97,73.41
2010-11-26 10:00:00,-9.90,73.62
2010-11-26 11:00:00,-9.61,74.63
2010-11-26 12:00:00,-9.25,75.25
2010-11-26 13:00:00,-8.93,75.88
2010-11-26 14:00:00,-8.71,75.68
2010-11-26 15:00:00,-8.71,74.67
2010-11-26 16:00:00,-8.72,73.94
2010-11-26 17:00:00,-8.64,73.94
2010-11-26 18:00:00,-8.59,74.25
2010-11-26 19:00:00,-8.61,74.26
2010-11-26 20:00:00,-8.62,73.97
2010-11-26 21:00:00,-8.54,74.19
2010-11-26 22:00:00,-8.43,74.56
2010-11-26 23:00:00,-8.32,74.53
2010-11-27 00:00:00,-8.25,74.75
2010-11-27 01:00:00,-8.22,74.75
2010-11-27 02:00:00,-8.21,74.32
2010-11-27 03:00:00,-8.19,73.72
2010-11-27 04:00:00,-8.20,73.20
2010-11-27 05:00:00,-8.30,72.83
2010-11-27 06:00:00,-8.43,72.31
2010-11-27 07:00:00,-8.57,72.00
2010-11-27 08:00:00,-8.62,72.16
2010-11-27 09:00:00,-8.54,72.32
2010-11-27 10:00:00,-8.47,72.75
2010-11-27 11:00:00,-8.38,73.48
2010-11-27 12:00:00,-8.25,73.85
2010-11-27 13:00:00,-8.21,73.69
2010-11-27 14:00:00,-8.13,72.78
2010-11-27 15:00:00,-8.12,71.77
2010-11-27 16:00:00,-8.16,71.83
2010-11-27 17:00:00,-8.25,71.91
2010-11-27 18:00:00,-8.68,70.51
2010-11-27 19:00:00,-8.93,69.81
2010-11-27 20:00:00,-8.91,69.84
2010-11-27 21:00:00,-9.23,67.51
2010-11-27 22:00:00,-9.50,64.59
2010-11-27 23:00:00,-9.75,63.16
2010-11-28 00:00:00,-10.21,62.58
2010-11-28 01:00:00,-10.64,63.22
2010-11-28 02:00:00,-11.04,64.39
2010-11-28 03:00:00,-11.31,65.09
2010-11-28 04:00:00,-11.43,66.00
2010-11-28 05:00:00,-11.50,67.69
2010-11-28 06:00:00,-11.50,69.03
2010-11-28 07:00:00,-11.45,68.61
2010-11-28 08:00:00,-11.47,67.37
2010-11-28 09:00:00,-11.45,67.38
2010-11-28 10:00:00,-11.38,67.13
2010-11-28 11:00:00,-11.45,66.23
2010-11-28 12:00:00,-11.35,66.67
2010-11-28 13:00:00,-11.11,66.98
2010-11-28 14:00:00,-11.15,66.31
2010-11-28 15:00:00,-11.47,65.15
2010-11-28 16:00:00,-11.95,63.62
2010-11-28 17:00:00,-12.49,62.54
2010-11-28 18:00:00,-12.86,62.50
2010-11-28 19:00:00,-12.70,64.36
2010-11-28 20:00:00,-12.02,68.64
2010-11-28 21:00:00,-11.36,71.53
2010-11-28 22:00:00,-11.11,71.05
2010-11-28 23:00:00,-11.04,70.08
2010-11-29 00:00:00,-11.13,68.89
2010-11-29 01:00:00,-11.54,66.51
2010-11-29 02:00:00,-12.04,64.19
2010-11-29 03:00:00,-12.66,62.10
2010-11-29 04:00:00,-13.30,60.19
2010-11-29 05:00:00,-13.90,58.77
2010-11-29 06:00:00,-14.54,57.55
2010-11-29 07:00:00,-14.95,57.20
2010-11-29 08:00:00,-14.88,58.47
2010-11-29 09:00:00,-14.54,60.92
2010-11-29 10:00:00,-14.13,62.80
2010-11-29 11:00:00,-13.63,64.62
2010-11-29 12:00:00,-13.18,66.84
2010-11-29 13:00:00,-12.92,67.41
2010-11-29 14:00:00,-12.87,66.70
2010-11-29 15:00:00,-13.11,65.37
2010-11-29 16:00:00,-13.50,63.52
2010-11-29 17:00:00,-13.90,62.01
2010-11-29 18:00:00,-14.21,61.18
2010-11-29 19:00:00,-14.42,61.23
2010-11-29 20:00:00,-14.57,61.50
2010-11-29 21:00:00,-14.59,61.70
2010-11-29 22:00:00,-14.43,62.79
2010-11-29 23:00:00,-14.34,63.73
2010-11-30 00:00:00,-14.45,63.58
2010-11-30 01:00:00,-14.64,63.14
2010-11-30 02:00:00,-14.80,62.77
2010-11-30 03:00:00,-14.81,62.95
2010-11-30 04:00:00,-14.77,63.28
2010-11-30 05:00:00,-14.73,64.34
2010-11-30 06:00:00,-14.64,65.08
2010-11-30 07:00:00,-14.44,64.85
2010-11-30 08:00:00,-13.83,68.60
2010-11-30 09:00:00,-12.70,75.26
2010-11-30 10:00:00,-11.77,78.05
2010-11-30 11:00:00,-11.21,78.36
2010-11-30 12:00:00,-10.53,80.50
