UTC+2,T,RH
2010-11-15 00:00:00,1.85,99.30
2010-11-15 01:00:00,2.12,99.84
2010-11-15 02:00:00,2.31,100.00
2010-11-15 03:00:00,2.45,100.00
2010-11-15 04:00:00,2.49,100.00
2010-11-15 05:00:00,2.38,100.00
2010-11-15 06:00:00,2.30,100.00
2010-11-15 07:00:00,2.26,100.00
2010-11-15 08:00:00,2.21,100.00
2010-11-15 09:00:00,2.25,100.00
2010-11-15 10:00:00,2.36,100.00
2010-11-15 11:00:00,2.46,100.00
2010-11-15 12:00:00,2.59,100.00
2010-11-15 13:00:00,2.59,100.00
2010-11-15 14:00:00,2.48,100.00
2010-11-15 15:00:00,2.40,99.98
2010-11-15 16:00:00,2.33,99.82
2010-11-15 17:00:00,2.26,99.66
2010-11-15 18:00:00,2.20,99.48
2010-11-15 19:00:00,2.12,99.16
2010-11-15 20:00:00,2.04,98.88
2010-11-15 21:00:00,1.94,98.80
2010-11-15 22:00:00,1.86,98.72
2010-11-15 23:00:00,1.78,98.59
2010-11-16 00:00:00,1.68,98.45
2010-11-16 01:00:00,1.60,98.31
2010-11-16 02:00:00,1.55,98.28
2010-11-16 03:00:00,1.50,98.24
2010-11-16 04:00:00,1.48,98.17
2010-11-16 05:00:00,1.44,97.93
2010-11-16 06:00:00,1.34,97.43
2010-11-16 07:00:00,1.25,97.23
2010-11-16 08:00:00,1.17,97.04
2010-11-16 09:00:00,1.09,96.68
2010-11-16 10:00:00,1.06,95.97
2010-11-16 11:00:00,0.99,95.05
2010-11-16 12:00:00,1.02,94.90
2010-11-16 13:00:00,1.06,94.44
2010-11-16 14:00:00,1.02,93.77
2010-11-16 15:00:00,0.97,93.27
2010-11-16 16:00:00,0.82,92.20
2010-11-16 17:00:00,0.60,91.03
2010-11-16 18:00:00,0.41,90.19
2010-11-16 19:00:00,0.18,88.87
2010-11-16 20:00:00,-0.03,87.48
2010-11-16 21:00:00,-0.16,87.01
2010-11-16 22:00:00,-0.26,86.73
2010-11-16 23:00:00,-0.33,86.87
2010-11-17 00:00:00,-0.38,87.25
2010-11-17 01:00:00,-0.48,86.83
2010-11-17 02:00:00,-0.66,86.33
2010-11-17 03:00:00,-0.89,86.31
2010-11-17 04:00:00,-1.04,86.50
2010-11-17 05:00:00,-1.14,86.66
2010-11-17 06:00:00,-1.24,86.64
2010-11-17 07:00:00,-1.36,86.86
2010-11-17 08:00:00,-1.56,87.18
2010-11-17 09:00:00,-1.71,87.33
2010-11-17 10:00:00,-1.71,86.97
2010-11-17 11:00:00,-1.73,86.40
2010-11-17 12:00:00,-1.70,85.64
2010-11-17 13:00:00,-1.73,85.02
2010-11-17 14:00:00,-1.85,85.31
2010-11-17 15:00:00,-1.98,85.88
2010-11-17 16:00:00,-2.25,85.97
2010-11-17 17:00:00,-2.52,85.93
2010-11-17 18:00:00,-2.71,86.44
2010-11-17 19:00:00,-2.89,86.66
2010-11-17 20:00:00,-3.05,86.47
2010-11-17 21:00:00,-3.17,86.69
