UTC+2,T,RH
2010-11-15 00:00:00,2.46,91.00
2010-11-15 01:00:00,2.59,91.23
2010-11-15 02:00:00,2.76,91.80
2010-11-15 03:00:00,2.90,92.30
2010-11-15 04:00:00,2.92,92.29
2010-11-15 05:00:00,2.83,92.20
2010-11-15 06:00:00,2.72,92.47
2010-11-15 07:00:00,2.67,92.67
2010-11-15 08:00:00,2.65,92.76
2010-11-15 09:00:00,2.79,93.03
2010-11-15 10:00:00,3.00,93.37
2010-11-15 11:00:00,2.94,93.42
2010-11-15 12:00:00,2.78,93.35
2010-11-15 13:00:00,2.71,93.30
2010-11-15 14:00:00,2.72,93.28
2010-11-15 15:00:00,2.69,93.29
2010-11-15 16:00:00,2.59,93.26
2010-11-15 17:00:00,2.61,93.39
2010-11-15 18:00:00,2.67,93.57
2010-11-15 19:00:00,2.60,93.59
2010-11-15 20:00:00,2.48,93.54
2010-11-15 21:00:00,2.41,93.44
2010-11-15 22:00:00,2.34,93.34
2010-11-15 23:00:00,2.27,93.27
2010-11-16 00:00:00,2.18,93.19
2010-11-16 01:00:00,2.10,93.12
2010-11-16 02:00:00,2.05,93.06
2010-11-16 03:00:00,2.03,92.98
2010-11-16 04:00:00,2.00,92.91
2010-11-16 05:00:00,1.89,92.77
2010-11-16 06:00:00,1.71,92.54
2010-11-16 07:00:00,1.62,92.56
2010-11-16 08:00:00,1.59,92.63
2010-11-16 09:00:00,1.65,92.69
2010-11-16 10:00:00,1.67,92.55
2010-11-16 11:00:00,1.52,92.31
2010-11-16 12:00:00,1.72,91.97
2010-11-16 13:00:00,1.81,91.53
2010-11-16 14:00:00,1.54,91.48
2010-11-16 15:00:00,1.41,91.31
2010-11-16 16:00:00,1.19,90.81
2010-11-16 17:00:00,0.90,90.13
2010-11-16 18:00:00,0.67,89.66
2010-11-16 19:00:00,0.38,88.95
2010-11-16 20:00:00,0.03,87.38
2010-11-16 21:00:00,-0.17,87.06
2010-11-16 22:00:00,-0.30,87.62
2010-11-16 23:00:00,-0.43,87.46
2010-11-17 00:00:00,-0.47,87.30
2010-11-17 01:00:00,-0.58,86.98
2010-11-17 02:00:00,-0.83,86.44
2010-11-17 03:00:00,-1.05,86.19
2010-11-17 04:00:00,-1.11,86.04
2010-11-17 05:00:00,-1.14,85.92
2010-11-17 06:00:00,-1.17,85.95
2010-11-17 07:00:00,-1.29,85.80
2010-11-17 08:00:00,-1.51,85.63
2010-11-17 09:00:00,-1.50,86.01
2010-11-17 10:00:00,-1.47,86.08
2010-11-17 11:00:00,-1.68,84.56
2010-11-17 12:00:00,-1.68,83.78
2010-11-17 13:00:00,-1.77,83.82
2010-11-17 14:00:00,-1.93,83.82
2010-11-17 15:00:00,-1.92,83.92
