UTC+2,T,RH
2010-11-15 00:00:00,1.63,98.71
2010-11-15 01:00:00,1.61,98.60
2010-11-15 02:00:00,1.65,98.53
2010-11-15 03:00:00,1.86,98.78
2010-11-15 04:00:00,1.83,98.91
2010-11-15 05:00:00,1.60,98.64
2010-11-15 06:00:00,1.53,98.31
2010-11-15 07:00:00,1.49,98.28
2010-11-15 08:00:00,1.50,98.11
2010-11-15 09:00:00,1.50,97.73
2010-11-15 10:00:00,1.54,97.97
2010-11-15 11:00:00,1.56,98.23
2010-11-15 12:00:00,1.59,98.54
2010-11-15 13:00:00,1.62,98.83
2010-11-15 14:00:00,1.62,98.78
2010-11-15 15:00:00,1.72,99.12
2010-11-15 16:00:00,1.79,99.56
2010-11-15 17:00:00,1.77,99.55
2010-11-15 18:00:00,2.00,99.50
2010-11-15 19:00:00,2.28,99.49
2010-11-15 20:00:00,2.33,99.28
2010-11-15 21:00:00,2.25,98.85
2010-11-15 22:00:00,2.02,98.43
2010-11-15 23:00:00,1.78,98.27
2010-11-16 00:00:00,1.61,98.19
2010-11-16 01:00:00,1.58,97.98
2010-11-16 02:00:00,1.54,97.77
2010-11-16 03:00:00,1.48,97.47
2010-11-16 04:00:00,1.36,96.91
2010-11-16 05:00:00,1.27,96.42
2010-11-16 06:00:00,1.12,96.50
2010-11-16 07:00:00,0.83,96.69
2010-11-16 08:00:00,0.55,95.56
2010-11-16 09:00:00,0.15,92.73
2010-11-16 10:00:00,-0.04,90.68
2010-11-16 11:00:00,0.15,90.55
2010-11-16 12:00:00,0.20,90.62
2010-11-16 13:00:00,0.23,91.08
2010-11-16 14:00:00,0.30,91.54
2010-11-16 15:00:00,0.17,89.80
2010-11-16 16:00:00,-0.11,86.98
2010-11-16 17:00:00,-0.45,85.40
2010-11-16 18:00:00,-0.70,85.10
2010-11-16 19:00:00,-1.03,85.00
2010-11-16 20:00:00,-1.33,85.14
2010-11-16 21:00:00,-1.43,86.41
2010-11-16 22:00:00,-1.42,87.58
2010-11-16 23:00:00,-1.45,87.88
2010-11-17 00:00:00,-1.54,87.81
2010-11-17 01:00:00,-1.68,87.78
2010-11-17 02:00:00,-1.81,88.41
2010-11-17 03:00:00,-1.92,88.74
2010-11-17 04:00:00,-1.91,89.26
2010-11-17 05:00:00,-1.91,90.16
2010-11-17 06:00:00,-2.06,90.19
2010-11-17 07:00:00,-2.25,90.32
