UTC+2,T,RH
2010-11-15 00:00:00,2.17,93.13
2010-11-15 01:00:00,2.15,93.10
2010-11-15 02:00:00,2.16,93.03
2010-11-15 03:00:00,2.17,93.23
2010-11-15 04:00:00,2.15,93.59
2010-11-15 05:00:00,2.10,93.45
2010-11-15 06:00:00,2.04,93.16
2010-11-15 07:00:00,2.02,93.19
2010-11-15 08:00:00,2.04,93.29
2010-11-15 09:00:00,2.03,93.19
2010-11-15 10:00:00,2.04,93.23
2010-11-15 11:00:00,2.12,93.33
2010-11-15 12:00:00,2.16,93.64
2010-11-15 13:00:00,2.17,94.03
2010-11-15 14:00:00,2.24,94.19
2010-11-15 15:00:00,2.30,94.65
2010-11-15 16:00:00,2.31,95.11
2010-11-15 17:00:00,2.35,95.17
2010-11-15 18:00:00,2.43,95.13
2010-11-15 19:00:00,2.54,95.40
2010-11-15 20:00:00,2.61,95.73
2010-11-15 21:00:00,2.59,95.45
2010-11-15 22:00:00,2.51,94.61
2010-11-15 23:00:00,2.42,93.78
2010-11-16 00:00:00,2.33,93.26
2010-11-16 01:00:00,2.29,93.04
2010-11-16 02:00:00,2.25,92.91
2010-11-16 03:00:00,2.19,92.66
2010-11-16 04:00:00,2.10,92.14
2010-11-16 05:00:00,2.00,91.63
2010-11-16 06:00:00,1.91,91.53
2010-11-16 07:00:00,1.71,91.46
2010-11-16 08:00:00,1.43,90.27
2010-11-16 09:00:00,1.13,87.84
2010-11-16 10:00:00,0.97,86.19
2010-11-16 11:00:00,0.96,85.73
2010-11-16 12:00:00,1.02,85.96
2010-11-16 13:00:00,1.14,86.93
2010-11-16 14:00:00,1.14,86.87
2010-11-16 15:00:00,1.02,85.44
2010-11-16 16:00:00,0.79,83.29
2010-11-16 17:00:00,0.52,81.40
2010-11-16 18:00:00,0.28,80.85
2010-11-16 19:00:00,0.00,80.52
2010-11-16 20:00:00,-0.22,80.61
2010-11-16 21:00:00,-0.38,81.27
2010-11-16 22:00:00,-0.50,82.03
2010-11-16 23:00:00,-0.55,82.75
2010-11-17 00:00:00,-0.62,83.26
2010-11-17 01:00:00,-0.76,83.28
2010-11-17 02:00:00,-0.89,83.33
2010-11-17 03:00:00,-0.98,83.87
2010-11-17 04:00:00,-1.02,84.53
2010-11-17 05:00:00,-1.08,84.77
2010-11-17 06:00:00,-1.15,84.66
2010-11-17 07:00:00,-1.25,84.75
