UTC+2,T,RH
2010-11-15 00:00:00,1.40,97.00
2010-11-15 01:00:00,1.52,97.83
2010-11-15 02:00:00,1.75,98.72
2010-11-15 03:00:00,1.76,98.88
2010-11-15 04:00:00,1.60,98.81
2010-11-15 05:00:00,1.42,98.44
2010-11-15 06:00:00,1.31,98.02
2010-11-15 07:00:00,1.28,97.73
2010-11-15 08:00:00,1.29,97.90
2010-11-15 09:00:00,1.33,98.23
2010-11-15 10:00:00,1.39,98.12
2010-11-15 11:00:00,1.42,98.09
2010-11-15 12:00:00,1.36,97.87
2010-11-15 13:00:00,1.38,97.91
2010-11-15 14:00:00,1.51,98.52
2010-11-15 15:00:00,1.54,98.61
2010-11-15 16:00:00,1.54,98.66
2010-11-15 17:00:00,1.58,98.85
2010-11-15 18:00:00,1.67,98.70
2010-11-15 19:00:00,1.81,98.48
2010-11-15 20:00:00,1.88,98.28
2010-11-15 21:00:00,1.85,98.00
2010-11-15 22:00:00,1.71,97.64
2010-11-15 23:00:00,1.56,97.23
2010-11-16 00:00:00,1.50,96.91
2010-11-16 01:00:00,1.46,96.78
2010-11-16 02:00:00,1.42,96.72
2010-11-16 03:00:00,1.38,96.45
2010-11-16 04:00:00,1.27,96.10
2010-11-16 05:00:00,1.09,95.88
2010-11-16 06:00:00,0.95,95.65
2010-11-16 07:00:00,0.84,95.28
2010-11-16 08:00:00,0.61,94.37
2010-11-16 09:00:00,0.21,92.21
2010-11-16 10:00:00,0.06,90.59
2010-11-16 11:00:00,0.17,90.45
2010-11-16 12:00:00,0.27,90.55
2010-11-16 13:00:00,0.35,91.04
2010-11-16 14:00:00,0.35,90.69
2010-11-16 15:00:00,0.21,88.97
2010-11-16 16:00:00,-0.05,87.85
2010-11-16 17:00:00,-0.34,86.97
2010-11-16 18:00:00,-0.67,85.95
2010-11-16 19:00:00,-0.97,85.84
2010-11-16 20:00:00,-1.18,85.98
2010-11-16 21:00:00,-1.34,86.15
2010-11-16 22:00:00,-1.43,86.27
2010-11-16 23:00:00,-1.50,86.60
2010-11-17 00:00:00,-1.57,87.28
2010-11-17 01:00:00,-1.63,87.38
2010-11-17 02:00:00,-1.78,87.17
2010-11-17 03:00:00,-1.98,87.67
2010-11-17 04:00:00,-1.99,88.17
2010-11-17 05:00:00,-2.04,87.90
2010-11-17 06:00:00,-2.17,88.17
2010-11-17 07:00:00,-2.28,88.45
2010-11-17 08:00:00,-2.38,88.61
2010-11-17 09:00:00,-2.46,88.84
2010-11-17 10:00:00,-2.42,88.66
2010-11-17 11:00:00,-2.32,88.29
2010-11-17 12:00:00,-2.29,87.57
2010-11-17 13:00:00,-2.35,86.68
2010-11-17 14:00:00,-2.57,86.98
2010-11-17 15:00:00,-2.80,87.63
2010-11-17 16:00:00,-3.02,87.06
2010-11-17 17:00:00,-3.28,86.97
2010-11-17 18:00:00,-3.37,87.50
2010-11-17 19:00:00,-3.38,87.50
2010-11-17 20:00:00,-3.59,86.61
2010-11-17 21:00:00,-3.70,86.65
2010-11-17 22:00:00,-3.65,87.66
2010-11-17 23:00:00,-3.54,88.00
2010-11-18 00:00:00,-3.42,88.19
2010-11-18 01:00:00,-3.28,88.19
2010-11-18 02:00:00,-3.21,88.30
2010-11-18 03:00:00,-3.10,87.82
2010-11-18 04:00:00,-2.94,87.56
2010-11-18 05:00:00,-2.84,87.75
2010-11-18 06:00:00,-2.77,87.84
2010-11-18 07:00:00,-2.68,88.92
2010-11-18 08:00:00,-2.72,89.66
2010-11-18 09:00:00,-2.68,89.79
2010-11-18 10:00:00,-2.49,89.91
2010-11-18 11:00:00,-2.31,90.04
2010-11-18 12:00:00,-2.09,90.28
2010-11-18 13:00:00,-1.88,89.88
2010-11-18 14:00:00,-1.74,89.35
2010-11-18 15:00:00,-1.78,88.95
2010-11-18 16:00:00,-1.90,88.75
2010-11-18 17:00:00,-1.96,88.22
2010-11-18 18:00:00,-2.03,87.51
2010-11-18 19:00:00,-2.21,87.03
2010-11-18 20:00:00,-2.44,86.61
2010-11-18 21:00:00,-2.67,86.27
2010-11-18 22:00:00,-2.95,86.17
2010-11-18 23:00:00,-3.29,86.02
2010-11-19 00:00:00,-3.56,84.81
2010-11-19 01:00:00,-3.85,84.02
2010-11-19 02:00:00,-4.39,83.54
2010-11-19 03:00:00,-4.79,83.45
2010-11-19 04:00:00,-4.93,84.32
2010-11-19 05:00:00,-5.03,85.34
2010-11-19 06:00:00,-4.96,86.28
2010-11-19 07:00:00,-4.83,86.82
2010-11-19 08:00:00,-4.92,86.66
2010-11-19 09:00:00,-5.09,86.00
2010-11-19 10:00:00,-5.21,84.81
2010-11-19 11:00:00,-5.58,82.56
2010-11-19 12:00:00,-5.79,81.06
2010-11-19 13:00:00,-5.98,80.97
2010-11-19 14:00:00,-6.21,81.85
2010-11-19 15:00:00,-6.23,83.30
2010-11-19 16:00:00,-6.22,84.38
2010-11-19 17:00:00,-6.20,84.82
2010-11-19 18:00:00,-6.19,85.16
2010-11-19 19:00:00,-6.14,85.61
2010-11-19 20:00:00,-6.12,86.03
2010-11-19 21:00:00,-5.97,86.48
2010-11-19 22:00:00,-5.76,86.89
2010-11-19 23:00:00,-5.54,87.60
2010-11-20 00:00:00,-5.39,88.01
2010-11-20 01:00:00,-5.21,88.06
2010-11-20 02:00:00,-5.05,88.12
2010-11-20 03:00:00,-5.06,87.68
2010-11-20 04:00:00,-5.14,87.00
2010-11-20 05:00:00,-5.21,86.92
2010-11-20 06:00:00,-5.26,87.06
2010-11-20 07:00:00,-5.37,86.88
2010-11-20 08:00:00,-5.63,86.20
2010-11-20 09:00:00,-5.80,85.25
2010-11-20 10:00:00,-5.79,84.47
2010-11-20 11:00:00,-5.94,84.16
2010-11-20 12:00:00,-5.87,85.22
2010-11-20 13:00:00,-5.38,87.27
2010-11-20 14:00:00,-4.89,89.05
2010-11-20 15:00:00,-4.46,90.25
2010-11-20 16:00:00,-4.07,90.93
2010-11-20 17:00:00,-3.72,91.23
2010-11-20 18:00:00,-3.42,91.34
2010-11-20 19:00:00,-3.12,91.53
2010-11-20 20:00:00,-2.83,91.55
2010-11-20 21:00:00,-2.58,91.25
2010-11-20 22:00:00,-2.35,91.18
2010-11-20 23:00:00,-2.16,91.06
2010-11-21 00:00:00,-2.00,90.61
2010-11-21 01:00:00,-1.92,90.19
2010-11-21 02:00:00,-2.04,89.48
2010-11-21 03:00:00,-2.21,88.72
2010-11-21 04:00:00,-2.37,88.03
2010-11-21 05:00:00,-2.75,87.09
2010-11-21 06:00:00,-3.03,87.27
2010-11-21 07:00:00,-3.08,87.55
2010-11-21 08:00:00,-3.29,87.52
2010-11-21 09:00:00,-3.53,87.43
2010-11-21 10:00:00,-3.99,85.84
2010-11-21 11:00:00,-4.26,84.69
2010-11-21 12:00:00,-4.35,83.08
2010-11-21 13:00:00,-4.76,81.26
2010-11-21 14:00:00,-5.29,81.03
2010-11-21 15:00:00,-5.76,80.69
2010-11-21 16:00:00,-6.02,81.02
2010-11-21 17:00:00,-6.28,81.50
2010-11-21 18:00:00,-6.70,81.54
2010-11-21 19:00:00,-6.95,81.36
2010-11-21 20:00:00,-7.04,81.32
2010-11-21 21:00:00,-7.17,81.56
2010-11-21 22:00:00,-7.37,81.78
2010-11-21 23:00:00,-7.63,82.03
2010-11-22 00:00:00,-7.81,82.18
2010-11-22 01:00:00,-7.97,81.82
2010-11-22 02:00:00,-8.29,81.74
2010-11-22 03:00:00,-8.55,82.53
2010-11-22 04:00:00,-8.89,82.75
2010-11-22 05:00:00,-9.25,83.00
2010-11-22 06:00:00,-9.40,82.87
2010-11-22 07:00:00,-9.41,83.09
2010-11-22 08:00:00,-9.37,85.09
2010-11-22 09:00:00,-9.29,85.92
2010-11-22 10:00:00,-9.12,85.83
2010-11-22 11:00:00,-8.91,85.88
2010-11-22 12:00:00,-8.58,85.65
2010-11-22 13:00:00,-8.38,85.68
2010-11-22 14:00:00,-8.37,85.38
2010-11-22 15:00:00,-8.47,85.95
2010-11-22 16:00:00,-8.28,87.28
2010-11-22 17:00:00,-8.11,86.64
2010-11-22 18:00:00,-8.09,86.00
2010-11-22 19:00:00,-8.03,86.62
2010-11-22 20:00:00,-7.86,86.45
2010-11-22 21:00:00,-7.77,86.16
2010-11-22 22:00:00,-7.64,86.54
2010-11-22 23:00:00,-7.46,87.07
2010-11-23 00:00:00,-7.54,86.97
2010-11-23 01:00:00,-7.74,86.67
2010-11-23 02:00:00,-8.06,86.17
2010-11-23 03:00:00,-8.34,85.47
2010-11-23 04:00:00,-8.52,84.91
2010-11-23 05:00:00,-8.79,83.93
2010-11-23 06:00:00,-9.10,83.69
2010-11-23 07:00:00,-8.89,86.08
2010-11-23 08:00:00,-8.39,88.77
2010-11-23 09:00:00,-7.92,89.87
2010-11-23 10:00:00,-7.40,89.92
2010-11-23 11:00:00,-7.12,88.44
2010-11-23 12:00:00,-7.14,85.62
2010-11-23 13:00:00,-7.41,83.23
2010-11-23 14:00:00,-7.84,81.39
2010-11-23 15:00:00,-8.35,79.88
2010-11-23 16:00:00,-8.89,78.93
2010-11-23 17:00:00,-9.38,78.79
2010-11-23 18:00:00,-9.63,79.46
2010-11-23 19:00:00,-9.65,79.86
2010-11-23 20:00:00,-9.59,79.81
2010-11-23 21:00:00,-9.43,79.50
2010-11-23 22:00:00,-9.27,78.72
2010-11-23 23:00:00,-9.42,78.37
2010-11-24 00:00:00,-9.40,80.38
2010-11-24 01:00:00,-8.80,83.29
2010-11-24 02:00:00,-7.96,85.02
2010-11-24 03:00:00,-7.42,85.28
2010-11-24 04:00:00,-7.29,84.52
2010-11-24 05:00:00,-7.21,83.44
2010-11-24 06:00:00,-6.98,82.81
2010-11-24 07:00:00,-6.67,82.56
2010-11-24 08:00:00,-6.40,82.38
2010-11-24 09:00:00,-6.26,81.04
2010-11-24 10:00:00,-6.13,79.68
2010-11-24 11:00:00,-5.98,79.20
2010-11-24 12:00:00,-5.79,77.06
2010-11-24 13:00:00,-5.60,76.23
2010-11-24 14:00:00,-5.50,76.89
2010-11-24 15:00:00,-5.38,74.96
2010-11-24 16:00:00,-5.29,70.66
2010-11-24 17:00:00,-5.38,67.34
2010-11-24 18:00:00,-5.55,65.25
