UTC+2,T,RH
2011-01-31 00:00:00,-7.74,80.39
2011-01-31 01:00:00,-7.92,81.34
2011-01-31 02:00:00,-7.74,82.08
2011-01-31 03:00:00,-7.47,83.04
2011-01-31 04:00:00,-7.09,83.54
2011-01-31 05:00:00,-6.71,83.42
2011-01-31 06:00:00,-6.19,85.50
2011-01-31 07:00:00,-5.54,86.72
2011-01-31 08:00:00,-5.32,86.04
2011-01-31 09:00:00,-5.29,86.37
2011-01-31 10:00:00,-4.43,87.63
2011-01-31 11:00:00,-3.50,87.47
2011-01-31 12:00:00,-3.42,86.51
2011-01-31 13:00:00,-3.42,87.25
2011-01-31 14:00:00,-3.15,89.00
2011-01-31 15:00:00,-2.94,91.44
2011-01-31 16:00:00,-2.59,91.33
2011-01-31 17:00:00,-2.36,89.37
2011-01-31 18:00:00,-2.45,88.01
2011-01-31 19:00:00,-2.66,87.83
2011-01-31 20:00:00,-2.89,88.25
2011-01-31 21:00:00,-2.58,87.84
2011-01-31 22:00:00,-2.07,87.19
2011-01-31 23:00:00,-1.78,86.64
2011-02-01 00:00:00,-1.84,86.64
2011-02-01 01:00:00,-2.34,87.52
2011-02-01 02:00:00,-2.84,88.38
2011-02-01 03:00:00,-3.02,88.80
2011-02-01 04:00:00,-2.89,88.72
2011-02-01 05:00:00,-2.88,88.78
2011-02-01 06:00:00,-2.99,89.38
2011-02-01 07:00:00,-3.13,89.94
2011-02-01 08:00:00,-3.68,90.33
2011-02-01 09:00:00,-4.05,91.26
2011-02-01 10:00:00,-3.41,91.59
2011-02-01 11:00:00,-2.31,90.74
2011-02-01 12:00:00,-1.34,89.98
2011-02-01 13:00:00,-0.59,89.56
2011-02-01 14:00:00,-0.11,88.41
2011-02-01 15:00:00,0.03,87.30
2011-02-01 16:00:00,-0.48,87.86
2011-02-01 17:00:00,-1.24,88.69
2011-02-01 18:00:00,-1.62,90.06
2011-02-01 19:00:00,-1.61,91.80
2011-02-01 20:00:00,-1.45,92.24
2011-02-01 21:00:00,-1.23,92.88
2011-02-01 22:00:00,-0.98,93.58
2011-02-01 23:00:00,-0.84,93.47
2011-02-02 00:00:00,-0.75,93.39
2011-02-02 01:00:00,-0.55,94.18
2011-02-02 02:00:00,-0.29,95.12
2011-02-02 03:00:00,-0.09,95.64
2011-02-02 04:00:00,0.04,96.06
2011-02-02 05:00:00,0.12,96.23
2011-02-02 06:00:00,0.15,96.67
2011-02-02 07:00:00,0.21,97.25
2011-02-02 08:00:00,0.26,97.54
2011-02-02 09:00:00,0.31,97.37
2011-02-02 10:00:00,0.46,96.94
2011-02-02 11:00:00,0.74,96.41
2011-02-02 12:00:00,0.99,95.60
2011-02-02 13:00:00,0.96,95.19
2011-02-02 14:00:00,0.92,95.09
2011-02-02 15:00:00,0.86,95.09
2011-02-02 16:00:00,0.46,95.39
2011-02-02 17:00:00,-0.04,95.90
2011-02-02 18:00:00,0.10,96.97
2011-02-02 19:00:00,0.50,97.74
2011-02-02 20:00:00,0.53,97.15
2011-02-02 21:00:00,0.28,95.73
2011-02-02 22:00:00,-0.07,95.04
2011-02-02 23:00:00,-0.37,94.77
2011-02-03 00:00:00,-0.69,94.63
2011-02-03 01:00:00,-1.01,94.55
2011-02-03 02:00:00,-1.22,94.09
2011-02-03 03:00:00,-1.43,93.84
2011-02-03 04:00:00,-1.53,93.66
2011-02-03 05:00:00,-1.64,93.27
2011-02-03 06:00:00,-1.77,92.80
2011-02-03 07:00:00,-2.14,92.29
2011-02-03 08:00:00,-2.92,91.95
2011-02-03 09:00:00,-3.08,91.78
2011-02-03 10:00:00,-2.56,91.62
2011-02-03 11:00:00,-1.99,91.65
2011-02-03 12:00:00,-1.50,91.92
2011-02-03 13:00:00,-0.97,92.62
2011-02-03 14:00:00,-0.47,93.65
2011-02-03 15:00:00,-0.11,94.88
2011-02-03 16:00:00,0.18,95.81
2011-02-03 17:00:00,0.32,96.12
2011-02-03 18:00:00,0.45,96.28
2011-02-03 19:00:00,0.65,96.61
2011-02-03 20:00:00,0.85,96.61
2011-02-03 21:00:00,0.75,95.88
2011-02-03 22:00:00,-0.02,95.93
2011-02-03 23:00:00,-0.59,94.76
2011-02-04 00:00:00,-0.82,93.42
2011-02-04 01:00:00,-1.27,92.37
2011-02-04 02:00:00,-1.73,91.47
2011-02-04 03:00:00,-2.04,93.91
2011-02-04 04:00:00,-2.25,95.67
2011-02-04 05:00:00,-2.51,94.62
2011-02-04 06:00:00,-2.60,93.88
2011-02-04 07:00:00,-2.52,94.07
2011-02-04 08:00:00,-2.48,93.72
2011-02-04 09:00:00,-2.26,93.52
2011-02-04 10:00:00,-1.85,94.13
2011-02-04 11:00:00,-1.26,94.14
2011-02-04 12:00:00,-0.93,93.13
2011-02-04 13:00:00,-1.12,92.02
2011-02-04 14:00:00,-1.46,91.05
2011-02-04 15:00:00,-1.59,91.77
2011-02-04 16:00:00,-1.50,93.00
2011-02-04 17:00:00,-1.46,93.25
2011-02-04 18:00:00,-1.50,93.40
2011-02-04 19:00:00,-1.49,93.64
2011-02-04 20:00:00,-1.42,93.91
2011-02-04 21:00:00,-1.35,94.09
2011-02-04 22:00:00,-1.32,94.10
2011-02-04 23:00:00,-1.30,94.07
2011-02-05 00:00:00,-1.27,94.14
2011-02-05 01:00:00,-1.17,94.04
2011-02-05 02:00:00,-1.11,93.89
2011-02-05 03:00:00,-1.15,93.79
2011-02-05 04:00:00,-1.19,93.62
2011-02-05 05:00:00,-1.23,93.40
2011-02-05 06:00:00,-1.31,93.19
2011-02-05 07:00:00,-1.41,93.02
2011-02-05 08:00:00,-1.47,92.72
2011-02-05 09:00:00,-1.52,92.43
2011-02-05 10:00:00,-1.48,92.38
2011-02-05 11:00:00,-1.27,92.38
2011-02-05 12:00:00,-0.95,92.34
2011-02-05 13:00:00,-0.79,91.96
2011-02-05 14:00:00,-0.90,91.42
2011-02-05 15:00:00,-1.07,91.07
2011-02-05 16:00:00,-1.26,90.73
2011-02-05 17:00:00,-1.58,90.52
2011-02-05 18:00:00,-1.84,91.02
2011-02-05 19:00:00,-1.99,91.06
2011-02-05 20:00:00,-2.10,90.39
2011-02-05 21:00:00,-2.25,90.33
2011-02-05 22:00:00,-2.48,90.33
2011-02-05 23:00:00,-2.75,89.80
2011-02-06 00:00:00,-2.93,89.88
2011-02-06 01:00:00,-3.10,90.17
2011-02-06 02:00:00,-3.46,90.63
2011-02-06 03:00:00,-3.71,91.53
2011-02-06 04:00:00,-3.70,92.19
2011-02-06 05:00:00,-3.65,92.42
2011-02-06 06:00:00,-3.52,92.28
2011-02-06 07:00:00,-3.31,92.30
2011-02-06 08:00:00,-3.17,92.74
2011-02-06 09:00:00,-2.94,93.92
2011-02-06 10:00:00,-2.54,94.74
2011-02-06 11:00:00,-2.12,93.94
2011-02-06 12:00:00,-1.67,92.28
2011-02-06 13:00:00,-0.97,90.59
2011-02-06 14:00:00,-0.06,87.50
2011-02-06 15:00:00,0.08,85.83
2011-02-06 16:00:00,-0.77,87.39
2011-02-06 17:00:00,-1.58,89.06
2011-02-06 18:00:00,-2.19,89.78
2011-02-06 19:00:00,-2.88,90.53
2011-02-06 20:00:00,-3.50,90.88
2011-02-06 21:00:00,-3.63,91.23
2011-02-06 22:00:00,-3.49,92.62
2011-02-06 23:00:00,-3.54,93.04
2011-02-07 00:00:00,-3.92,92.56
2011-02-07 01:00:00,-4.29,92.34
2011-02-07 02:00:00,-4.40,92.31
2011-02-07 03:00:00,-4.31,92.00
2011-02-07 04:00:00,-4.33,92.00
2011-02-07 05:00:00,-4.43,92.31
2011-02-07 06:00:00,-4.50,92.69
2011-02-07 07:00:00,-4.44,92.79
2011-02-07 08:00:00,-4.17,92.44
2011-02-07 09:00:00,-3.99,92.25
2011-02-07 10:00:00,-3.64,91.86
2011-02-07 11:00:00,-2.98,91.66
2011-02-07 12:00:00,-2.35,91.16
2011-02-07 13:00:00,-2.04,90.59
2011-02-07 14:00:00,-1.98,90.37
2011-02-07 15:00:00,-2.04,90.23
2011-02-07 16:00:00,-2.15,90.06
2011-02-07 17:00:00,-2.65,89.97
2011-02-07 18:00:00,-3.64,89.85
2011-02-07 19:00:00,-4.16,89.63
2011-02-07 20:00:00,-4.17,90.06
2011-02-07 21:00:00,-3.94,91.31
2011-02-07 22:00:00,-3.42,92.67
2011-02-07 23:00:00,-2.88,94.06
2011-02-08 00:00:00,-2.25,95.15
2011-02-08 01:00:00,-1.64,95.79
2011-02-08 02:00:00,-1.26,95.91
2011-02-08 03:00:00,-1.05,95.24
2011-02-08 04:00:00,-0.94,94.66
2011-02-08 05:00:00,-0.94,94.09
2011-02-08 06:00:00,-0.96,93.66
2011-02-08 07:00:00,-0.99,93.58
2011-02-08 08:00:00,-0.99,93.53
2011-02-08 09:00:00,-0.97,93.46
2011-02-08 10:00:00,-0.84,93.15
2011-02-08 11:00:00,-0.54,92.81
2011-02-08 12:00:00,-0.20,92.47
2011-02-08 13:00:00,0.07,91.97
2011-02-08 14:00:00,0.07,91.60
2011-02-08 15:00:00,-0.11,91.69
2011-02-08 16:00:00,-0.34,92.16
2011-02-08 17:00:00,-0.54,92.14
2011-02-08 18:00:00,-0.82,90.92
2011-02-08 19:00:00,-1.54,89.59
2011-02-08 20:00:00,-2.59,88.94
2011-02-08 21:00:00,-3.54,88.56
2011-02-08 22:00:00,-4.41,88.77
2011-02-08 23:00:00,-5.15,89.50
2011-02-09 00:00:00,-5.59,90.00
2011-02-09 01:00:00,-5.61,90.89
2011-02-09 02:00:00,-5.51,91.79
2011-02-09 03:00:00,-5.53,91.67
2011-02-09 04:00:00,-5.42,91.32
2011-02-09 05:00:00,-5.21,91.26
2011-02-09 06:00:00,-4.98,90.34
2011-02-09 07:00:00,-5.71,86.90
2011-02-09 08:00:00,-7.34,83.57
2011-02-09 09:00:00,-9.47,81.22
2011-02-09 10:00:00,-11.00,79.57
2011-02-09 11:00:00,-11.27,79.89
2011-02-09 12:00:00,-10.92,80.72
2011-02-09 13:00:00,-10.03,81.08
2011-02-09 14:00:00,-9.25,81.47
2011-02-09 15:00:00,-8.55,81.79
2011-02-09 16:00:00,-8.46,80.97
2011-02-09 17:00:00,-8.98,79.72
2011-02-09 18:00:00,-9.46,79.16
2011-02-09 19:00:00,-10.05,79.25
2011-02-09 20:00:00,-10.83,79.48
2011-02-09 21:00:00,-11.46,79.72
