UTC+2,T,RH
2011-01-31 00:00:00,-6.75,71.14
2011-01-31 01:00:00,-6.59,72.62
2011-01-31 02:00:00,-6.34,74.00
2011-01-31 03:00:00,-6.03,75.25
2011-01-31 04:00:00,-5.73,76.23
2011-01-31 05:00:00,-5.42,76.73
2011-01-31 06:00:00,-5.14,77.70
2011-01-31 07:00:00,-4.83,79.33
2011-01-31 08:00:00,-4.66,80.14
2011-01-31 09:00:00,-4.58,80.50
2011-01-31 10:00:00,-4.17,82.30
2011-01-31 11:00:00,-3.51,84.00
2011-01-31 12:00:00,-3.22,84.11
2011-01-31 13:00:00,-3.14,84.39
2011-01-31 14:00:00,-2.88,85.22
2011-01-31 15:00:00,-2.62,86.13
2011-01-31 16:00:00,-2.39,86.28
2011-01-31 17:00:00,-2.20,86.04
2011-01-31 18:00:00,-2.17,85.74
2011-01-31 19:00:00,-2.30,85.56
2011-01-31 20:00:00,-2.46,85.57
2011-01-31 21:00:00,-2.35,85.62
2011-01-31 22:00:00,-2.08,85.83
2011-01-31 23:00:00,-1.85,85.69
2011-02-01 00:00:00,-1.77,85.40
2011-02-01 01:00:00,-1.97,85.37
2011-02-01 02:00:00,-2.25,85.46
2011-02-01 03:00:00,-2.41,85.69
2011-02-01 04:00:00,-2.41,85.84
2011-02-01 05:00:00,-2.39,85.98
2011-02-01 06:00:00,-2.46,86.28
2011-02-01 07:00:00,-2.50,86.43
2011-02-01 08:00:00,-2.67,85.94
2011-02-01 09:00:00,-2.92,85.82
2011-02-01 10:00:00,-2.73,86.82
2011-02-01 11:00:00,-2.19,87.22
2011-02-01 12:00:00,-1.70,86.81
2011-02-01 13:00:00,-1.33,87.02
2011-02-01 14:00:00,-1.01,87.55
2011-02-01 15:00:00,-0.74,87.80
2011-02-01 16:00:00,-0.68,87.79
2011-02-01 17:00:00,-0.83,87.43
2011-02-01 18:00:00,-1.00,87.42
2011-02-01 19:00:00,-1.02,87.85
2011-02-01 20:00:00,-0.94,88.12
2011-02-01 21:00:00,-0.85,88.59
2011-02-01 22:00:00,-0.74,89.18
2011-02-01 23:00:00,-0.66,89.19
2011-02-02 00:00:00,-0.57,89.06
2011-02-02 01:00:00,-0.41,89.78
2011-02-02 02:00:00,-0.23,90.57
2011-02-02 03:00:00,-0.04,90.97
2011-02-02 04:00:00,0.12,91.45
2011-02-02 05:00:00,0.26,91.91
2011-02-02 06:00:00,0.38,92.07
2011-02-02 07:00:00,0.48,92.17
2011-02-02 08:00:00,0.59,92.70
2011-02-02 09:00:00,0.69,93.03
2011-02-02 10:00:00,0.80,92.92
2011-02-02 11:00:00,0.98,92.95
2011-02-02 12:00:00,1.22,92.97
2011-02-02 13:00:00,1.28,92.86
2011-02-02 14:00:00,1.27,92.75
2011-02-02 15:00:00,1.25,92.60
2011-02-02 16:00:00,1.09,92.31
2011-02-02 17:00:00,0.83,91.89
2011-02-02 18:00:00,0.76,92.38
2011-02-02 19:00:00,0.94,93.26
2011-02-02 20:00:00,1.01,93.38
2011-02-02 21:00:00,0.89,92.71
2011-02-02 22:00:00,0.69,91.91
2011-02-02 23:00:00,0.49,91.41
2011-02-03 00:00:00,0.30,90.94
2011-02-03 01:00:00,0.12,90.41
2011-02-03 02:00:00,0.03,89.73
2011-02-03 03:00:00,-0.04,89.12
2011-02-03 04:00:00,-0.10,88.36
2011-02-03 05:00:00,-0.21,87.32
2011-02-03 06:00:00,-0.41,85.98
2011-02-03 07:00:00,-0.71,85.11
2011-02-03 08:00:00,-1.21,84.79
2011-02-03 09:00:00,-1.32,84.63
2011-02-03 10:00:00,-1.05,84.84
2011-02-03 11:00:00,-0.86,85.31
2011-02-03 12:00:00,-0.62,86.03
2011-02-03 13:00:00,-0.29,87.00
2011-02-03 14:00:00,0.03,88.29
2011-02-03 15:00:00,0.31,89.53
2011-02-03 16:00:00,0.60,90.45
2011-02-03 17:00:00,0.78,90.93
2011-02-03 18:00:00,0.84,91.36
2011-02-03 19:00:00,0.96,91.99
2011-02-03 20:00:00,1.11,92.41
2011-02-03 21:00:00,1.13,92.30
2011-02-03 22:00:00,0.74,91.25
2011-02-03 23:00:00,0.26,88.96
2011-02-04 00:00:00,0.01,87.55
2011-02-04 01:00:00,-0.35,86.45
2011-02-04 02:00:00,-0.77,85.28
2011-02-04 03:00:00,-0.96,86.31
2011-02-04 04:00:00,-1.06,87.27
2011-02-04 05:00:00,-1.31,86.37
2011-02-04 06:00:00,-1.50,85.88
2011-02-04 07:00:00,-1.46,86.22
2011-02-04 08:00:00,-1.44,86.26
2011-02-04 09:00:00,-1.35,86.47
2011-02-04 10:00:00,-1.07,87.06
2011-02-04 11:00:00,-0.65,87.77
2011-02-04 12:00:00,-0.32,87.71
2011-02-04 13:00:00,-0.23,86.92
2011-02-04 14:00:00,-0.33,86.02
2011-02-04 15:00:00,-0.42,85.45
2011-02-04 16:00:00,-0.35,85.12
2011-02-04 17:00:00,-0.30,84.83
2011-02-04 18:00:00,-0.31,84.66
2011-02-04 19:00:00,-0.32,84.83
2011-02-04 20:00:00,-0.29,85.22
2011-02-04 21:00:00,-0.23,85.45
2011-02-04 22:00:00,-0.21,85.50
2011-02-04 23:00:00,-0.16,85.42
2011-02-05 00:00:00,-0.11,85.38
2011-02-05 01:00:00,-0.04,85.31
2011-02-05 02:00:00,-0.02,85.24
2011-02-05 03:00:00,-0.08,85.25
2011-02-05 04:00:00,-0.11,85.20
2011-02-05 05:00:00,-0.11,84.94
2011-02-05 06:00:00,-0.17,84.60
2011-02-05 07:00:00,-0.24,84.47
2011-02-05 08:00:00,-0.35,84.16
2011-02-05 09:00:00,-0.45,83.76
2011-02-05 10:00:00,-0.44,83.80
2011-02-05 11:00:00,-0.38,83.88
2011-02-05 12:00:00,-0.26,83.85
2011-02-05 13:00:00,-0.27,83.77
2011-02-05 14:00:00,-0.35,83.52
2011-02-05 15:00:00,-0.38,83.33
2011-02-05 16:00:00,-0.40,83.12
2011-02-05 17:00:00,-0.55,82.87
2011-02-05 18:00:00,-0.77,82.77
2011-02-05 19:00:00,-0.98,82.94
2011-02-05 20:00:00,-1.14,83.16
2011-02-05 21:00:00,-1.19,83.00
2011-02-05 22:00:00,-1.28,82.79
2011-02-05 23:00:00,-1.36,82.52
2011-02-06 00:00:00,-1.32,82.31
2011-02-06 01:00:00,-1.31,82.19
