UTC+2,T,RH
2010-11-28 00:00:00,-11.16,73.64
2010-11-28 01:00:00,-11.41,73.52
2010-11-28 02:00:00,-11.71,72.84
2010-11-28 03:00:00,-11.98,72.04
2010-11-28 04:00:00,-12.24,71.65
2010-11-28 05:00:00,-12.52,71.32
2010-11-28 06:00:00,-12.81,71.19
2010-11-28 07:00:00,-13.07,71.37
2010-11-28 08:00:00,-13.23,71.67
2010-11-28 09:00:00,-13.32,72.00
2010-11-28 10:00:00,-13.30,72.77
2010-11-28 11:00:00,-13.02,74.03
2010-11-28 12:00:00,-12.61,75.16
2010-11-28 13:00:00,-12.29,76.38
2010-11-28 14:00:00,-12.16,76.51
2010-11-28 15:00:00,-12.22,75.44
2010-11-28 16:00:00,-12.41,74.44
2010-11-28 17:00:00,-12.73,72.57
2010-11-28 18:00:00,-13.21,69.78
2010-11-28 19:00:00,-13.75,67.56
2010-11-28 20:00:00,-14.34,65.89
2010-11-28 21:00:00,-14.79,65.35
2010-11-28 22:00:00,-14.99,66.06
2010-11-28 23:00:00,-15.11,66.09
2010-11-29 00:00:00,-15.28,65.43
2010-11-29 01:00:00,-15.50,64.96
2010-11-29 02:00:00,-15.62,65.31
2010-11-29 03:00:00,-15.50,69.92
2010-11-29 04:00:00,-15.18,76.33
2010-11-29 05:00:00,-14.89,78.09
2010-11-29 06:00:00,-14.79,76.44
2010-11-29 07:00:00,-14.77,74.75
2010-11-29 08:00:00,-14.84,73.81
2010-11-29 09:00:00,-14.90,73.20
2010-11-29 10:00:00,-14.91,72.98
2010-11-29 11:00:00,-14.79,73.86
2010-11-29 12:00:00,-14.55,75.21
2010-11-29 13:00:00,-14.29,76.58
2010-11-29 14:00:00,-14.11,77.17
2010-11-29 15:00:00,-14.12,76.51
2010-11-29 16:00:00,-14.20,75.63
2010-11-29 17:00:00,-14.37,74.93
2010-11-29 18:00:00,-14.53,74.38
2010-11-29 19:00:00,-14.66,73.65
2010-11-29 20:00:00,-14.90,73.08
2010-11-29 21:00:00,-15.17,72.62
2010-11-29 22:00:00,-15.41,72.08
2010-11-29 23:00:00,-15.58,71.71
2010-11-30 00:00:00,-15.70,71.59
2010-11-30 01:00:00,-15.80,71.88
2010-11-30 02:00:00,-15.92,72.26
2010-11-30 03:00:00,-15.98,72.21
2010-11-30 04:00:00,-16.00,72.13
2010-11-30 05:00:00,-16.04,72.30
2010-11-30 06:00:00,-16.06,72.56
2010-11-30 07:00:00,-16.05,72.57
2010-11-30 08:00:00,-16.00,72.47
2010-11-30 09:00:00,-15.94,72.47
2010-11-30 10:00:00,-15.81,72.97
2010-11-30 11:00:00,-15.60,74.68
2010-11-30 12:00:00,-15.25,76.66
2010-11-30 13:00:00,-14.84,78.16
2010-11-30 14:00:00,-14.55,78.69
2010-11-30 15:00:00,-14.43,77.51
2010-11-30 16:00:00,-14.43,76.49
2010-11-30 17:00:00,-14.31,77.98
2010-11-30 18:00:00,-13.96,80.40
2010-11-30 19:00:00,-13.38,82.41
2010-11-30 20:00:00,-12.79,83.51
2010-11-30 21:00:00,-12.45,83.23
2010-11-30 22:00:00,-12.32,82.26
2010-11-30 23:00:00,-12.34,81.50
2010-12-01 00:00:00,-12.36,81.17
2010-12-01 01:00:00,-12.45,80.44
2010-12-01 02:00:00,-12.54,79.88
2010-12-01 03:00:00,-12.45,80.50
2010-12-01 04:00:00,-12.16,81.97
2010-12-01 05:00:00,-11.90,82.05
2010-12-01 06:00:00,-11.71,81.38
2010-12-01 07:00:00,-11.54,81.42
2010-12-01 08:00:00,-11.38,81.14
2010-12-01 09:00:00,-11.21,80.66
2010-12-01 10:00:00,-11.10,80.32
2010-12-01 11:00:00,-10.95,80.60
2010-12-01 12:00:00,-10.50,83.62
2010-12-01 13:00:00,-9.89,86.35
2010-12-01 14:00:00,-9.45,86.64
2010-12-01 15:00:00,-9.15,86.06
2010-12-01 16:00:00,-8.88,86.11
2010-12-01 17:00:00,-8.52,87.44
2010-12-01 18:00:00,-8.12,88.50
2010-12-01 19:00:00,-7.78,88.42
2010-12-01 20:00:00,-7.44,88.82
2010-12-01 21:00:00,-7.09,89.29
2010-12-01 22:00:00,-6.79,89.49
2010-12-01 23:00:00,-6.40,90.66
2010-12-02 00:00:00,-5.96,91.64
2010-12-02 01:00:00,-5.47,92.87
2010-12-02 02:00:00,-5.04,93.52
2010-12-02 03:00:00,-4.69,93.15
2010-12-02 04:00:00,-4.29,92.66
