UTC+2,T,RH
2010-11-28 00:00:00,-11.65,72.00
2010-11-28 01:00:00,-11.99,71.46
2010-11-28 02:00:00,-12.51,70.52
2010-11-28 03:00:00,-13.12,69.95
2010-11-28 04:00:00,-13.61,70.00
2010-11-28 05:00:00,-13.71,70.29
2010-11-28 06:00:00,-13.87,71.00
2010-11-28 07:00:00,-13.93,71.23
2010-11-28 08:00:00,-13.91,71.25
2010-11-28 09:00:00,-14.04,71.54
2010-11-28 10:00:00,-13.72,72.16
2010-11-28 11:00:00,-12.96,72.80
2010-11-28 12:00:00,-12.25,72.68
2010-11-28 13:00:00,-11.90,72.56
2010-11-28 14:00:00,-11.74,72.92
2010-11-28 15:00:00,-11.76,72.84
2010-11-28 16:00:00,-12.14,71.44
2010-11-28 17:00:00,-12.70,71.34
2010-11-28 18:00:00,-13.39,72.01
2010-11-28 19:00:00,-13.98,70.78
2010-11-28 20:00:00,-15.24,69.15
2010-11-28 21:00:00,-16.21,68.45
2010-11-28 22:00:00,-15.94,70.02
2010-11-28 23:00:00,-15.59,73.16
2010-11-29 00:00:00,-15.59,74.00
2010-11-29 01:00:00,-15.71,72.16
2010-11-29 02:00:00,-15.97,71.59
2010-11-29 03:00:00,-16.07,73.26
2010-11-29 04:00:00,-15.29,77.73
2010-11-29 05:00:00,-14.62,79.78
2010-11-29 06:00:00,-14.48,77.94
2010-11-29 07:00:00,-14.50,76.62
2010-11-29 08:00:00,-14.63,75.44
2010-11-29 09:00:00,-14.70,73.41
2010-11-29 10:00:00,-14.75,71.86
2010-11-29 11:00:00,-14.68,73.02
2010-11-29 12:00:00,-14.35,74.92
2010-11-29 13:00:00,-13.96,75.69
2010-11-29 14:00:00,-13.73,75.16
2010-11-29 15:00:00,-13.74,75.16
2010-11-29 16:00:00,-13.96,75.30
2010-11-29 17:00:00,-14.33,74.74
2010-11-29 18:00:00,-14.68,73.88
2010-11-29 19:00:00,-14.77,72.16
2010-11-29 20:00:00,-15.02,70.48
2010-11-29 21:00:00,-15.34,69.81
2010-11-29 22:00:00,-15.57,69.90
2010-11-29 23:00:00,-15.77,70.43
2010-11-30 00:00:00,-15.76,70.51
2010-11-30 01:00:00,-15.94,71.92
2010-11-30 02:00:00,-16.20,74.27
2010-11-30 03:00:00,-16.23,74.50
2010-11-30 04:00:00,-16.25,74.52
2010-11-30 05:00:00,-16.27,74.31
2010-11-30 06:00:00,-16.06,73.59
2010-11-30 07:00:00,-15.91,74.16
2010-11-30 08:00:00,-15.88,73.70
2010-11-30 09:00:00,-15.75,73.25
2010-11-30 10:00:00,-15.62,74.11
2010-11-30 11:00:00,-15.25,76.00
2010-11-30 12:00:00,-14.76,77.68
2010-11-30 13:00:00,-14.27,77.91
2010-11-30 14:00:00,-13.85,78.83
2010-11-30 15:00:00,-13.70,78.24
2010-11-30 16:00:00,-13.80,75.97
2010-11-30 17:00:00,-13.62,76.75
2010-11-30 18:00:00,-12.99,79.97
2010-11-30 19:00:00,-12.39,81.73
2010-11-30 20:00:00,-11.83,82.69
2010-11-30 21:00:00,-11.59,82.31
2010-11-30 22:00:00,-11.67,81.17
2010-11-30 23:00:00,-11.71,79.95
2010-12-01 00:00:00,-11.76,79.44
2010-12-01 01:00:00,-12.14,77.94
2010-12-01 02:00:00,-12.52,75.78
2010-12-01 03:00:00,-12.48,76.74
2010-12-01 04:00:00,-12.03,78.73
2010-12-01 05:00:00,-11.57,80.31
2010-12-01 06:00:00,-11.37,79.81
2010-12-01 07:00:00,-11.14,78.81
2010-12-01 08:00:00,-10.96,80.83
